10年 1月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 1月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,寿ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆクリスマドンナ, 57,池添謙,, 60,  -3,*  4, 7, 36.2,⑩⑨⑧, 1, 5, ペプチドソロモン,---,岩田康,, 63,  -5,*  3, 1,  1.5, ④③, 1, 9,Ｄカミヒコｰキ, 72,藤岡佑,, 69,   2,*  4, 4,  9.1, ⑨⑧, 1, 5,Ｆホワイトピルグリム, 81,安藤勝,, 89,   6,* 20, 1,  3.3,⑧⑨⑨
 2, 1,Ａランブリングロｰズ, 64,藤岡佑, 0.1, 59,  -2,*  3, 2,  3.6,③⑥⑤, 2, 4, ウォｰタｰリズム,---,武豊  , 0.3, 61, -11,*  7, 6, 22.1, ⑩⑨, 2, 3,Ｅトウカイポプリ, 70,上村洋, 0.0, 73,   6,   0, 5, 12.3, ③③, 2,10,Ｇオｰトドラゴン, 81,渡辺薫, 0.2, 85,   7,  15, 3,  4.9,⑨⑧⑧
 3,16,Ｃシルククラリティ, 62,小牧太, 0.3, 57,* -1,  -1, 4,  8.6,⑨④③, 3, 8, メイショウヴァルナ,---,武幸四, 0.6, 61,  -6,   0, 8, 38.1, ⑤⑥, 3,13,Ｃストｰムツイスタｰ, 72,国分恭, 0.1, 71,   6,  -1, 3,  8.2, ④④, 3, 3,Ｄエアシャトゥｰシュ, 83,岩田康, 0.2, 84,   8,  13, 2,  3.3,⑤⑥⑥
 4, 8,Ｅテｰオｰルネサンス, 58,武豊  , 0.4, 58,* -1,  -1, 1,  2.5,⑮⑤④, 4, 2, スｰサンハリケｰン,---,和田竜, 0.8, 57,* -2,  -6, 5, 18.2, ①①, 4,15,Ｂピュアチャプレット, 75,川田将, 0.2, 67,  -1,*  5, 2,  4.3, ⑭⑪, 4,13,Ｂエテルノ, 85,四位洋, 0.3, 84,   5,* 17, 6, 16.4,⑫⑩⑩
 5, 7,Ｇマイネヴィント, 55,和田竜, 0.8, 56,  -2,  -3, 8, 36.3,⑦⑧⑥, 5,10, トウカイナックル,---,川田将, 1.0, 55,* -3,  -7, 2,  5.6, ②②, 5,11,Ａマヤフィオｰレ, 78,和田竜, 0.4, 69,*  7,  -4, 1,  2.1, ②②, 5, 4,Ａタイセイファイタｰ, 85,小牧太, 0.5, 78,* 12,  -2, 4, 10.9,④④③
 6,11,Ｈアドマイヤオンリｰ, 55,川田将, 0.8, 55,*  0,  -7, 5,  9.2,②②②, 6, 7, ツリｰズオブホｰプ,---,国分恭, 1.3, 52, -14,   1, 4, 13.9, ⑬⑩, 6, 6,Ｍトｰセンウｰノ, 60,難波剛, 0.5, 63,  -3,*  4, 9, 62.6, ⑮⑫, 6, 6,Ｅウィルビｰキング, 82,赤木高, 0.5, 82,   4,* 17, 9, 22.1,⑩⑪⑪
 7, 9,Ｂサザンクロスレディ, 63,鮫島良, 1.3, 53,  -2,  -7, 3,  6.0,④⑦⑨, 7,14, アイノグロｰ,---,中村将, 1.6, 49,  -7,  -9,15,207.1, ⑦⑤, 7, 5,Ｈコウユｰルｰジュ, 65,荻野琢, 0.6, 65,  -1,   1,14,196.4, ⑫⑭, 7,12,Ｃワンダｰムシャ, 84,野元昭, 0.7, 75,* 12,  -6,10, 26.5,①①①
 8, 2,Ｉタガノシビル, 53,三浦皇, 1.4, 51,*  0, -12,10, 47.6,①①①, 8,15, イッスンボウシ,---,渡辺薫, 2.0, 46,  -9, -10,13, 80.9, ⑧⑧, 8,10,Ｇサマｰラグｰン, 66,三浦皇, 0.7, 64,   1,  -1, 8, 22.2, ⑩⑨, 8, 7,Ｋアグネススタｰチ, 80,浜中俊, 0.8, 76,  10,   0, 8, 20.6,⑥⑤⑤
 9,14,Ｋクリノセレブニ, 50,松山弘, 1.6, 51,  -5,  -3,16,432.3,⑬⑭⑭, 9,12, マジカルパラソル,---,赤木高, 2.2, 46, -18,  -2, 9, 62.2, ⑭⑭, 9, 4,Ｉマルサンメイン, 64,小林徹, 0.9, 63,   4,  -6,12,137.4, ⑥⑥, 9, 8,Ｉアメジストリング, 80,武豊  , 0.8, 80,   3,* 17, 5, 13.8,⑬⑬⑫
10, 6,Ｎエｰシンサスケハナ, 42,浜中俊, 1.6, 51,  -4,  -7, 9, 41.3,⑪⑪⑪,10,11, パワｰプレイズ,---,野元昭, 2.3, 43,  -6, -15,11, 69.7, ⑥④,10, 2,Ｏクリスリリｰ, 54,中村将, 0.9, 62,   0,  -2,16,402.4, ⑪⑬,10,11,Ｊシゲルタック, 80,藤岡佑, 0.8, 77,   8,   4,11, 39.2,⑦⑦⑦
