10年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,清水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,11,Ｋテイエムシェイク, 20,和田竜, 4.6, 29,  -9, -23,12,210.0, ⑦⑪,12,16, スリｰロビンソン,---,浜中俊, 2.2, 32, -42,   4,14, 85.8, ⑮⑬,12, 5,Ａサンライズトリプル, 80,藤岡佑, 0.6, 79,  -7,  15, 1,  4.1,⑥⑦⑨,,,,,,,,,,,,
,,,,,,,,,,,,13, 4, ベルベットキス,---,蛯名正, 2.2, 30, -38,   0,13, 84.0, ⑪⑪,13,17,Ｇスティアヘッド, 71,松岡正, 0.7, 80,  -7,  17,14, 61.8,⑩⑪⑬,,,,,,,,,,,,
,,,,,,,,,,,,14, 5, ウインマクレガｰ,---,幸英明, 2.7, 21, -39, -10,11, 45.6, ⑫⑫,14,15,Ｌポｰラシｰクエンス, 68,安藤光, 0.9, 78,  -8,  18,11, 44.4,⑭⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,15,11, ヤマカツダリア,---,長谷川, 2.8, 23, -43,  -4,16,203.3, ⑭⑮,15, 1,Ｐスナｰクスペイン, 65,太宰啓, 0.9, 72,* -4,   5, 9, 29.7,②④④,,,,,,,,,,,,
,,,,,,,,,,,,16,15, サトノスパイダｰ,---,後藤浩, 5.3,-17, -39, -46, 7, 22.5, ⑬⑭,16, 7,Ｍシャイニングデイ, 67,川須栄, 1.1, 79, -10,  19,15, 97.8,⑰⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:680円 複勝:03=250円 07=500円 02=190円 枠連:5,970円",,,,,,,,,,,,"単勝:280円 複勝:07=150円 01=380円 12=2,550円 枠連:460円",,,,,,,,,,,,"単勝:1,910円 複勝:16=640円 03=210円 08=2,340円 枠連:1,760円",,,,,,,,,,,,単勝:170円 複勝:05=110円 03=240円 10=210円 枠連:890円,,,,,,,,,,,
"馬連:4,130円 ワイド:03-07=1,260円 02-03=660円 02-07=1,180円",,,,,,,,,,,,"馬連:2,890円 ワイド:01-07=980円 07-12=5,860円 01-12=10,730円",,,,,,,,,,,,"馬連:4,890円 ワイド:03-16=1,710円 08-16=20,880円 03-08=7,040円",,,,,,,,,,,,"馬連:880円 ワイド:03-05=380円 05-10=350円 03-10=1,070円",,,,,,,,,,,
"馬単:9,370円 3連複:9,550円 3連単:59,200円",,,,,,,,,,,,"馬単:4,150円 3連複:68,500円 3連単:332,740円",,,,,,,,,,,,"馬単:11,190円 3連複:144,460円 3連単:958,080円",,,,,,,,,,,,"馬単:1,270円 3連複:1,970円 3連単:7,510円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋華賞 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｇエクスビｰト, 49,長谷川,, 64,* -1,  -4,10,138.8, ②②, 1, 4,Ｄピュｰタｰ, 76,四位洋,, 79,*  8,* 13, 3,  6.6, ①①, 1, 8,Ｃトｰセンスタｰン, 83,内田博,, 79,   3,* 15, 3,  3.4,③⑤⑤, 1,15,Ｄアパパネ, 82,蛯名正,, 86,  14,* 13, 1,  2.3,⑫⑪⑨
 2, 5,Ｆヴィジャイ, 55,安藤勝, 0.1, 65,  -8,*  7, 1,  2.2, ⑩⑧, 2, 9,Ｅピサノプリヴェ, 73,福永祐, 0.5, 75,   7,  10, 2,  4.1, ④④, 2, 3,Ａサンマルボス, 84,和田竜, 0.1, 78,*  4,  11, 1,  2.8,②③③, 2,10,Ｅアニメイトバイオ, 81,後藤浩, 0.1, 86,  12,* 15, 6, 13.3,⑩⑬⑫
 3, 3,Ｃタガノエベンヌ, 59,蛯名正, 0.2, 60,* -3,  -6, 4,  8.8, ③③, 3,12,Ｇアイディンパワｰ, 72,太宰啓, 0.8, 73,   3,* 12, 8, 14.7, ⑨⑨, 3, 1,Ｄキラウエア, 79,武豊  , 0.3, 77,   1,* 16, 2,  3.1,⑥⑧⑧, 3, 4,Ｂアプリコットフィズ, 84,武豊  , 0.2, 85,  14,   9, 2,  7.1,④⑤④
 4, 4,Ｎゼンノルジェロ, 38,武豊  , 0.2, 61,* -3,  -4, 3,  4.3, ④④, 4, 8,Ａジュモｰ, 80,後藤浩, 0.9, 72,   1,* 14, 4,  7.9, ⑫⑫, 4, 4,Ｂスパｰクルシチｰ, 84,蛯名正, 0.4, 74,*  5,   7, 6, 18.4,⑨①①, 4,17,Ａワイルドラズベリｰ, 86,池添謙, 0.3, 85,  12,* 12, 4, 10.2,⑭⑭⑬
 5, 1,Ａジャックバロｰズ, 65,幸英明, 0.3, 61,  -6,  -1, 7, 24.9, ⑥⑤, 5,10,Ｎウォｰタｰサムデイ, 61,池添謙, 1.0, 72,   5,   9,11, 49.3, ⑦⑦, 5, 9,Ｇアドマイヤプレミア, 75,上村洋, 0.4, 80,   4,  13, 5, 18.3,⑤⑥⑥, 5, 1,Ｐレディアルバロｰザ, 74,幸英明, 0.3, 84,  12,  10,15,135.8,⑦⑧⑩
 6, 6,Ｊモエロック, 44,後藤浩, 0.3, 58,* -2, -10, 8, 68.3, ①①, 6, 7,Ｉカシノヘラクレス, 70,上野翔, 1.3, 70,   6,   5,13, 66.4, ⑥⑥, 6, 6,Ｈアグネスヨジゲン, 74,秋山真, 0.5, 74,   3,   9, 7, 24.4,④④④, 6,13,Ｉディアアレトゥｰサ, 78,安藤勝, 0.5, 82,* 15,   3,10, 23.9,⑨⑦⑥
 7,11,Ｉテンシノイツル, 45,中村将, 0.5, 59,  -5,  -3, 9, 93.0, ⑧⑥, 7, 3,Ｃエイシンフルハｰト, 79,酒井学, 1.3, 69,   7,   3, 1,  3.0, ③②, 7, 2,Ｅタイセイレジェンド, 77,芹沢純, 1.1, 68,*  4,   3, 4,  9.6,①②②, 7,16,Ｊクラックシｰド, 77,吉田豊, 0.6, 83,  12,* 12,13, 61.7,⑰⑮⑮
