10年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,清水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10, 6, マイネルソラｰナ,---,幸英明, 4.3, 28, -23, -12, 8, 20.6,③⑨⑩,10,14,Ｍレッドライオン, 69,高倉稜, 1.5, 63,   4,  -1,14,138.7,⑦⑦⑥,10, 7,Ｉジニオマッジョｰレ, 73,渡辺薫, 0.9, 72,*  9,  -8,12, 65.8, ②②,10, 9,Ｍブラックシャドウ, 78,熊沢重, 1.1, 78,  10,   1,12, 83.1, ⑤⑤
11, 5, アスカノタップ,---,川島信, 4.7, 25, -27,  -9,11,128.8,⑫⑫⑫,11, 8,Ｋメイショウダイクン, 70,川須栄, 1.7, 65,   4,  -2,13, 93.1,⑥⑥⑧,11,10,Ｂキヲウエタオトコ, 82,佐藤哲, 1.1, 69,   4,  -5, 5,  9.3, ⑦⑥,11,12,Ｋティアップハｰレｰ, 81,藤岡佑, 1.4, 75,   9,   1,10, 41.0, ⑦⑦
12,11, ポｰトエンジェル,---,和田竜, 4.8, 25, -25, -13,12,140.8,⑪⑪⑪,12, 5,Ｂダノンエクスプレス, 75,内田博, 1.8, 64,*  5,  -5, 2,  4.3,④④③,12, 8,Ｊミッシングナンバｰ, 72,松岡正, 1.8, 60,*  8, -18, 6, 10.1, ③⑤,12, 2,Ｏミゼリコルデ, 78,浜中俊, 1.7, 72,   6,   2,13,104.7, ⑪⑪
,,,,,,,,,,,,13, 9,Ｊガリアｰノ, 70,松山弘, 2.4, 64,   0,   1,11, 49.5,⑬⑬⑬,13, 5,Ｍトウカイポプリ, 62,上村洋, 3.7, 36, -20, -16,13,111.0, ⑬⑬,13,15,Ｇトウショウクエスト, 82,小牧太, 2.3, 66,   6,  -4, 7, 25.9, ⑨⑩
,,,,,,,,,,,,14, 1,Ａアドマイヤアゲイン, 76,池添謙, 4.9, 44,   0, -21, 3,  4.7,⑨⑪⑭,,,,,,,,,,,,,14, 5,Ｂドスライス, 86,三浦皇, 5.3, 43,   6, -30, 5, 13.7, ⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
"単勝:340円 複勝:02=150円 12=200円 09=190円 枠連:1,300円",,,,,,,,,,,,"単勝:370円 複勝:03=200円 12=200円 07=320円 枠連:1,040円",,,,,,,,,,,,"単勝:2,990円 複勝:04=560円 09=280円 03=150円 枠連:4,990円",,,,,,,,,,,,単勝:190円 複勝:08=110円 11=230円 13=160円 枠連:600円,,,,,,,,,,,
"馬連:1,220円 ワイド:02-12=470円 02-09=370円 09-12=750円",,,,,,,,,,,,"馬連:1,290円 ワイド:03-12=630円 03-07=1,080円 07-12=1,130円",,,,,,,,,,,,"馬連:9,310円 ワイド:04-09=2,400円 03-04=1,540円 03-09=550円",,,,,,,,,,,,馬連:700円 ワイド:08-11=280円 08-13=210円 11-13=590円,,,,,,,,,,,
"馬単:2,170円 3連複:2,200円 3連単:10,760円",,,,,,,,,,,,"馬単:2,480円 3連複:6,410円 3連単:27,790円",,,,,,,,,,,,"馬単:20,250円 3連複:9,060円 3連単:93,210円",,,,,,,,,,,,"馬単:980円 3連複:1,160円 3連単:3,650円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
