10年12月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,六甲ｱｲﾗﾝﾄﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａグランス, 60,安藤勝,, 53, -10,* 18, 1,  1.6,④④④, 1, 9,Ｇアドマイヤラクティ, 59,岩田康,, 69,  -2,* 10, 1,  2.2, ⑪⑩, 1,15,Ｂドクタｰラオウ, 79,佐藤哲,, 71,   2,*  7, 3,  7.3, ⑤④, 1,13,Ｇサングレアズｰル, 81,藤岡佑,, 89,*  4,  16, 8, 20.9, ②②
 2, 5,Ｂカネトシリｰプイン, 54,藤岡佑, 0.1, 53,* -9,  14, 3,  5.3,②②②, 2, 5,Ｆスｰサングレｰト, 60,和田竜, 0.2, 66,  -1,*  2, 6, 15.6, ⑧⑧, 2, 9,Ａエアインシャラｰ, 84,浜中俊, 0.0, 71,*  3,   6, 1,  1.5, ④③, 2, 1,Ｉトｰセンイマジゲン, 79,秋山真, 0.4, 89,  -4,* 23, 9, 28.9, ⑪⑪
 3, 7,Ｄアｰスワンマンボ, 52,浜中俊, 0.1, 55, -10,  16, 4, 10.7,③③③, 3, 2,Ｂファタモルガｰナ, 68,国分恭, 0.4, 63,*  1,  -2, 7, 15.8, ④③, 2,13,Ｊフロｰズンタイム, 66,安藤勝, 0.0, 70,*  4,   5, 6, 28.4, ①①, 3, 9,Ｄシゲルモトナリ, 81,幸英明, 0.4, 86,   0,  18, 1,  3.1, ⑤⑤
 4, 1,Ｃモズハリケｰン, 53,和田竜, 0.3, 52,* -8,  10, 2,  3.8,①①①, 4,13,Ｉヒラボクビクトリｰ, 47,下原理, 0.8, 58,*  2, -11,11,221.4, ②②, 4,11,Ｃシゲルケンシン, 76,後藤浩, 0.0, 70,   1,*  8, 4, 11.5, ⑫⑦, 4, 2,Ｂエｰシンビｰセルズ, 83,後藤浩, 0.4, 87,  -4,* 22, 7, 16.0, ⑨⑧
 5, 6,Ｆクｰルファルコン, 42,国分優, 0.5, 51, -11,  14, 6, 86.9,⑤⑤⑤, 5, 3,Ｅウインルキア, 60,後藤浩, 0.9, 57,   0,  -7, 4, 11.4, ⑥⑥, 5,10,Ｆミッキｰミステリｰ, 71,岩田康, 0.4, 68,   0,   6, 2,  5.5, ⑪⑩, 5, 4,Ｃリｰチコンセンサス, 82,浜中俊, 0.6, 86,  -5,* 22, 2,  3.4, ⑩⑫
 6, 4,Ｅキョウワオリオン, 51,佐藤哲, 2.0, 41, -12,   5, 5, 19.6,⑦⑦⑥, 6,10,Ｍマイネルシトラス, 31,川須栄, 0.9, 58,  -4,  -1,12,260.3, ⑫⑬, 6, 5,Ｈエｰシンハダル, 68,川田将, 0.5, 67,   1,   4, 7, 32.8, ⑥⑧, 6,15,Ｅアスドゥクｰル, 81,佐藤哲, 0.7, 81,   1,  11, 6, 15.0, ④④
 7, 8,Ｉテイエムシェイク, 28,国分恭, 5.6, 18, -17, -18, 8,198.1,⑧⑧⑧, 7, 7,Ｈコスモセンシティブ, 57,幸英明, 0.9, 58,  -2,  -5,10,173.3, ⑩⑪, 7,12,Ｄメイショウモネ, 72,古川吉, 0.7, 66,  -1,   6, 5, 23.0, ⑭⑪, 7, 5,Ｋタイガｰストｰン, 78,下原理, 0.8, 84,  -8,* 22, 5, 12.5, ⑭⑭
 8, 9,Ｈタマモタンバリン, 35,幸英明, 6.6, 10, -14, -31, 6, 86.9,⑥⑥⑦, 8, 6,Ａアストリンジャｰ, 68,浜中俊, 0.9, 57,  -1,  -8, 2,  3.4, ⑦⑦, 8, 8,Ｅオｰミレイライン, 72,安部幸, 0.8, 65,   0,   3,11,125.2, ⑩⑨, 8,12,Ｎノボリデュｰク, 77,熊沢重, 0.9, 78,*  5,   4,11, 57.5, ①①
,,,,,,,,,,,, 9, 1,Ｄテイエムドンマイ, 64,古川吉, 1.0, 56,*  2, -15, 3,  5.9, ①①, 9, 2,Ｐレルシｰルフロｰラ, 26,藤岡佑, 0.8, 66,  -5,*  9,13,154.4, ⑮⑮, 9, 8,Ｆマイネエスポワｰル, 81,和田竜, 1.0, 82,  -7,  18, 4,  8.9, ⑬⑮
,,,,,,,,,,,,10,12,Ｃストライクホｰク, 65,藤岡佑, 1.0, 55,*  1, -12, 5, 15.5, ⑤⑤,10,16,Ｎヒシドンネル, 58,国分恭, 1.1, 63,*  3,  -4, 8, 67.7, ③②,10, 3,Ｊメイショウシオギリ, 79,飯田祐, 1.0, 78,   0,  10,12, 83.0, ⑥⑥
,,,,,,,,,,,,11, 4,Ｌアｰジュドｰル, 39,国分優, 1.0, 56,  -1,  -8, 9, 58.0, ⑨⑨,11, 4,Ｏアスタｰタイクｰン, 57,幸英明, 1.2, 62,  -2,   1, 9, 83.0, ⑬⑬,11, 7,Ａダブルウェッジ, 83,国分恭, 1.1, 75,*  2,   5, 3,  7.6, ③③
,,,,,,,,,,,,12, 8,Ｋマコトカリバｰン, 46,酒井学, 1.4, 53,  -3,  -8,13,421.6, ⑬⑫,12, 1,Ｌダスティンバロｰズ, 62,酒井学, 1.3, 63,   1,  -1,12,142.2, ⑧⑫,12,16,Ｈスｰパｰワシントン, 80,石橋守, 1.2, 80,  -9,  19,15,110.5, ⑯⑯
,,,,,,,,,,,,13,11,Ｊココモオレンジ, 47,川田将, 2.2, 44,*  1, -30, 8, 33.5, ③④,13, 3,Ｉメイショウダイクン, 66,国分優, 1.4, 60,   0,  -2,15,328.4, ⑨⑭,13,18,Ｏゲットブラック, 77,古川吉, 1.3, 77,  -7,  14,13, 86.4, ⑮⑬
,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｇトｰセンチドリアシ, 69,石橋守, 1.4, 62,  -8,*  8,14,311.0, ⑯⑯,14,10,Ｍセトノアンテウス, 77,安藤勝, 1.3, 75,  -3,   9,10, 31.3, ⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｋサイキョウアサカゼ, 63,川須栄, 1.9, 57,   2,  -9,10, 99.7, ⑦⑤,15, 6,Ｌセイウンワキタツ, 77,酒井学, 1.4, 78, -12,  19,16,211.8, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｍゲイリｰライアン, 59,北村浩, 3.1, 46,*  3, -21,16,373.4, ②⑥,16,14,Ｐドリｰムスカイラブ, 76,安部幸, 1.5, 72,  -4,   7,14,105.2, ⑫⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｑジョウショｰアロｰ, 72,鷹野宏, 1.9, 67,   0,  -2,18,369.1, ⑧⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,Ｒペリｰ, 49,川須栄, 2.3, 69, -18,  17,17,280.5, ⑱⑱
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
単勝:160円 複勝:02=110円 05=130円 07=160円 枠連:300円,,,,,,,,,,,,"単勝:220円 複勝:09=120円 05=300円 02=310円 枠連:1,050円",,,,,,,,,,,,単勝:730円 複勝:15=160円 09=110円 13=460円 枠連:220円,,,,,,,,,,,,"単勝:2,090円 複勝:13=560円 01=610円 09=160円 枠連:2,780円",,,,,,,,,,,
馬連:340円 ワイド:02-05=150円 02-07=210円 05-07=320円,,,,,,,,,,,,"馬連:1,170円 ワイド:05-09=470円 02-09=680円 02-05=1,500円",,,,,,,,,,,,"馬連:230円 ワイド:09-15=250円 13-15=2,110円 09-13=680円",,,,,,,,,,,,"馬連:28,330円 ワイド:01-13=6,870円 09-13=1,370円 01-09=1,470円",,,,,,,,,,,
"馬単:470円 3連複:600円 3連単:1,350円",,,,,,,,,,,,"馬単:1,570円 3連複:3,990円 3連単:13,450円",,,,,,,,,,,,"馬単:710円 3連複:2,810円 3連単:8,830円",,,,,,,,,,,,"馬単:55,120円 3連複:29,050円 3連単:291,150円",,,,,,,,,,,
