10年 5月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 5月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,春日山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄメジロフランクリン, 60,黛弘人,, 57,   3,  -6, 4,  8.3,⑦⑤③, 1, 7,Ｂタガノイノセンス, 58,芹沢純,, 63,* -7,   3, 1,  3.2,①①①, 1, 4,Ａディアエンデバｰ, 78,松山弘,, 70,   0,* 12, 1,  3.5, ⑪⑫, 1, 1,Ｈトゥリオｰニ, 70,石橋脩,, 76,   2,  13, 3,  5.2, ⑨⑥
 2, 7,Ａエイユｰブラッサム, 68,松山弘, 0.0, 58,   1,  -2, 2,  3.8,④⑥⑤, 2, 6,Ｄヤマニンシュシュ, 54,ウィリ, 0.2, 62,* -8,   4, 5,  7.7,②③③, 2,10,Ｊマスタｰオブゲｰム, 66,丸山元, 0.1, 68,   1,*  8, 4,  8.3, ⑧⑦, 2,10,Ｂベルタリド, 75,田辺裕, 0.0, 73,   3,  14, 8, 16.2, ⑥⑧
 3, 1,Ｃウインシュヴァルツ, 62,荻野琢, 0.0, 58,*  6, -11, 1,  3.3,①①①, 3,16,Ｏレガｰメ, 34,石橋脩, 0.4, 61,* -8,   0,13,182.7,③②②, 3,11,Ｍウィザｰスプｰン, 58,田嶋翔, 0.4, 65,   1,   5,11, 19.5, ⑫⑩, 3, 5,Ｆタツクｰル, 72,丸山元, 0.1, 76,  -1,* 21, 7, 14.5, ⑫⑫
 4, 8,Ｂリバｰダンス, 62,西村太, 0.2, 57,  -1,*  0, 6, 12.9,⑧⑩⑩, 4,12,Ｉスｰパｰティチャｰ, 47,鈴来直, 0.5, 58, -10,   0,11, 73.1,⑤⑤⑤, 4, 8,Ｄウイニングドラゴン, 71,松田大, 0.5, 66,   6,   0, 7, 13.9, ⑥⑤, 4, 9,Ｉタガノガブリエル, 68,松田大, 0.3, 69,*  5,   0, 6, 12.1, ②②
 5,12,Ｇブライトベイ, 55,田中博, 0.5, 55,   1,  -7, 8, 30.7,⑪⑦⑥, 5,13,Ｆホワイトミｰナ, 54,小野次, 0.5, 59,  -9,   2, 3,  6.8,⑦⑦⑥, 5, 7,Ｅゴｰイングステｰジ, 70,的場勇, 0.5, 63,*  8,  -5, 3,  8.1, ②②, 5, 7,Ａナムラチェンジ, 79,川島信, 0.4, 70,   1,  11, 4,  8.8, ⑪⑪
 6,13,Ｊタｰジマハル, 44,水口優, 0.7, 54,  -4,*  1,11, 83.1,⑫⑭⑭, 6, 4,Ｃビッグラジャｰ, 57,古川吉, 0.6, 65, -12,*  8, 4,  7.4,⑫⑪⑪, 6, 1,Ｈシャフツレディ, 68,村田一, 0.5, 64,   4,   0,12, 29.4, ⑤⑥, 6, 2,Ｃゴｰルドスパｰクル, 73,的場勇, 0.5, 68,*  4,   2, 2,  4.1, ③③
 7, 9,Ｎアサクサハンタｰ, 28,丸山元, 0.9, 50,*  5, -17, 3,  4.1,②②②,12,15,Ａメイショウビｰナス, 60,田中健, 0.6, 66, -15,* 15, 2,  4.0,⑯⑯⑭, 7,14,Ｇイサミチェリｰ, 69,千葉直, 0.5, 65,  -2,*  9, 6, 11.2, ⑮⑮, 7, 3,Ｄキングウェｰルズ, 73,ウィリ, 0.7, 69,   2,   8, 1,  2.9, ⑩⑨
 8, 5,Ｈディアシルフ, 54,国分優, 0.9, 52,  -1,  -6,14,165.2,⑬⑪⑪, 7, 2,Ｅホクトスズラン, 54,荻野琢, 0.8, 55, -11,  -1, 7, 14.6,⑥⑥⑦, 8,15,Ｂアナナス, 73,田辺裕, 0.7, 61,  -1,   4,13, 59.2, ⑬⑬, 8, 8,Ｇホｰクウィンザｰ, 71,古川吉, 0.7, 69,   3,   2, 5,  9.2, ④⑤
