10年 4月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 4月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1600m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾊﾙﾃｹｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｈウィズインカチドキ, 53,柴田善,, 63,  -2,*  7,10, 43.7, ⑦⑦, 1, 2, ディアディアｰ,,穂苅寿,,,,, 3,  4.3,④⑤⑥, 1,14,Ａギュイエンヌ, 73,後藤浩,, 66,   0,* 10, 1,  2.8, ⑩⑨, 1,10,Ｉシャルルマｰニュ, 86,蛯名正,, 88,  15,* 14, 2,  3.8, ⑪⑧
 2,10,Ａピｰコックブルｰ, 63,内田博, 0.5, 60,*  1,   0, 1,  2.5, ③④, 2, 5, ナカヤマスナイパｰ,,石神深,203.4,,,, 5,  9.5,③③③, 2,13,Ｃネイヴルトウショウ, 73,吉田豊, 0.0, 66,   6,   1, 2,  4.3, ④④, 2,11,Ｂヒラボクワイルド, 91,松田大, 0.2, 88,  15,  10, 1,  2.5, ⑥⑤
 3, 5,Ｂアラヴォｰトル, 62,勝浦正, 0.6, 58,*  2,  -3, 2,  4.3, ①①, 3, 8, トｰセンコックス,,水出大,203.4,,,, 4,  7.8,⑧④④, 3, 7,Ｈシｰガルプリンセス, 66,伊藤工, 0.4, 63,*  9,  -5, 7, 29.5, ①①, 3, 2,Ｇエアマックｰル, 86,後藤浩, 0.4, 81,* 17,   6, 6, 16.0, ②②
 4, 7,Ｉサトノコンテッサ, 52,横山典, 0.7, 57,   0,  -1, 8, 22.8, ④③, 4,10, チャイコフスキｰ,,五十嵐,204.0,,,, 2,  3.3,①①①, 4, 3,Ｇハｰレムスウィング, 66,蛯名正, 0.4, 64,   6,  -2, 4,  6.6, ③③, 4, 5,Ｎケイアイコンセプト, 84,勝浦正, 0.7, 80,  13,   9, 8, 26.5, ⑫⑩
 5, 1,Ｆオリオンシチｰ, 54,大庭和, 1.0, 53,  -9,*  5, 5,  8.6, ⑫⑫, 5, 9, ドレックセル,,大庭和,205.3,,,, 6, 22.7,②②②, 5,16,Ｆアルファアップル, 69,勝浦正, 0.6, 62,   5,  -2, 6, 23.8, ⑥⑤, 5,15,Ｏヒシパｰフェクト, 80,内田博, 0.7, 83,  10,* 15,10, 41.9, ⑯⑯
 6,11,Ｇジャングルジャガｰ, 54,後藤浩, 1.0, 54,  -8,*  4, 7, 17.5, ⑭⑬, 6,11, ゴルデンシュライン,,西谷誠,206.2,,,, 1,  3.1,⑩⑧⑧, 6, 6,Ｋネバｰグレイス, 63,郷原洋, 0.7, 62,  -2,   7,13,210.3, ⑫⑪, 6, 8,Ｄフォｰティファイド, 88,吉田豊, 0.9, 79,  15,   5, 7, 16.6, ⑤⑥
 7, 8,Ｄピｰスオブケイク, 58,吉田豊, 1.3, 52,  -1,  -6, 6, 11.1, ⑥⑥, 7, 7, リバルドボｰイ,,浜野谷,207.7,,,, 8, 40.2,⑨⑦⑦, 7, 1,Ｊベルイシス, 63,北村宏, 0.8, 62,  -2,   8, 8, 33.9, ⑪⑬, 7,16,Ｌメイショウラッシｰ, 85,横山典, 1.1, 77,* 18,  -1, 4, 10.8, ①①
 8, 2,Ｋクリノオペラオｰ, 45,小林淳, 1.3, 52,  -5,  -2,15,380.4, ⑩⑩, 8, 4, アイティヤマト,,蓑島靖,210.8,,,,11, 83.3,⑬⑫⑫, 8, 2,Ｉフラココ, 63,柴山雄, 0.8, 60,  -2,   5,11,131.5, ⑨⑩, 8, 4,Ｅギシアラバストロ, 88,北村宏, 1.1, 76,* 17,   0, 9, 37.9, ③③
