10年 5月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 5月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ゆきつばき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａピノブラン, 62,丸山元,, 64,*  1,*  5, 1,  1.9,①①①, 1,11,Ｄキセキ, 60,田中健,, 65,   1,*  1, 3,  5.9, ⑥⑥, 1, 9,Ｂポイマンドレｰス, 75,ウィリ,, 72,*  1,* 17, 1,  1.6,②②②, 1, 5,Ｈバトルレッド, 64,小野次,, 66,   0,   2, 3,  6.1, ⑦⑦
 2, 1,Ｊカンマビｰド, 33,大野拓, 0.4, 61,*  0,*  5, 4, 10.9,④②②, 2,12,Ｃキセンハボク, 62,荻野琢, 0.2, 64,   4,  -3, 1,  2.4, ⑤④, 2,15,Ａパレスミサイル, 75,田嶋翔, 0.0, 74,   0,* 20, 2,  7.3,⑦⑦⑧, 2,12,Ｃタバルナ, 66,石橋脩, 0.0, 67,  -5,*  7, 1,  3.2, ⑬⑫
 3,11,Ｃドラゴンソニック, 56,吉田隼, 0.9, 63,  -1,*  3, 3,  7.4,⑫⑥⑥, 3, 9,Ｅリリｰレインジャｰ, 58,松山弘, 0.9, 56,   2,  -9, 6, 10.5, ③③, 3,13,Ｏクレバｰネオ, 66,吉田隼, 0.6, 70,*  1,  13, 9, 39.3,④③③, 3, 4,Ｉバクシンカｰリｰ, 63,木幡初, 0.0, 66,   3,  -1, 2,  5.4, ④⑤
 4, 8,Ｆリエｰトフィｰネ, 52,松山弘, 1.1, 60,  -1,   1, 5, 12.1,⑥⑤⑤, 4, 5,Ｉキングリョウガ, 55,池崎祐, 1.0, 55,  -1,  -6,13,173.9, ⑧⑧, 4,12,Ｇヤマノベガ, 73,的場勇, 0.8, 66,*  1,   9, 5, 13.0,①①①, 4,11,Ｄセイウンシェンロン, 65,古川吉, 0.1, 66,   0,   1, 7, 16.9, ⑧⑧
 5,14,Ｂキュルミナン, 56,川島信, 1.4, 55,*  0,  -3, 2,  4.0,⑦④④, 5,13, サンマルフラワｰ,---,西村太, 1.1, 52,  -3,  -5,14,201.1, ⑩⑨, 5, 7,Ｋカゼノグッドボｰイ, 71,村田一, 0.8, 68,   0,  13,10, 63.8,③⑤⑤, 5,13,Ｎフィｰルザファン, 55,宮崎北, 0.2, 64,  -4,   3,14,116.3, ⑪⑪
 6,10,Ｇニシノグラビア, 51,丸田恭, 1.7, 56,  -4,   0,10, 72.5,⑬⑪⑧, 6, 8,Ｈオキザリス, 56,丸田恭, 1.2, 52,  -4,  -5, 2,  5.9, ⑫⑪, 6, 2,Ｅフラッグラッシュ, 74,鮫島良, 0.8, 69,  -2,* 16, 6, 16.3,⑬⑭⑬, 6, 2,Ｌサンデｰジョウ, 58,丸田恭, 0.6, 57, -15,*  8, 8, 19.4, ⑯⑯
 7,12,Ｅグリッタラｰティ, 53,西村太, 1.8, 53,*  0,  -7, 6, 22.2,③③③, 7, 6,Ｇセザンブライト, 57,宮崎北, 1.4, 50,   0, -10, 7, 35.9, ⑦⑦, 7, 3,Ｌホトダｰ, 69,西田雄, 0.9, 68,  -1,  14,12,152.6,⑧⑨⑨, 7,14,Ｏナリタシｰズン, 53,川島信, 0.6, 57, -10,*  5,16,169.8, ⑮⑮
 8, 4,Ｈベルモントリコ, 50,鷹野宏, 2.1, 54,  -3,  -2,12,174.2,⑤⑨⑨, 8, 2,Ｎツルマルヒｰロｰ, 40,水口優, 1.4, 48, -12,*  0,11, 88.3, ⑮⑮, 8, 6,Ｉトゥルｰボｰン, 71,丸田恭, 0.9, 67,   0,  11, 7, 17.5,⑥⑥⑥, 8, 3,Ｊラガｰリンリン, 63,長谷川, 0.7, 58,  -1,  -6, 9, 20.1, ⑩⑩
