10年 4月24日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 4月24日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,滝桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａサンマルプリンセス, 65,小島太,, 66,*  3,*  0, 2,  3.4, ①①, 1, 9,Ｃワンダｰバライル, 58,野元昭,, 60,* -2,*  8, 3,  4.2,⑭④⑤, 1,11,Ｂモエレアイドル, 71,吉田隼,, 71,   1,* 11, 3,  6.7,⑩⑧⑥, 1, 2,Ｂロングロウ, 69,福永祐,, 70,   4,*  6, 1,  3.3,⑪⑩⑩
 2, 6,Ｅカゼノマイヒメ, 56,丸山元, 0.3, 63,  -4,*  4,10, 53.5, ⑤③, 2,15,Ａトｰセンヤッテキタ, 61,江田照, 0.1, 57,* -1,*  6, 2,  4.0,③③③, 2, 8,Ａカネトシスラｰヴァ, 74,田中博, 0.1, 71,*  3,   7, 1,  2.5,⑦④③, 2, 7,Ｋヤマニンシャスｰル, 61,田中健, 0.2, 70,   5,*  2,10, 20.5,⑨⑦⑥
 3, 4,Ｂユニラテラリズム, 59,中舘英, 1.1, 55,*  1,  -8, 1,  1.8, ②②, 3, 7,Ｆキョウエイナゲット, 57,木幡初, 0.5, 56,  -2,   5, 5, 10.9,⑤⑤④, 3,12,Ｇプラｰジュ, 64,中舘英, 0.2, 70,   0,* 10, 6, 14.0,⑫⑫⑨, 3, 5,Ｄフェバリットアワｰ, 69,大野拓, 0.4, 64,*  7,  -3, 2,  6.0,④③②
 4, 8,Ｄセザンブライト, 56,三浦皇, 1.3, 52,  -9,  -2, 3,  9.6, ⑩⑨, 4, 5,Ｂウエスタンウェイブ, 58,田中勝, 0.7, 55,  -4,*  6, 1,  3.0,⑦⑨⑥, 4, 6,Ｊヤマニンアロンディ, 61,西田雄, 0.4, 68,   0,*  9,12,197.3,⑨⑩⑫, 4, 4,Ａジｰルドリル, 75,田中勝, 0.7, 63,   1,*  3, 8, 13.2,⑮⑮⑭
 5, 2,Ｃマイネポロｰニア, 57,木幡初, 1.3, 52,  -8,  -3,13, 60.1, ⑦⑦, 5,12,Ｍメイショウヘイゾウ, 40,古川吉, 0.9, 54,  -3,   2,10, 80.8,⑨⑧⑦, 5, 7,Ｆネオイユドゥレｰヌ, 65,太宰啓, 0.5, 66,   0,   6, 7, 17.1,⑧⑪⑧, 5,13,Ｇカネスデュエル, 65,三浦皇, 0.9, 63,   2,   0, 5,  9.0,⑭⑬⑬
 6, 7,Ｊキョウエイバリュｰ, 48,田中勝, 1.5, 52,*  0, -10, 7, 29.9, ③④, 6, 4,Ｎウインガルｰダ, 39,長谷川, 1.1, 50,* -1,  -3, 9, 36.4,②②②, 6, 5,Ｄマイファｰストラヴ, 68,北村友, 0.5, 66,*  3,   0, 2,  5.1,④③②, 6,10,Ｅビレッジブライト, 68,江田照, 0.9, 62,   6,  -6, 7, 12.4,⑦④④
 7,11,Ｋカシノアレグロ, 45,二本柳, 1.8, 49, -12,  -2,16,293.3, ⑬⑬, 7,13,Ｄエイコオレジェンド, 57,田辺裕, 1.2, 52,  -4,   2, 6, 16.5,⑬⑪⑩, 7, 4,Ｌサンアイブライト, 56,江田照, 0.6, 64,   1,   2,11,131.2,⑥⑦⑤, 7,15,Ｍフジペガサス, 59,木幡初, 1.1, 62,   4,  -2,15,317.1,⑫⑫⑨
 8,14,Ｇテイエムタイフｰン, 53,武士沢, 1.9, 46,  -1, -13, 8, 42.7, ④⑥, 8, 6,Ｇニシノユｰトピア, 57,三浦皇, 1.8, 48,  -4,  -2, 8, 22.4,⑧⑩⑨, 8,10,Ｃクリノメダリスト, 69,川島信, 1.2, 57,   0,  -3, 5,  7.0,⑪⑨⑪, 8,11,Ｉリズミックビｰト, 63,太宰啓, 1.5, 59,   5, -10,11, 66.7,⑩⑨⑧
