12年 3月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,武庫川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｋサイモンガｰランド, 44,武幸四,, 65,  -4,* 10, 6, 18.5,⑪③③, 1, 5, タフ,,田村太,,,,, 1,  3.4,①①①, 1, 2,Ｈエアハリファ, 67,デムｰ,, 77,*  2,* 12, 1,  2.7,①①①, 1,15,Ｂタガノエルシコ, 87,デムｰ,, 85,  12,   2, 3,  6.6, ⑧⑧
 2, 2,Ａアムｰルレジェンド, 67,福永祐, 0.0, 64,  -4,* 11, 1,  1.8,⑤⑤⑤, 2, 9, アラタマポケット,,難波剛,206.8,,,, 3,  5.7,③④④, 2,13,Ｆダイヴァｰダウン, 68,武豊  , 0.4, 74,   1,* 12, 7, 24.1,④③③, 2, 4,Ｈタツミリュウ, 82,秋山真, 0.1, 82,  14,  -5,12, 23.0, ③④
 3, 6,Ｆマｰメイドティアラ, 56,デムｰ, 0.3, 60,* -1,   5, 4,  9.4,①①①, 3, 4, ニシノファブレッド,,北沢伸,206.9,,,, 8, 15.5,②②②, 3,12,Ａサウンドビガレス, 74,福永祐, 0.8, 72,  -1,  10, 5,  7.7,⑥⑥④, 3, 3,Ｆデンコウジュピタｰ, 83,渡辺薫, 0.2, 81,   6,*  8, 6, 12.2, ⑭⑮
 4, 4,Ｇタガノカノｰプス, 54,国分優, 0.8, 57,  -4,   3, 8, 27.0,③④④, 4, 7, エイユｰブラッサム,,白浜雄,207.1,,,, 4,  6.4,⑧③③, 4, 8,Ｃコウエイチャンス, 71,浜中俊, 0.8, 74,  -1,* 11, 6, 17.9,⑫⑨⑧, 4, 8,Ｊマイネルエデン, 81,浜中俊, 0.4, 80,   7,   2,10, 21.0, ⑬⑬
 5,13,Ｂシルクシンフォニｰ, 62,岩田康, 0.8, 56,  -4,   4, 3,  6.8,⑦⑥⑦, 5, 2, コブラボｰル,,高野和,207.7,,,, 5,  7.0,⑥⑧⑦, 5,11,Ｂハギノコメント, 73,小牧太, 1.2, 69,*  1,   4, 3,  5.1,②②②, 5, 6,Ｋブレイブファイト, 81,岩田康, 0.4, 79,  12,  -3, 9, 17.2, ⑦⑦
 6,10,Ｍモンクｰル, 31,浜中俊, 0.9, 57,  -5,   4, 2,  5.5,⑥⑧⑥, 6, 6, オｰプンセサミ,,今村康,207.7,,,, 7, 13.3,⑦⑦⑥, 6, 7,Ｌアズマリュウセイ, 58,国分優, 1.3, 69,  -2,   9, 9, 38.9,⑨⑪⑩, 6, 2,Ｃピｰスピｰス, 85,飯田祐, 0.4, 80,   9,   1,11, 21.6, ⑪⑪
 7, 7,Ｉアッパレオリュウ, 50,和田竜, 1.1, 52,* -3,  -2,12,214.5,②②②, 7, 3, キンショｰオトヒメ,,中村将,207.7,,,, 2,  4.3,⑤⑥⑧, 7, 4,Ｅポレイア, 70,藤田伸, 1.3, 69,  -1,   5, 2,  4.8,⑤⑤⑦, 7,14,Ｇシｰスナイプ, 82,藤田伸, 0.4, 80,  15,  -7, 1,  4.2, ⑥⑥
 8, 8,Ｃケリｰダノビア, 62,荻野琢, 1.1, 54,  -6,   4, 5, 15.4,④⑦⑧, 8, 1, トムコウクン,,植野貴,208.1,,,, 6,  9.6,④⑤⑤, 8, 3,Ｇダｰクブレイズ, 67,渡辺薫, 1.4, 68,   0,   3,11, 55.9,③④⑤, 8,12,Ｅザバトルユｰジロｰ, 83,幸英明, 0.5, 78,  11,  -3,13, 46.5, ⑩⑩
