12年12月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名古屋日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃハブアストロｰル, 58,荻野琢,, 58,  -3,* -1, 3,  4.4,⑫⑫⑪, 1, 2,Ａマジカルビアンカ, 67,菱田裕,, 66,   7,   5, 3,  6.2,②③③, 1,15,Ｂタイセイモンスタｰ, 74,ウィリ,, 77,*  6,* 13, 2,  4.3,②②②, 1, 1,Ａホッコｰブレｰヴ, 86,三浦皇,, 86,  16,* 17, 1,  2.0,⑨⑩⑪
 2, 1,Ｇヴェルフェン, 53,丸田恭, 0.1, 57,*  0,* -6, 8, 22.5,⑮⑤⑤, 2,14,Ｅカレンケカリｰナ, 57,武豊  , 0.0, 67,   2,* 11, 1,  3.2,⑬⑪⑪, 2,14,Ｆオｰシャンドライブ, 71,川田将, 0.2, 77,   4,* 14, 1,  2.4,④④④, 2,10,Ｋコモノドラゴン, 72,北村友, 0.2, 83,  17,  12, 5,  9.8,⑪⑪⑨
 3, 8,Ａダノンチャコ, 64,川田将, 0.5, 55,*  0, -10, 5,  9.1,②②②, 3,11,Ｃミラクルラヴィ, 60,丸山元, 0.2, 65,   0,* 14,10, 36.3,⑭⑮⑭, 3,13,Ｅレッドデセｰオ, 72,中舘英, 0.8, 71,*  6,   7, 4,  8.0,①①①, 3, 2,Ｂラヴィンライフ, 81,武豊  , 0.2, 83,  14,* 17, 2,  6.6,⑫⑫⑫
 4, 9,Ｉヒルノドンカルロ, 51,藤田伸, 0.6, 56,*  0, -11, 1,  3.7,③③③, 4, 7,Ｉトｰワフォｰエバｰ, 54,川須栄, 0.3, 64,   5,   3, 5, 11.5,⑦⑥⑧, 4,12,Ｇフェアブレシア, 69,柴山雄, 0.9, 71,   4,   8, 6, 10.3,③③③, 4, 3,Ｇサトノエンデバｰ, 76,丸田恭, 0.2, 82,  17,  12, 6, 14.5,⑧⑧⑧
 5, 7,Ｅシゲルウミヘビザ, 54,藤懸貴, 0.7, 53,  -1,  -9,12, 94.4,⑦⑦⑥, 5, 6,Ｂラッキｰマンボ, 63,古川吉, 0.5, 59,*  9,  -7, 9, 22.9,①①①, 5, 4,Ｎグレｰトヴァリュｰ, 62,松田大, 1.7, 67,   3,   7,10, 67.7,⑧⑨⑨, 5, 6,Ｆアドマイヤカｰリン, 77,川田将, 0.2, 83,  18,   6, 3,  7.6,④⑤⑤
 6,15,Ｆタイセイホｰネット, 53,川須栄, 0.8, 55,  -3,  -7, 7, 14.9,⑩⑪⑨, 6,15,Ｄミキノティｰタイム, 58,柴山雄, 0.8, 59,   3,   2, 6, 16.3,⑮⑬⑬, 6, 3,Ａダヴィンチバロｰズ, 75,武豊  , 1.7, 68,   2,   8, 3,  6.7,⑩⑬⑬, 6, 7,Ｃブライトジェム, 80,吉田隼, 0.6, 79,  13,* 15,12, 66.2,⑬⑬⑬
 7, 3,Ｄポンデザムｰル, 54,柴山雄, 1.1, 51,  -4,  -8, 9, 29.9,⑪⑬⑬, 7,13,Ｏルｰセブラック, 41,大野拓, 0.8, 57,   7,  -7,15,179.5,⑧⑧⑥, 7, 5,Ｄファンタズミック, 72,丸山元, 1.8, 68,   1,   8, 5,  9.3,⑯⑮⑭, 7, 8,Ｌグッドバニヤン, 70,松田大, 0.7, 78,  17,   3,10, 55.4,⑥⑥⑥
 8, 6,Ｂドラグレスク, 60,武豊  , 1.3, 49,*  1, -18, 2,  4.0,①①①, 8, 3,Ｈディレットリｰチェ, 54,松山弘, 1.0, 54,   5,  -7, 4, 10.0,⑤⑤⑦, 8, 9,Ｉヤマイチタイキ, 68,藤懸貴, 2.2, 63,   2,   2,13,147.4,⑪⑩⑪, 8, 9,Ｉケルンフォｰティｰ, 76,杉原誠, 0.9, 77,  17,   0,11, 64.9,⑦⑦⑦
 9,14,Ｌサンミッシェル, 48,横山和, 1.3, 53,  -3, -12,13,114.6,⑨⑩⑫, 9, 9,Ｆミラクルセレｰネ, 55,中井裕, 1.4, 51,   5, -11,11, 43.5,⑨⑩⑨, 9,16,Ｃメイショウマルクル, 73,横山和, 2.2, 66,   4,  -3,12, 81.5,⑥⑤⑥, 9, 5,Ｄメイショウスクラム, 80,鮫島良, 1.3, 72,  14,   1,13, 76.0,⑩⑨⑩
10, 2,Ｍチェリッシュハｰト, 46,杉原誠, 2.1, 45,  -1, -21,14,124.8,⑥⑥⑧,10, 5,Ｋケイツｰモリガン, 47,黛弘人, 1.5, 51,   2,  -6,16,194.4,⑫⑫⑫,10, 6,Ｊトｰセンアスカ, 68,伊藤工, 2.2, 64,   4,   0,11, 78.2,⑤⑥⑤,10, 4,Ｊライジングサン, 76,松山弘, 1.6, 68,  18, -13, 4,  9.5,⑤④④
11,11,Ｐテイエムオオワシ, 43,鮫島良, 3.1, 41,  -7, -19,15,225.9,⑭⑭⑭,11, 4,Ｐハッピｰドライブ, 38,三浦皇, 1.7, 49,   4, -14,12, 97.1,⑪⑨⑩,11, 2,Ｈメイショウリバｰ, 69,今村康, 2.6, 62,   1,   1, 9, 63.3,⑮⑭⑮,11,11,Ｈカリスマミッキｰ, 76,川須栄, 1.6, 69,* 21, -21, 8, 27.1,①①①
