12年 9月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  芝3200m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,市原特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｆホワイトフリｰト, 48,横山典,, 55,* -2,*  4, 3,  4.8,②②②, 1, 3, サンレイデュｰク,,難波剛,,,,, 7, 13.9,⑤⑤⑤, 1, 7,Ａテンゲントッパ, 77,北村宏,, 74,*  9,*  7, 1,  1.8,②②②, 1,12,Ｃグレイレジェンド, 81,木幡初,, 80,  10,*  6, 4,  6.4,⑮⑭⑫
 2,11,Ｂヤンキｰソヴリン, 56,吉田隼, 0.6, 50,  -4,*  1, 1,  2.8,④⑤⑥, 2, 4, ハクサン,,石神深,217.4,,,, 4,  8.6,②②①, 2, 2,Ｂトウショウロジック, 74,松岡正, 0.0, 73,*  9,*  6, 2,  3.2,①①①, 2, 1,Ｈアントウェルペン, 78,田辺裕, 0.5, 75,* 14,  -7, 8, 14.9,①①①
 3, 7,Ｊアビスコ, 35,蛯名正, 0.8, 50,* -2,  -4, 2,  3.7,①①①, 3, 2, トｰセンオｰパス,,横山義,217.5,,,, 1,  3.6,④④④, 3,12,Ｄハヤブサエミネンス, 70,横山典, 0.6, 70,   8,   5, 6, 29.6,⑦⑤④, 3, 2,Ｉスカｰレル, 76,三浦皇, 0.6, 76,  13,  -4, 9, 27.7,④④②
 4, 1,Ｈハブアストロｰル, 45,荻野琢, 0.8, 51,  -6,*  3,12,105.8,⑭⑩⑩, 4, 7, シャイニｰブラック,,熊沢重,217.9,,,, 6, 12.4,⑦⑦⑥, 4,16,Ｃノッティングボｰイ, 71,丸田恭, 1.3, 65,   5,   4, 3,  8.6,⑩⑨⑧, 4, 5,Ｇガリレオバロｰズ, 78,北村宏, 1.0, 71,  11,  -5, 7, 13.5,⑨⑩⑨
 5,13,Ａウインチェイサｰ, 61,大野拓, 0.9, 49,  -4,  -2, 5, 10.8,⑩⑥⑤, 5, 9, ビｰビｰスカット,,柴田大,217.9,,,, 2,  3.7,③③③, 5, 1,Ｉキョウエイヒドラ, 64,勝浦正, 1.6, 63,*  8,  -6, 9, 73.4,③③⑤, 5, 7,Ｆヘリオス, 79,丸田恭, 1.1, 71,  12,  -6,14,101.8,⑩⑧⑥
 6, 9,Ｃコスモデスタン, 53,柴田大, 1.1, 47,* -3,  -5, 4, 10.7,⑤③④, 6, 1, リザｰブカｰド,,山本康,218.0,,,, 5,  9.8,①①②, 6, 5,Ｊリアルファッション, 64,柴田善, 1.7, 64,   3,   3, 5, 18.1,⑨⑩⑫, 6, 6,Ｎドゥｰアップ, 72,ピンナ, 1.1, 78,  11,  -5, 3,  5.6,⑫⑪⑩
 7,10,Ｉマイネルガブリエル, 45,松岡正, 1.1, 47,* -3,  -4, 8, 23.1,③④③, 7,12, ボストンプラチナ,,草野太,218.3,,,,12, 67.8,⑨⑧⑦, 7,13,Ｅアポロスカイナイト, 69,中舘英, 2.3, 59,   8, -10, 4, 16.7,⑤⑥⑥, 7, 3,Ｂドリｰムアライブ, 82,村田一, 1.5, 69,  12, -10,12, 54.9,⑦⑥③
 8, 2,Ｇサトノロｰタス, 46,北村宏, 1.2, 47,  -5,  -2, 6, 15.9,⑥⑦⑦, 8,14, クリスマドンナ,,金子光,219.5,,,,13, 81.3,⑫⑨⑧, 8,10,Ｍアｰドバｰク, 57,柴田大, 2.4, 57,   7, -11,15,196.8,④④③, 8,14,Ａホノカアボｰイ, 83,田中博, 1.6, 70,  11,  -9, 6, 10.5,⑪⑫⑬
 9, 4,Ｅオリオンザプラズマ, 49,杉原誠, 1.4, 47,  -6,  -1,13,128.9,⑧⑫⑨, 9, 6, シゲルハッサク,,森一馬,220.1,,,, 8, 16.1,⑪⑪⑪, 9,14,Ｐリバイヴエンブレム, 43,津村明, 2.4, 61,   3,  -2,12,148.3,⑭⑫⑨, 9, 8,Ｄダイヤノゲンセキ, 81,横山典, 1.7, 67,  12, -13, 1,  4.4,⑥⑤⑤
10,14,Ｋセイクリッドナイト, 27,三浦皇, 2.2, 41,  -5, -10, 7, 22.1,⑦⑧⑧,10, 5, ドラゴンハンタｰ,,植野貴,220.3,,,, 9, 31.9,⑭⑩⑩,10, 6,Ｋクｰルスタｰ, 63,荻野琢, 2.5, 59,   3,  -3, 8, 31.0,⑫⑪⑩,10,11,Ｐプルプル, 67,吉田豊, 2.3, 66,   9, -10,16,296.5,⑭⑮⑮
