12年 7月 1日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月 1日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2770m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,猪苗代特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄトキノワイルド, 56,中舘英,, 64,* -1,*  7, 3,  9.4, ①①, 1, 6, オウエイロブロイ,,大江原,,,,,10, 66.8,⑧⑤①, 1, 8,Ｊグァンタナメラ, 68,戸崎圭,, 70,   2,  10, 4, 10.7,④③④, 1, 1,Ｄセブンサミッツ, 82,中舘英,, 77,   5,  13, 4,  6.7,⑤④④
 2,16,Ｇホクレア, 51,江田照, 0.0, 64,* -1,*  8, 7, 49.4, ②②, 2, 8, シュヴァルツシルト,,金子光,186.2,,,, 3,  5.8,⑤③④, 2, 2,Ｂオメガフレグランス, 73,蛯名正, 0.0, 71,   2,  11, 1,  3.5,⑤⑤⑥, 2, 7,Ｎセイカフォルトゥナ, 72,北村宏, 0.0, 77,*  8,   9, 9, 21.1,②②①
 3, 9,Ｃバｰバラスアゲン, 56,岩部純, 0.7, 58,* -1,   2, 4, 28.5, ③④, 3, 5, フェバリットアワｰ,,横山義,187.2,,,, 1,  1.6,④②③, 3,15,Ａフィｰルザラブ, 77,北村宏, 0.2, 70,  -1,* 14, 3,  5.3,⑪⑩⑨, 3, 4,Ｉエスジｰブルｰム, 77,松岡正, 0.1, 78,*  7,   9, 7, 15.1,③③③
 4, 5,Ｂトｰセンファｰスト, 58,田辺裕, 0.9, 55,  -4,   2, 2,  7.4, ⑤③, 4,12, オｰビｰキング,,浜野谷,188.3,,,, 6, 29.3,⑥④⑤, 4, 6,Ｇケイジｰシオン, 70,丸田恭, 0.4, 65,   2,   8, 8, 19.0,③④②, 4,10,Ｆリアルアヴェニュｰ, 78,戸崎圭, 0.3, 76,   6,   9, 6,  9.5,④⑤⑤
 5, 7,Ｉホクテンリンダ, 51,西村太, 1.1, 52,  -8,   3,13,213.5, ⑦⑤, 5, 7, シルクファルシオン,,草野太,189.0,,,, 4, 10.5,①①②, 5, 3,Ｄクラリスピンク, 71,田中勝, 0.4, 70,  -4,* 18,11, 26.8,⑭⑭⑫, 5, 2,Ｂサンマルデュｰク, 83,田中勝, 0.3, 77,   3,* 16, 1,  3.5,⑩⑪⑪
 6, 2,Ｅエンシェントデイズ, 54,森泰斗, 1.2, 53, -11,*  6, 8, 54.7, ⑨⑧, 6,11, ドラゴン,,江田勇,189.8,,,, 5, 23.9,⑨⑦⑦, 6, 7,Ｆピュアマインド, 71,吉田豊, 0.5, 68,  -2,* 14, 7, 16.6,⑬⑪⑪, 6,13,Ｋタイガｰスラム, 77,藤岡佑, 0.5, 79,   0,* 18, 8, 19.7,⑬⑬⑬
 7,11,Ｆプレシャスストｰン, 51,嶋田純, 1.3, 52,  -6,   0, 5, 34.4, ⑥⑥, 7,10, アンシャンテルｰル,,高野和,190.0,,,,11,133.9,⑪⑫⑪, 7,13,Ｋミッキｰレモン, 68,田辺裕, 0.5, 66,   0,   9, 5, 11.1,⑩⑦⑤, 7, 8,Ａパワｰスポット, 84,田辺裕, 0.7, 75,   2,  14, 2,  5.2,⑫⑫⑫
 8,12,Ｊタカミル, 46,中谷雄, 1.6, 49,  -7,  -1,14,279.5, ⑧⑦, 8, 9, サトノハピネス,,池崎祐,190.2,,,, 7, 45.8,⑩⑪⑨, 8,11,Ｅブルｰメリディアン, 71,藤田伸, 0.6, 68,   0,   9, 2,  4.0,⑦⑧⑧, 8,15,Ｃコスタパルメｰラ, 83,吉田豊, 0.8, 73,   5,   8, 5,  8.6,⑦⑦⑧
 9, 1,Ｋスマｰトブリｰザ, 46,小島太, 2.2, 43, -14,  -1, 9, 79.2, ⑭⑪, 9, 4, タトゥｰン,,蓑島靖,190.3,,,,12,152.0,⑫⑨⑧, 9, 4,Ｍジュリエットソング, 62,松岡正, 0.9, 63,*  3,  -1, 6, 11.7,①①①, 9,11,Ｊヒカリアスティル, 77,佐藤哲, 1.0, 72,   3,   9,14,278.0,⑧⑩⑥
10, 4,Ａフラッシュパッカｰ, 69,戸崎圭, 2.2, 43, -11,  -3, 1,  1.2, ⑩⑩,10, 1, ワイズミュｰラｰ,,柴田大,192.2,,,, 2,  5.6,③⑥⑥,10,10,Ｈラブソネット, 70,石橋脩, 1.0, 64,   1,   4,10, 23.2,⑥⑥⑦,10,12,Ｇモエレエンデバｰ, 77,松山弘, 1.2, 70,   4,   6,12,129.1,⑨⑧⑨
