12年11月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,八坂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 6,Ｌシゲルリュウコツザ, 29,川須栄, 5.6, 28,  -6, -29,11,120.2,⑤⑧⑫,12, 2, アギャント,---,四位洋, 3.3, 29,* -6, -32, 7, 23.4, ①⑥,12,10,Ｉメイショウマルクル, 66,武幸四, 2.4, 58,*  8, -15,11, 93.6,②②③,,,,,,,,,,,,
,,,,,,,,,,,,13,11, ヒノデワビスケ,---,国分恭, 3.4, 28, -12, -25, 9, 45.1, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,15, タガノデウザ,---,川須栄, 3.7, 27, -13, -26,13,151.6, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,12, ジョウショｰタｰボ,---,高倉稜, 6.1,  8, -31, -25,15,309.1, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:1),,,,,,,,,,,
"単勝:200円 複勝:08=120円 04=250円 12=170円 枠連:1,380円",,,,,,,,,,,,"単勝:2,710円 複勝:14=490円 10=110円 07=210円 枠連:2,040円",,,,,,,,,,,,"単勝:1,090円 複勝:12=360円 08=240円 07=230円 枠連:1,270円",,,,,,,,,,,,単勝:930円 複勝:05=240円 01=110円 09=330円 枠連:910円,,,,,,,,,,,
"馬連:1,460円 ワイド:04-08=580円 08-12=320円 04-12=720円",,,,,,,,,,,,"馬連:2,340円 ワイド:10-14=830円 07-14=2,380円 07-10=430円",,,,,,,,,,,,"馬連:3,630円 ワイド:08-12=1,210円 07-12=1,220円 07-08=960円",,,,,,,,,,,,"馬連:920円 ワイド:01-05=400円 05-09=1,640円 01-09=330円",,,,,,,,,,,
"馬単:2,240円 3連複:2,020円 3連単:10,660円",,,,,,,,,,,,"馬単:7,120円 3連複:6,050円 3連単:57,960円",,,,,,,,,,,,"馬単:7,760円 3連複:8,940円 3連単:61,110円",,,,,,,,,,,,"馬単:2,740円 3連複:3,160円 3連単:22,180円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,京洛ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａヒルノケアンズ, 62,和田竜,, 54,*  2,  -6, 2,  3.3, ③③, 1, 8, オツウ,---,福永祐,, 69,  -8,* 12, 1,  1.9, ⑨⑧, 1, 2,Ａマｰチャンテイマｰ, 84,川田将,, 84,   9,* 11, 1,  1.9,②③④, 1, 9,Ｃサドンストｰム, 86,勝浦正,, 84,   2,* 19, 3,  5.3, ⑩⑪
 2, 5,Ｃサンライズトｰク, 57,池添謙, 0.1, 53,*  2,  -8, 1,  2.5, ②②, 2,14, カレンバッドガｰル,---,秋山真, 0.4, 64,* -5,   1, 3, 12.6, ③③, 2, 9,Ｋラフィングインメイ, 78,和田竜, 0.8, 79,* 10,   3, 6, 16.7,④④③, 2,13,Ｊジュエルオブナイル, 78,川田将, 0.2, 82,   9,  10, 6, 19.1, ④④
 3, 8,Ｇミラクルルｰマｰ, 46,川須栄, 0.2, 52,  -1,  -5, 9,106.1, ⑦⑦, 3, 9, バアゼルザウバｰ,---,川田将, 0.5, 64, -11,*  8,11, 73.4, ⑩⑩, 3,11,Ｂツルマルスピリット, 84,デムｰ, 0.8, 74,   8,   6, 2,  3.8,⑤⑧⑥, 3,12,Ｇシゲルスダチ, 81,高倉稜, 0.2, 82,   7,  13, 5, 12.6, ⑥⑥
 4, 6,Ｅタイムアラウド, 53,国分恭, 0.3, 51,  -1,  -5, 4,  6.5, ⑥⑥, 4, 6, ウエスタンレベッカ,---,オドノ, 0.7, 60,  -8,   1, 9, 47.3, ⑧⑦, 4,15,Ｇソルモンタｰレ, 79,荻野琢, 0.8, 79,   8,*  8, 7, 18.0,⑧⑨⑨, 4, 4,Ａツルマルレオン, 87,デムｰ, 0.2, 81,  -2,* 20, 2,  3.3, ⑫⑫
 5,12,Ｊフェブアクティヴ, 33,川島信, 0.5, 48,  -4,  -4, 7, 76.7, ⑨⑧, 5, 5, アムｰルポエジｰ,---,デムｰ, 0.9, 58, -13,*  7, 2,  3.4, ⑭⑭, 5, 5,Ｈワンダｰプリマ, 79,水口優, 1.0, 77,   8,   4,14,148.8,⑨⑥⑦, 5,15,Ｆアウトクラトｰル, 82,四位洋, 0.3, 80,   2,  15,10, 62.6, ⑪⑩
 6, 3,Ｄスズカアルファ, 55,太宰啓, 0.7, 49,*  3, -14, 5, 14.3, ①①, 6,15, ビｰマイラブ,---,藤岡佑, 1.1, 55,* -4, -12, 6, 20.1, ①①, 6,13,Ｅトップコマチ, 80,幸英明, 1.2, 75,* 11,  -2,11, 95.7,①①①, 6, 8,Ｅマコトナワラタナ, 83,酒井学, 0.3, 81,  -2,* 19, 4,  6.8, ⑮⑬
 7, 9,Ｋシゲルリブラ, 32,高倉稜, 1.0, 44,  -8,* -2,11,144.2, ⑪⑪, 7,16, ピュアアイズ,---,国分優, 1.1, 54,* -4, -12,12, 87.3, ②②, 7, 4,Ｉダイヤノゲンセキ, 79,小牧太, 1.5, 72,* 10,  -4, 3,  7.1,③②②, 7,11,Ｋビウイッチアス, 78,秋山真, 0.5, 78,  -5,* 20, 7, 27.4, ⑯⑯
 8, 2,Ｂタｰンザタイド, 61,川田将, 1.3, 43,   1, -17, 3,  4.8, ④④, 8,10, プリｰズドスマイル,---,池添謙, 1.1, 56, -11,   1, 4, 15.5, ⑪⑪, 8,14,Ｃマンボダンサｰ, 83,オドノ, 1.7, 73,   5,   5, 4, 14.2,⑬⑭⑭, 8, 3,Ｈメイショウデイム, 80,渡辺薫, 0.5, 77,   2,  12,14, 98.1, ⑨⑨
 9, 4,Ｍニジノハヤテ, 23,小坂忠, 1.4, 40, -14,*  1,12,145.6, ⑬⑬, 9, 3, ランミネルバ,---,太宰啓, 1.2, 53,  -7,  -8,13,104.3, ④④, 9, 8,Ｏサンレイハスラｰ, 73,渡辺薫, 1.7, 75,   8,  -1,15,244.8,⑥⑦⑧, 9, 2,Ｏガンダｰラ, 75,幸英明, 0.6, 77,   6,   7,11, 67.9, ⑤⑤
10,11,Ｉランドボイジャｰ, 35,藤岡佑, 1.5, 41,  -5, -10,10,127.3, ⑩⑩,10,18, シンシャ,---,酒井学, 1.2, 55, -11,  -1,15,138.7, ⑫⑫,10, 6,Ｎスペシャルイモン, 76,川須栄, 1.9, 72,   8,  -1, 9, 64.1,⑪⑩⑩,10, 1,Ｐケイアイアストン, 75,福永祐, 0.6, 76,   4,  10, 8, 37.5, ⑧⑦
11, 7,Ｌクラウンアリオン, 28,酒井学, 2.0, 37, -10,  -9,13,260.6, ⑫⑫,11,17, ヴァレンティｰア,---,小牧太, 1.3, 55, -12,   1, 8, 33.0, ⑮⑮,11,10,Ｌボｰカリスト, 77,太宰啓, 2.0, 72,   8,  -2,13,132.6,⑩⑪⑪,11,16,Ｉナイアｰド, 79,荻野琢, 0.7, 74,  11,   0,15,162.0, ③③
12,10,Ｆマイアリア, 52,幸英明, 2.0, 37,  -4, -18, 6, 18.8, ⑧⑨,12, 2, プｰドルデコｰル,---,荻野琢, 1.5, 50,  -8,  -9, 5, 19.2, ⑦⑨,12,12,Ｊトップチェッカｰ, 78,池添謙, 2.1, 72,   4,   4,12,116.0,⑮⑮⑮,12,14,Ｍモルトグランデ, 76,和田竜, 0.8, 74,   5,   5,13, 84.6, ⑦⑧
13,13,Ｈシゲルオオクマザ, 39,国分優, 2.4, 34,   1, -26, 8, 87.1, ⑤⑤,13,13, サポｰトソング,---,川島信, 1.5, 55, -15,   3,17,209.4, ⑯⑱,13, 7,Ｆアドマイヤジャコモ, 79,国分恭, 2.4, 67,   9,  -9, 5, 16.7,⑦⑤⑤,13, 5,Ｌケンブリッジエル, 78,池添謙, 1.1, 69,  -3,   9,12, 74.9, ⑭⑮
,,,,,,,,,,,,14, 1, グロｰバルフライト,---,四位洋, 1.5, 51, -12,  -3,10, 53.6, ⑬⑬,14, 3,Ｍメイショウスクラム, 77,武幸四, 2.5, 72,   7,  -5, 8, 44.7,⑫⑬⑫,14,10,Ｎシセイカグヤ, 76,花田大, 1.2, 68,   0,   5,16,169.5, ⑬⑭
,,,,,,,,,,,,15, 7, エリモグラマｰ,---,和田竜, 1.6, 49,  -8, -12, 7, 24.8, ⑥⑤,15, 1,Ｄブリリアントシチｰ, 81,藤岡佑, 2.9, 65,   6,  -8,10, 86.9,⑭⑫⑬,15, 6,Ｂハクサンムｰン, 87,小牧太, 1.6, 63,* 25, -25, 1,  3.1, ①①
,,,,,,,,,,,,16, 4, マルヨディロｰゼ,---,幸英明, 1.6, 52, -14,  -2,16,147.1, ⑰⑯,,,,,,,,,,,,,16, 7,Ｄトシキャンディ, 84,国分恭, 2.5, 51,* 23, -36, 9, 37.6, ②②
,,,,,,,,,,,,17,12, エッフェルスパｰク,---,高倉稜, 1.7, 51, -15,   0,14,132.3, ⑱⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,11, レモンスカッシュ,---,国分恭, 2.5, 39,  -6, -26,18,214.7, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
"単勝:330円 複勝:01=140円 05=130円 08=1,010円 枠連:450円",,,,,,,,,,,,"単勝:190円 複勝:08=120円 14=320円 09=1,260円 枠連:630円",,,,,,,,,,,,"単勝:190円 複勝:02=110円 09=380円 11=130円 枠連:2,110円",,,,,,,,,,,,"単勝:530円 複勝:09=200円 13=480円 12=370円 枠連:3,710円",,,,,,,,,,,
"馬連:410円 ワイド:01-05=200円 01-08=2,630円 05-08=2,400円",,,,,,,,,,,,"馬連:1,320円 ワイド:08-14=570円 08-09=3,030円 09-14=12,580円",,,,,,,,,,,,"馬連:1,930円 ワイド:02-09=710円 02-11=180円 09-11=1,000円",,,,,,,,,,,,"馬連:4,570円 ワイド:09-13=1,550円 09-12=1,130円 12-13=2,850円",,,,,,,,,,,
