12年 7月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2850m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,火打山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａカラダエｰピｰ, 47,田中勝,, 54,*  2,* -7, 4,  8.2, ①①, 1, 9, グランドチャペル,,北沢伸,,,,, 3,  3.6,⑤④③, 1, 9,Ａトｰセンオｰラ, 65,北村宏,, 67,*  2,  -3, 2,  5.5, ④④, 1, 5,Ｊトウケイヘイロｰ, 75,吉田豊,, 80,   7,  12, 3,  6.8, ④④
 2,14,Ｊクリスクリングル, 28,北村宏, 0.6, 47,  -1, -10, 1,  3.2, ③③, 2, 1, テイエムライジン,,難波剛,183.1,,,,13, 89.9,⑦⑥⑤, 2,15,Ｂシルキｰマｰチ, 63,江田照, 0.2, 65,   1,  -2, 3,  7.1, ⑨⑩, 2, 3,Ｄサイレントソニック, 78,松岡正, 0.1, 82,   1,* 19, 2,  4.2, ⑮⑮
 3, 2,Ｄショウナンアポロン, 38,大野拓, 1.0, 42,  -5,  -9, 6,  8.6, ⑧⑥, 3,14, ボンジュｰルヒカリ,,五十嵐,183.4,,,, 5, 26.6,①①①, 3, 7,Ｈスモｰキｰヴォイス, 56,松岡正, 0.3, 66,   1,  -4, 6, 14.4, ⑧⑦, 3, 1,Ｂクリｰンエコロジｰ, 82,蛯名正, 0.1, 80,   0,* 20, 1,  3.5, ⑯⑯
 4,11,Ｅバｰチャルツアｰ, 38,西村太, 1.2, 42,*  1, -17, 7, 15.3, ②②, 4, 2, グレイドケイ,,石神深,183.9,,,, 1,  3.2,③⑤④, 4, 3,Ｃサクラインペリアル, 63,安藤勝, 0.5, 64,  -7,*  8, 1,  2.6, ⑰⑰, 4, 8,Ｌロｰドラディアント, 73,田辺裕, 0.2, 78,   5,  12, 4,  8.5, ⑥⑥
 5, 6,Ｌクレバｰパルマ, 27,勝浦正, 1.2, 40, -14,* -1,13,173.2, ⑬⑬, 5,11, レンディル,,横山義,184.1,,,, 6, 27.0,⑥⑦⑦, 5, 6, コウヨウアレス,---,田中勝, 0.6, 60,   1,  -9, 5,  9.3, ⑦⑥, 5,14,Ａレッドクロス, 85,内田博, 0.3, 78,   5,  11, 5,  9.4, ⑨⑨
 6, 5,Ｋブリリアンシｰ, 28,蛯名正, 1.2, 41,  -4, -12, 2,  4.4, ⑥⑦, 6, 4, オウエイロブロイ,,大江原,184.3,,,, 7, 29.4,⑩⑩⑩, 6,10,Ｎコナセラｰ, 38,田辺裕, 0.6, 60,*  4, -13,14,103.7, ①①, 6, 6,Ｎラフレｰズカフェ, 70,田中勝, 0.4, 77,  -1,* 19, 6, 10.9, ⑰⑰
 7,10,Ｃキャニオンチャｰム, 45,田辺裕, 1.4, 38,  -6, -12, 3,  4.8, ⑩⑪, 7, 3, リザｰブカｰド,,山本康,184.4,,,, 4,  7.5,④②②, 7,18, マスカレイド,---,石橋脩, 0.7, 64,  -7,*  5,10, 37.7, ⑱⑱, 7, 2,Ｃタツミリュウ, 79,中舘英, 0.5, 76,   3,  12, 7, 15.5, ⑫⑫
 8,12,Ｏポタラカ, 20,嶋田純, 1.6, 37,  -6, -13,11,150.7, ⑨⑨, 8,10, リバｰキャッスル,,植野貴,184.7,,,,10, 60.2,⑨⑧⑧, 8, 5,Ｆレインボｰカムカム, 58,柴田善, 0.8, 59,  -4,  -3, 9, 24.4, ⑬⑮, 8,18,Ｅタニマサホｰク, 78,江田照, 0.6, 72,*  8,   3,12, 66.1, ③③
