12年 7月 1日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月 1日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,尾頭橋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａビキニブロンド, 74,横山典,, 70,* -4,* 13, 1,  1.7, ④③, 1, 8, モズハリケｰン,,林満明,,,,, 2,  3.6,②②①, 1, 5,Ｂカピオラニパレス, 77,北村友,,,,, 1,  2.8,⑥⑤⑥, 1, 7,Ｇキクノストｰム, 78,幸英明,, 81,   5,* 13, 7, 18.1, ⑥⑥
 2,14,Ｈアルレガｰロ, 56,浜中俊, 0.1, 67,*  1,   6, 3, 10.4, ②①, 2, 3, メイショウオオワシ,,中村将,201.2,,,, 1,  3.1,⑦⑤⑤, 2, 2,Ｎキングヒｰロｰ, 62,高倉稜, 0.0,,,,12, 95.7,⑤④⑤, 2, 9,Ｊモズベラベラ, 75,鮫島良, 0.2, 81,  -2,* 18, 9, 55.3, ⑬⑬
 3, 2,Ｅシゲルアプリコット, 60,国分恭, 0.6, 61,  -6,   6, 5, 15.3, ③④, 3, 2, シャロｰム,,小坂忠,201.8,,,, 6, 10.3,⑤④③, 3,12,Ｇポレイア, 72,幸英明, 0.5,,,, 4,  6.7,⑩⑧⑦, 3,13,Ａケｰジｰハヤブサ, 84,浜中俊, 0.3, 78,   7,   8, 1,  2.1, ⑤⑤
 4, 1,Ｄニホンピロルノン, 60,北村友, 0.6, 62, -11,  11, 4, 11.0, ⑨⑨, 4, 4, クレバｰウエスタン,,植野貴,202.0,,,, 5,  6.7,①①②, 4, 6,Ｄマｰリンシチｰ, 75,浜中俊, 0.6,,,, 6, 14.4,⑬⑭⑭, 4, 3,Ｄホクセツキングオｰ, 82,武豊  , 0.3, 78,   7,   8, 5, 12.2, ④③
 5, 5,Ｃニホンピロシトリン, 60,酒井学, 0.6, 62,  -7,   8, 7, 29.8, ⑤⑦, 5, 6, シンワカントリｰ,,難波剛,202.2,,,, 8,102.6,④③④, 5,11,Ｃブライトジェム, 75,太宰啓, 0.7,,,, 5, 12.0,⑮③③, 5,10,Ｅマウンテンファスト, 79,酒井学, 0.4, 78,*  8,   6, 8, 38.6, ③④
 6,12,Ｋウォｰタｰナポリ, 47,高倉稜, 0.7, 63, -15,* 14,12,142.6, ⑪⑪, 6, 5, スズカコｰズウェイ,,北沢伸,203.0,,,, 3,  4.4,⑧⑦⑦, 6, 9,Ｅレットミｰノｰ, 74,森一馬, 1.1,,,, 7, 14.5,⑨⑪⑩, 6,16,Ｆアマノレインジャｰ, 78,高倉稜, 0.6, 75,   1,  11, 6, 13.2, ⑪⑫
 7, 6,Ｆアカネチャン, 58,太宰啓, 0.8, 59, -13,  10, 9, 74.3, ⑩⑩, 7, 1, エリモヴィエント,,黒岩悠,203.7,,,, 7, 57.9,⑥⑥⑥, 7,10,Ｉサイキョウイシヤマ, 70,鮫島良, 1.3,,,,11, 72.3,④⑥④, 7,12,Ｂスモｰルキング, 84,横山典, 0.6, 76,   2,  11, 2,  5.3, ⑧⑧
 8,17,Ｂエイシンピュｰマ, 64,川田将, 0.9, 57,  -6,   2, 2,  3.9, ⑥⑤, 8, 7, フェイムロバリｰ,,今村康,206.4,,,, 4,  6.4,③⑧⑧, 8,16,Ａマｰベラスバロン, 78,渡辺薫, 1.5,,,, 3,  6.4,⑫⑫⑪, 8, 8,Ｃヤマニンパピオネ, 83,和田竜, 0.8, 74,* 10,   1, 3,  5.7, ①①
 9, 9,Ｌオンザクラッグ, 46,和田竜, 0.9, 61, -16,* 13,11,110.7, ⑬⑫,,,,,,,,,,,,, 9,15,Ｆロゼッタストｰン, 74,小牧太, 1.8,,,, 2,  4.2,②②②, 9,15,Ｈメイショウゾンビ, 78,藤岡康, 0.9, 72,   5,   5, 4,  9.8, ⑦⑦
10, 7,Ｊエｰティｰドンタク, 48,国分優, 1.0, 59, -19,* 14, 8, 62.5, ⑫⑬,,,,,,,,,,,,,10,14,Ｊマサノエクスプレス, 69,藤懸貴, 1.8,,,, 9, 31.2,③⑩⑫,10, 4,Ｉトウカイレジｰナ, 75,北村友, 1.0, 73,*  9,   0,10, 67.1, ②②
11,18,Ｉアｰトオブライツ, 54,幸英明, 1.2, 53,  -6,  -2,10, 86.7, ⑦⑥,,,,,,,,,,,,,11, 1,Ｈトップチェッカｰ, 72,中井裕, 2.0,,,, 8, 29.9,⑧⑨⑨,11, 1,Ｌオｰミレイライン, 72,太宰啓, 1.2, 70,   0,   7,12,119.4, ⑩⑩
12,11, ハイランドヒル,---,小牧太, 1.8, 49, -24,   9,13,149.2, ⑯⑯,,,,,,,,,,,,,12, 7,Ｌハギノクｰザ, 64,四位洋, 2.6,,,,13,111.7,⑯⑯⑮,12, 6,Ｎキングコｰリンオｰ, 70,国分恭, 1.5, 68,  -4,   9,11, 89.8, ⑮⑮
13, 4,Ｇシゲルシブガキ, 57,武豊  , 1.8, 46,* -2, -13, 6, 21.4, ①②,,,,,,,,,,,,,13, 8,Ｋプライドキングダム, 67,藤岡康, 2.8,,,,10, 51.2,⑭⑮⑯,13, 2,Ｏランドタカラ, 68,国分優, 1.6, 67,  -1,   4,13,175.0, ⑫⑪
14,10,Ｍコｰリンデヴァタｰ, 40,藤懸貴, 1.8, 47, -22,   6,16,336.3, ⑭⑭,,,,,,,,,,,,,14,13,Ｐサンマルリジイ, 48,和田竜, 3.0,,,,14,128.1,⑦⑦⑧,14, 5,Ｋメイショウシェイク, 72,飯田祐, 1.9, 63,  -5,   5,15,253.3, ⑭⑭
15, 3,Ｎジャコキング, 38,中井裕, 2.1, 42,  -8, -10,15,239.2, ⑧⑧,,,,,,,,,,,,,15, 3,Ｍワンダｰストラ, 63,水口優, 3.4,,,,15,183.3,①①①,15,11,Ｍエリモエポナ, 70,四位洋, 2.1, 62,   2,  -3,14,187.7, ⑨⑨
16, 8,Ｏギルデッドフレｰム, 36,水口優, 2.6, 37, -24,  -2,18,667.9, ⑮⑮,,,,,,,,,,,,,16, 4,Ｏディンプル, 61,国分恭, 3.6,,,,16,326.8,⑪⑬⑬,16,14,Ｐキュｰト, 65,小坂忠, 2.2, 61,  -4,   2,16,514.3, ⑯⑯
17,13,Ｐヤマニンヘリテｰジ, 22,小坂忠, 2.8, 37, -38,   9,17,408.1, ⑱⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16, リルチャン,---,花田大, 5.4,  5, -40, -19,14,179.9, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-3),,,,,,,,,,,
単勝:170円 複勝:15=110円 14=230円 02=400円 枠連:940円,,,,,,,,,,,,単勝:360円 複勝:08=140円 03=140円 02=220円 枠連:0円,,,,,,,,,,,,"単勝:280円 複勝:05=150円 02=1,700円 12=250円 枠連:2,740円",,,,,,,,,,,,"単勝:1,810円 複勝:07=400円 09=840円 13=140円 枠連:3,320円",,,,,,,,,,,
"馬連:880円 ワイド:14-15=370円 02-15=620円 02-14=1,670円",,,,,,,,,,,,馬連:490円 ワイド:03-08=220円 02-08=520円 02-03=440円,,,,,,,,,,,,"馬連:12,100円 ワイド:02-05=2,590円 05-12=600円 02-12=7,210円",,,,,,,,,,,,"馬連:31,780円 ワイド:07-09=5,190円 07-13=660円 09-13=1,540円",,,,,,,,,,,
"馬単:1,260円 3連複:3,470円 3連単:8,780円",,,,,,,,,,,,"馬単:1,030円 3連複:1,150円 3連単:4,700円",,,,,,,,,,,,"馬単:21,170円 3連複:27,320円 3連単:183,390円",,,,,,,,,,,,"馬単:63,050円 3連複:16,550円 3連単:204,550円",,,,,,,,,,,
