12年11月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,衣笠特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅブロｰドソｰド, 50,スミヨ,, 58,* -1,* -6, 1,  1.9,②②①, 1, 3, トパンガ,,高田潤,,,,, 1,  1.8,②①①, 1, 8, ミリオンフレッシュ,---,太宰啓,, 68, -11,* 15, 7, 33.9, ⑩⑧, 1, 5,Ｋエｰシンメンフィス, 72,川須栄,, 81,* -6,* 14,12, 51.4, ①①
 2,13,Ｆシャガｰルバロｰズ, 46,福永祐, 0.9, 53,  -4,* -8, 7, 22.6,⑧⑧⑥, 2, 4, ヒカルアカツキ,,浜野谷,201.0,,,, 6, 21.5,⑦③②, 2,13, ノアオｰカン,---,幸英明, 0.3, 65,  -7,*  5, 8, 39.7, ⑥⑥, 2, 9,Ａスタｰコレクション, 83,福永祐, 0.5, 79,  -8,* 14, 4,  9.1, ⑦⑦
 3, 2,Ｄレニンフェア, 55,デムｰ, 1.1, 47,  -6,* -7, 5, 10.8,⑨⑪⑨, 3, 6, エｰシンテュポｰン,,今村康,201.6,,,, 5, 13.3,⑥②③, 3, 2, ゴｰスルｰ,---,秋山真, 0.4, 63,* -5,   1,11, 52.2, ②②, 3, 1,Ｌネヴァｰフェイド, 71,藤岡佑, 0.5, 79,  -7,  12, 6, 12.1, ④④
 4, 9,Ｋポラｰルリヒト, 37,酒井学, 1.5, 49,  -3, -16, 6, 14.3,⑤④③, 4, 7, アイアムイチバン,,山本康,202.1,,,, 3,  7.2,⑤⑥④, 4,12, ホットバタｰドラム,---,池添謙, 0.6, 60,* -5,  -2, 2,  4.5, ③③, 4, 3,Ｉクリスティロマンス, 74,ルメｰ, 0.7, 73,* -6,   6,10, 25.6, ②②
 5,10,Ｇマイネルゲイナｰ, 44,川須栄, 1.8, 48,* -2, -19, 8, 39.5,④③④, 5, 2, ウィッシングデュｰ,,白浜雄,202.2,,,, 2,  4.5,④⑦⑥, 5, 7, アグネスフィズ,---,ルメｰ, 0.6, 60,* -4,  -4, 4,  9.9, ①①, 5, 7,Ｈマイネマオ, 79,川島信, 0.9, 75, -10,  11, 8, 16.8, ⑨⑩
 6, 5,Ｊトｰホウガｰネット, 38,太宰啓, 1.9, 47,  -7, -10,14,233.4,⑭⑬⑩, 6, 5, テイエムオウショウ,,田村太,202.4,,,, 8, 37.9,⑨⑨⑦, 6, 9, アグネスリズム,---,浜中俊, 1.0, 57,  -9,  -1, 5, 16.5, ⑧⑦, 6, 4,Ｍサマｰルナ, 70,佐藤哲, 0.9, 71,  -7,   6, 9, 18.4, ⑥⑤
 7, 8,Ｈパワｰオブシャドｰ, 41,川田将, 2.0, 46,  -8, -10,13,199.7,⑫⑫⑭, 7, 1, フクノゴｰルド,,草野太,202.4,,,, 7, 30.8,⑧⑧⑤, 7,17, グラッソ,---,国分優, 1.1, 55,  -7,  -8,14, 88.3, ④④, 7, 6,Ｇフレイムコｰド, 80,国分恭, 1.0, 68,* -6,   1, 3,  5.7, ③③
 8,14,Ｂバｰドバｰニング, 57,ルメｰ, 2.1, 45,  -4, -17, 3,  6.8,⑩⑨⑧, 8, 9, ハナカゲ,,中村将,205.2,,,, 9, 39.8,③⑤⑧, 8, 4, ラヴィアンフルｰル,---,福永祐, 1.7, 51, -16,   1, 3,  5.1, ⑮⑫, 8,11,Ｄアマファソン, 81,スミヨ, 1.0, 71, -10,   9, 7, 13.8, ⑧⑧
 9, 1,Ｉテイエムナデシコ, 38,佐藤哲, 2.1, 45,  -6, -14,10, 73.1,⑦⑩⑫, 9,10, ゼンノティソナ,,森一馬,205.4,,,,10,118.9,⑩⑩⑩, 9,11, アイアンブランド,---,国分恭, 1.9, 46,  -6, -18,16,109.3, ⑤⑤, 9,14,Ｆロベルタ, 80,浜中俊, 1.1, 72, -10,   9, 1,  3.7, ⑫⑨
10, 7,Ｍヤマノコンコルド, 32,熊沢重, 2.3, 44,* -1, -26, 9, 47.8,①①②,10, 8, トップオブピｰコイ,,熊沢重,207.6,,,, 4,  9.0,①④⑨,10, 5, ハナズタイガｰ,---,水口優, 2.0, 46, -15,  -5,12, 59.3, ⑫⑪, 9,10,Ｂビッグスマイル, 82,デムｰ, 1.1, 74, -14,* 17, 2,  4.4, ⑮⑮
11, 4,Ａメイショウマンヨウ, 57,四位洋, 2.7, 41,  -3, -26, 2,  5.7,⑪⑥⑤,,,,,,,,,,,,,11,18, ワイカプ,---,川田将, 2.3, 43,  -8, -20, 9, 43.8, ⑦⑨,11,15,Ｃニシノテキｰラ, 82,池添謙, 1.2, 72, -11,  10,11, 41.8, ⑪⑫
12,11,Ｃアルペジオ, 56,幸英明, 2.9, 39,  -3, -28, 4,  8.9,⑥⑤⑦,,,,,,,,,,,,,12,10, セルリアンアクウｰ,---,酒井学, 2.7, 37, -11, -22,10, 46.1, ⑪⑩,12,12,Ｅサンマルクイｰン, 80,幸英明, 1.3, 67,  -7,   0, 5, 10.2, ⑤⑥
13, 6,Ｎハｰツコンセンサス, 28,浜中俊, 3.4, 37,  -4, -28,11, 88.1,③⑦⑪,,,,,,,,,,,,,13,16, マンテンタテヤマ,---,小林慎, 4.0, 23, -11, -40,18,235.7, ⑨⑬,13, 2,Ｏビｰチパｰティｰ, 69,国分優, 1.5, 68, -11,   6,15,200.1, ⑩⑪
14,12,Ｌショウナンアズｰリ, 37,国分恭, 3.6, 35,  -8, -23,12,140.1,⑬⑭⑬,,,,,,,,,,,,,14, 3, サンモリッツ,---,川須栄, 4.7, 17, -25, -28,13, 83.7, ⑯⑯,14, 8,Ｊキクカラヴリイ, 73,太宰啓, 1.6, 67, -13,   7,14,160.9, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,15,14, プリスクリプション,---,武豊  , 4.8, 16, -24, -32, 6, 26.6, ⑭⑮,15,13,Ｎツヨイキモチ, 70,秋山真, 1.7, 65, -13,   4,13, 87.6, ⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,16, 6, クリアモｰメント,---,デムｰ, 5.6,  8, -26, -37, 1,  2.2, ⑱⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 1, テイエムクロヒカリ,---,野元昭, 6.4, -3, -27, -47,17,223.3, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,15, ブルｰキュｰピット,---,熊沢重, 6.9,-11, -17, -71,15, 93.6, ⑬⑭,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:稍重(指数:-7),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:不良(指数:10),,,,,,,,,,,
単勝:190円 複勝:03=120円 13=300円 02=300円 枠連:320円,,,,,,,,,,,,"単勝:180円 複勝:03=110円 04=420円 06=300円 枠連:1,710円",,,,,,,,,,,,"単勝:3,390円 複勝:08=770円 13=790円 02=880円 枠連:3,420円",,,,,,,,,,,,"単勝:5,140円 複勝:05=1,470円 09=460円 01=430円 枠連:5,060円",,,,,,,,,,,
"馬連:2,000円 ワイド:03-13=930円 02-03=530円 02-13=2,000円",,,,,,,,,,,,"馬連:1,610円 ワイド:03-04=790円 03-06=500円 04-06=2,380円",,,,,,,,,,,,"馬連:32,580円 ワイド:08-13=7,480円 02-08=13,080円 02-13=8,020円",,,,,,,,,,,,"馬連:25,560円 ワイド:05-09=7,140円 01-05=6,180円 01-09=2,510円",,,,,,,,,,,
"馬単:2,760円 3連複:6,410円 3連単:22,580円",,,,,,,,,,,,"馬単:2,080円 3連複:4,680円 3連単:15,960円",,,,,,,,,,,,"馬単:70,280円 3連複:152,560円 3連単:1,909,870円",,,,,,,,,,,,"馬単:65,740円 3連複:149,300円 3連単:1,088,500円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 8R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花園ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｆラブラバｰド, 55,スミヨ,, 64,* 10,* 10, 4,  9.0, ⑤④, 1, 4,Ｆライジングゴｰルド, 56,スミヨ,, 64,* -6,* 18, 1,  2.9, ②①, 1, 1,Ｌゴッドツェッペリン, 63,太宰啓,, 79,   5,  10, 5, 13.9, ⑤⑤, 1, 2,Ａアイファｰソング, 91,川須栄,, 89,* 11,  13, 4,  8.6,①①①
 2,10,Ｃヘミングウェイ, 63,浜中俊, 0.2, 62,   7,* 12, 1,  2.1, ⑩⑦, 2,11,Ｉポセイドンバロｰズ, 46,川田将, 0.1, 63,* -6,  16, 8, 38.2, ③③, 2,16,Ｃスランジバｰル, 74,ルメｰ, 0.2, 76,   2,* 12, 1,  2.2, ⑪⑩, 2, 3,Ｆエアハリファ, 87,福永祐, 0.2, 88,* 11,  12, 2,  3.2,②②②
 3, 5,Ｂレッドアリオン, 63,福永祐, 0.2, 62,   7,* 12, 2,  2.9, ⑧⑧, 3, 2,Ｋアルバタックス, 43,ルメｰ, 0.1, 64,  -7,* 20, 3,  4.8, ④⑤, 3, 2,Ｄワンダｰゴヴェルノ, 71,水口優, 0.4, 75,*  9,   3, 8, 31.5, ①①, 3, 1,Ｄマｰチャンテイマｰ, 87,川田将, 0.4, 87,   9,  13, 3,  6.0,④④④
 4, 3,Ｈキングレジェンド, 52,太宰啓, 0.5, 57,* 11,   0, 6, 34.5, ②②, 4,14,Ｃエｰシンマックス, 59,デムｰ, 0.3, 59,  -7,  16, 2,  4.3, ⑦④, 4,13,Ｂジャマイカジョｰ, 76,幸英明, 0.6, 73,   2,   8, 2,  4.8, ⑩⑨, 4, 8,Ｃマルカプレジオ, 89,デムｰ, 0.4, 84,   9,* 16, 1,  3.1,⑧⑨⑧
 5, 2,Ｍシゲルコンパスザ, 42,国分優, 0.7, 57,* 13,  -3,13,205.8, ①①, 5, 1,Ａソロル, 64,武豊  , 0.5, 60,  -9,  17, 4,  5.8, ⑧⑧, 5,12,Ｍケイエスキングオｰ, 63,藤岡佑, 0.9, 73,   1,   8,10, 55.7, ⑫⑫, 5, 6,Ｌグレイレジェンド, 84,藤田伸, 0.5, 88,   9,* 14, 5, 20.1,⑩⑧⑥
