12年10月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,咲花特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｋタプロｰム, 39,嘉藤貴,, 47,   9, -12, 5, 15.6, ④④, 1,12,Ｂアンジュヴォレ, 76,松田大,, 71,   5,*  8, 3,  4.5, ⑥⑤, 1, 6,Ｉマウントビスティｰ, 58,西村太,, 72,* 11,  -1, 4,  9.3, ①①, 1, 1,Ｂライジングサン, 76,松山弘,, 79,*  8,* 11, 1,  2.5,①①①
 2,15,Ａトドロック, 56,大野拓, 0.1, 47,* 11, -15, 1,  2.2, ②②, 2, 7,Ｄラファダリ, 70,中舘英, 0.0, 72,* 10,   3, 2,  3.6, ①①, 2,13,Ａタイキガラハッド, 78,菱田裕, 0.4, 67,   5,   1, 1,  1.4, ⑦⑦, 2,10,Ａメイプルリンカｰン, 80,柴山雄, 1.4, 69,   6,   2, 2,  4.8,⑤③③
 3, 9,Ｏブライティアマンボ, -3,勝浦正, 0.5, 38,  -9,*  1,12, 88.3, ⑬⑬, 3, 9,Ｈアグネスピンキｰ, 67,中井裕, 0.1, 74,*  9,   3, 7, 16.5, ②②, 3, 5,Ｄアラディン, 68,荻野琢, 0.6, 65,   2,*  3, 3,  9.1, ⑩⑩, 3, 8,Ｃガンガンユコウゼ, 75,川須栄, 1.4, 72,   5,   4, 4,  5.8,④⑤④
 4, 4,Ｆジョｰサｰヴ, 44,松山弘, 0.7, 38,   4, -13, 4, 13.3, ⑦⑦, 4,10,Ｆイケトップクイｰン, 68,大野拓, 0.7, 66,   6,   0, 6, 15.6, ③③, 4, 8,Ｆキンショｰキラ, 64,中井裕, 0.7, 64,  -1,*  4, 9, 51.3, ⑬⑬, 4, 6,Ｅビｰビｰアックス, 71,丸山元, 1.5, 71,   4,   6, 8, 20.8,⑥⑥⑤
 5,11,Ｅユウヅキ, 46,川須栄, 0.7, 39,   3, -12, 6, 17.2, ⑨⑨, 5, 1,Ｃラベンダｰカラｰ, 74,藤懸貴, 1.1, 60,   2,   1, 5, 13.1, ⑦⑥, 5, 7,Ｂゴｰルドディガｰ, 72,藤懸貴, 0.7, 65,*  9,  -5, 2,  8.7, ②②, 5, 5,Ｄバｰチャルトラック, 74,勝浦正, 1.6, 72,   3,   8, 7, 17.1,⑧⑧⑦
 6,13,Ｂホワイトコｰヒｰ, 53,中舘英, 0.8, 39,   8, -17, 3,  6.6, ⑥⑥, 6, 4,Ｊカルブンクルス, 64,勝浦正, 1.2, 60,   1,   1, 8, 18.7, ⑩⑩, 6,14,Ｈカシノアクセル, 60,菅原隆, 1.0, 62,   4,  -2,13,190.4, ⑧⑧, 6, 3,Ｆキタサンシンガｰ, 70,小林慎, 1.7, 68,   6,   0, 5, 14.5,③②②
 7, 7,Ｊチャッピｰ, 39,菱田裕, 1.0, 33,  -5,  -8,10, 65.9, ⑪⑪, 7, 6,Ｎディｰプランマ, 57,丸山元, 1.3, 58,  -6,*  7,10, 40.9, ⑮⑮, 7, 4,Ｊメイショウヒメユリ, 57,横山和, 1.1, 59,  -1,   1, 7, 43.1, ⑫⑫, 7, 9,Ｇリンクルリッジ, 68,西田雄, 2.0, 68,   3,   4,10,158.5,⑨⑨⑨
 8, 2,Ｇミヤビワンド, 41,平野優, 1.0, 35, -11,  -3,11, 70.4, ⑫⑫, 8,13,Ｋハロｰエフェクト, 64,村田一, 1.3, 58,  -1,   2,15,200.1, ⑪⑫, 8, 3,Ｅフィｰルドポップ, 66,長岡禎, 1.5, 58,   6,  -9, 8, 47.5, ⑤⑤, 8, 4,Ｈグレｰトヴァリュｰ, 68,松田大, 2.6, 62,   4,  -3, 9, 22.7,⑦⑦⑥
 9, 3,Ｎキャニオンティアモ, 14,柴山雄, 1.0, 33,  -3,  -9,15,209.1, ⑩⑩, 9,14,Ｇヤマノラヴ, 68,上村洋, 1.4, 59,   3,  -2, 9, 18.9, ⑨⑧, 9,12,Ｋノボピュアリティ, 56,原田和, 1.6, 58,   8, -12,11,115.2, ④③, 9, 7,Ｊエルダリオン, 67,大野拓, 4.1, 52,   4, -18, 3,  5.3,②④⑧
10,10,Ｄセイントデジタル, 47,中井裕, 1.2, 38,   9, -23, 2,  3.8, ⑤⑤,10,15,Ｅニシノフェミニン, 69,松山弘, 1.4, 58,   0,   0, 4, 11.6, ⑫⑪,10,11,Ｃウォｰタｰサウンド, 71,水口優, 1.7, 54,   1,  -6, 6, 19.6, ⑪⑪,,,,,,,,,,,,
11, 1,Ｍシゲルカミノケザ, 26,川島信, 1.3, 33, -19,*  3,14,118.2, ⑭⑭,11,11,Ｉジャストフレンズ, 66,嘉藤貴, 1.5, 58,   2,  -2,12, 77.2, ⑧⑨,11,10,Ｌハイアットリｰフ, 54,伊藤工, 1.8, 55,   5, -11,10,109.0, ⑥⑥,,,,,,,,,,,,
12, 6,Ｌチェリｰミルズ, 38,藤懸貴, 1.3, 34,* 11, -25, 9, 34.3, ①①,12, 5,Ａクィｰンオブライフ, 78,菱田裕, 2.3, 51,   4, -12, 1,  3.5, ⑤⑦,12, 9,Ｇトキノワイルド, 63,平野優, 2.5, 51,   8, -20, 5, 14.1, ③④,,,,,,,,,,,,
13,12,Ｈサンミッシェル, 41,荻野琢, 1.4, 33,   5, -20, 8, 25.5, ⑧⑧,13, 2,Ｌグリｰンファイヤｰ, 64,西村太, 2.3, 50,   5, -13,13,117.1, ④④,13, 1,Ｍマロンクン, 53,山崎亮, 3.4, 40,   2, -22,12,132.6, ⑨⑨,,,,,,,,,,,,
14, 5,Ｉトウショウパシオン, 40,丹内祐, 1.7, 32,   8, -26,13,110.7, ③③,14, 3,Ｍジンライムシュガｰ, 61,柴山雄, 2.5, 47,  -2,  -7,14,174.8, ⑬⑬,14, 2,Ｎヨドノスマイル, 42,田中健, 6.0, 20,  -9, -35,14,306.3, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,15, 8,Ｏボサノヴァ, 52,川島信, 2.5, 49,  -2,  -7,11, 53.7, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:2),,,,,,,,,,,
"単勝:1,560円 複勝:08=390円 15=140円 09=2,250円 枠連:1,480円",,,,,,,,,,,,単勝:450円 複勝:12=180円 07=180円 09=410円 枠連:820円,,,,,,,,,,,,単勝:930円 複勝:06=180円 13=110円 05=180円 枠連:320円,,,,,,,,,,,,単勝:250円 複勝:01=120円 10=150円 08=170円 枠連:590円,,,,,,,,,,,
"馬連:1,300円 ワイド:08-15=830円 08-09=15,400円 09-15=5,000円",,,,,,,,,,,,"馬連:910円 ワイド:07-12=360円 09-12=1,040円 07-09=1,450円",,,,,,,,,,,,馬連:570円 ワイド:06-13=260円 05-06=780円 05-13=280円,,,,,,,,,,,,馬連:550円 ワイド:01-10=250円 01-08=250円 08-10=550円,,,,,,,,,,,
"馬単:3,250円 3連複:66,090円 3連単:422,320円",,,,,,,,,,,,"馬単:1,910円 3連複:5,430円 3連単:21,790円",,,,,,,,,,,,"馬単:1,780円 3連複:1,250円 3連単:8,670円",,,,,,,,,,,,"馬単:990円 3連複:920円 3連単:3,710円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,
