12年 5月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 5月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｄツバキ, 59,太宰啓,, 55, -10,*  1, 5, 18.2, ⑩⑩, 1,11, ユウタｰチェイサｰ,,金子光,,,,, 3,  4.8,⑥⑥③, 1, 6,Ｄスマｰトリバティｰ, 70,武幸四,, 73,   6,*  3, 3,  6.1,⑩⑩⑩, 1, 9,Ａエアポｰトメサ, 81,川島信,, 76,   7,*  7, 4,  7.9,⑥⑥⑥
 2, 6,Ｌワンサイドゲｰム, 40,渡辺薫, 0.0, 56, -15,*  5, 3,  9.3, ⑮⑬, 2, 9, ナリタトルネｰド,,白浜雄,193.6,,,, 4,  5.7,①①①, 2, 8,Ｈクレセントシチｰ, 64,菱田裕, 0.0, 72,   8,  -2, 9, 45.2,⑥⑦⑦, 2, 5,Ｆクリサンセマム, 74,鮫島良, 0.0, 76,   6,* 11, 3,  7.2,⑧⑧⑧
 3,14,Ａダブルプライム, 69,和田竜, 0.1, 56,* -1,  -9, 2,  5.3, ③③, 3, 4, ワンダｰキング,,鈴木慶,194.8,,,,14,128.0,⑨⑦⑥, 3, 3,Ａヒットメｰカｰ, 78,藤田伸, 0.1, 72,* 10,  -7, 1,  2.7,⑦⑥③, 3, 4,Ｊアルジェンタム, 70,和田竜, 0.2, 73,   8,   2, 8, 24.3,⑦⑦⑦
 4, 3,Ｈロｰザロッチェ, 49,武幸四, 0.5, 51, -13,* -1, 7, 29.6, ⑫⑫, 4,10, ユウｰジラソｰレ,,中村将,194.9,,,, 6,  8.8,⑤⑤⑤, 4,10,Ｊインパクトゲｰム, 62,石橋脩, 0.1, 72,   7,  -2, 2,  4.0,⑧⑧⑧, 4,12,Ｄミッキｰマスカット, 78,藤田伸, 0.2, 71,   9,  -5, 2,  4.2,③③③
 5,11,Ｅシゲルライム, 58,川島信, 0.6, 51,  -4,  -9,10, 54.6, ⑥⑥, 5,13, ニホンピロキリバス,,田村太,196.0,,,, 1,  4.3,⑪⑩⑨, 5, 4,Ｂコウエイキング, 72,中井裕, 0.2, 69,* 10, -11, 7, 25.3,②②②, 5,11,Ｂトウシンイｰグル, 80,佐藤哲, 0.2, 74,   7,*  7, 1,  2.4,⑨⑨⑨
 6,13,Ｃペプチドエメラルド, 61,武英智, 0.6, 51,  -4, -10, 4, 11.0, ⑤⑤, 6, 2, ヨンハメモリｰ,,難波剛,196.3,,,,10, 65.1,⑧⑨⑧, 6, 2,Ｃトウシンヤマト, 70,国分優, 0.2, 71,* 10,  -8, 4,  6.5,④④④, 6, 7,Ｉシャイニｰブレｰヴ, 71,石橋脩, 0.5, 70,  10,  -6, 6, 15.7,⑤⑤⑤
 7,12,Ｂフェイストウショウ, 66,石橋脩, 0.6, 52,*  0, -15, 1,  1.6, ②②, 7, 8, アイノレグルス,,小坂忠,196.7,,,, 7, 12.3,④③②, 7, 7,Ｉサンライズアポロン, 63,太宰啓, 0.6, 64,   7, -10, 6, 17.1,⑨⑨⑨, 7, 8,Ｋテイエムシバスキｰ, 57,野元昭, 0.6, 66,* 15, -25, 7, 22.1,①①①
 8, 7,Ｆミヤジガンバレ, 55,国分優, 0.7, 50,  -6, -10, 9, 46.2, ⑦⑨, 8, 1, ユキオｰ,,高嶋活,196.8,,,,11, 73.4,⑦⑧⑦, 8, 9,Ｆアンバｰシェｰド, 66,和田竜, 0.8, 64,*  9, -17, 5,  6.7,⑤⑤⑤, 8, 2,Ｅスｰパｰオｰビット, 75,太宰啓, 0.6, 68,   6,   4,10, 59.4,⑩⑩⑩
 9,10,Ｇヴォワドランジュ, 54,小坂忠, 0.7, 49,  -7,  -9,11,113.1, ⑧⑦, 9,14, コットンフィｰルド,,石神深,197.9,,,, 9, 57.3,③②④, 9, 5,Ｅボストンリョウマ, 67,渡辺薫, 0.8, 62,*  9, -18, 8, 27.5,③③⑥, 9, 6,Ｃタマモグランプリ, 78,国分優, 0.8, 70,   6,   0, 5,  9.4,⑪⑪⑪
10, 5,Ｍメイショウミヤコ, 34,石橋守, 0.9, 49,  -7,  -9,12,214.4, ⑨⑧,10, 5, マルカレガｰト,,北沢伸,198.3,,,,12, 90.5,⑫⑫⑪,10, 1,Ｇネオファッショ, 65,小林徹, 2.3, 50,* 10, -42,10, 97.7,①①①,10,10,Ｇアドマイヤネアルコ, 74,武幸四, 0.9, 65,   8, -11, 9, 24.6,④④④
11, 9,Ｋナリタアイル, 40,菱田裕, 1.4, 44,  -3, -19, 6, 23.4, ④④,11,12, ファイブイｰグル,,西谷誠,198.4,,,, 5,  8.1,⑩⑪⑩,,,,,,,,,,,,,11, 1,Ｌフジヤマワカムシャ, 56,高田潤, 1.0, 63,* 11, -21,12,189.9,②②②
12, 1, フィｰルグリュック,---,鮫島良, 1.4, 46,*  0, -22, 8, 38.1, ①①,12, 7, ロリンザｰユｰザｰ,,高田潤,202.1,,,, 8, 23.6,⑬⑬⑫,,,,,,,,,,,,,12, 3,Ｈパワｰエｰス, 72,小林徹, 1.2, 64,   4,   1,11, 95.3,⑫⑫⑫
13, 4,Ｉツルミコスモス, 49,中井裕, 1.6, 40, -15,  -9,16,458.2, ⑭⑮,13, 3, テイエムシャトウ,,五十嵐,206.5,,,,13,107.2,⑭⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,
14, 8,Ｎドラジェ,  1,花田大, 1.9, 39, -11, -14,14,350.5, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Ｊオンワｰドアマンド, 43,芹沢純, 2.3, 34, -15, -15,15,368.2, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15, リハｰサル,---,長谷川, 4.9,  3, -33, -20,13,246.0, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-6),,,,,,,,,,,
"単勝:1,820円 複勝:02=680円 06=640円 14=330円 枠連:4,750円",,,,,,,,,,,,"単勝:480円 複勝:11=190円 09=220円 04=3,090円 枠連:530円",,,,,,,,,,,,"単勝:610円 複勝:06=180円 08=700円 03=140円 枠連:4,160円",,,,,,,,,,,,単勝:790円 複勝:09=240円 05=250円 04=530円 枠連:890円,,,,,,,,,,,
"馬連:8,600円 ワイド:02-06=1,770円 02-14=920円 06-14=680円",,,,,,,,,,,,"馬連:1,210円 ワイド:09-11=460円 04-11=8,850円 04-09=9,920円",,,,,,,,,,,,"馬連:13,770円 ワイド:06-08=2,460円 03-06=300円 03-08=1,600円",,,,,,,,,,,,"馬連:2,020円 ワイド:05-09=640円 04-09=2,200円 04-05=1,840円",,,,,,,,,,,
"馬単:20,030円 3連複:11,220円 3連単:107,660円",,,,,,,,,,,,"馬単:2,330円 3連複:57,300円 3連単:241,140円",,,,,,,,,,,,"馬単:24,140円 3連複:8,310円 3連単:77,070円",,,,,,,,,,,,"馬単:3,680円 3連複:14,420円 3連単:72,240円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鞍馬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｎナムラビクタｰ, 35,渡辺薫,, 75,   1,* 15,10, 75.5,⑪⑦④, 1, 4,Ｂマルケサス, 61,和田竜,, 55,  -7,* -8, 1,  3.0, ⑤⑥, 1, 2,Ｆナポレオンバロｰズ, 72,石橋脩,, 74,*  2,* 16, 2,  6.9,②②②, 1, 8,Ｋヘニｰハウンド, 68,川島信,, 91,  -7,* 23, 5,  8.0, ⑩⑩
 2, 6,Ｆオトコノキズナ, 58,竹之下, 1.0, 65,*  4,   1, 3,  5.4,①①①, 2,14,Ａインステイト, 63,武幸四, 0.0, 52,  -8,*-10, 2,  3.7, ⑥⑤, 2, 1,Ａアサクサショパン, 78,藤田伸, 0.7, 71,   0,  13, 1,  1.8,⑥⑥④, 2, 1,Ｆエｰシンリジル, 81,太宰啓, 0.0, 86,   3,  12, 1,  4.8, ④④
 3,16,Ｇフォントルロイ, 58,佐藤哲, 1.3, 61,   2,   2, 6, 10.9,⑤⑤⑥, 3, 2,Ｇダノンドリｰム, 42,国分優, 0.2, 53,  -9,*-10, 3,  5.8, ⑦⑦, 3, 5,Ｇアルデュイナ, 72,和田竜, 0.8, 69,  -1,  14,11, 57.8,⑨⑧⑦, 3, 6,Ｂテイクアベット, 85,鮫島良, 0.1, 85,*  6,   8, 2,  4.8, ②②
 4,14,Ｌエｰシンスピｰダｰ, 41,石橋脩, 1.4, 62,   2,   0, 9, 59.1,③③③, 4, 5,Ｆサンライズクラウド, 50,佐藤哲, 0.5, 46,* -6, -21, 5,  9.3, ①①, 4,11,Ｄマｰリンシチｰ, 75,佐藤哲, 0.9, 68,  -2,* 18, 3,  8.5,⑬⑫⑪, 4, 9,Ｄアンシェルブルｰ, 83,佐藤哲, 0.3, 84,   2,  10, 4,  5.0, ⑤⑤
