12年11月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾉﾍﾞﾝﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａオリオンザプラズマ, 63,田辺裕,, 54,  -4,*  1, 1,  1.4, ③③, 1,10, ジェットストリｰム,,浜野谷,,,,, 3,  5.8,⑥⑤④, 1, 3,Ｃユｰスフル, 74,北村宏,, 73,  -2,* 14, 2,  6.4, ⑧⑥, 1, 3,Ｇサトノギャラント, 79,北村宏,, 89,  11,* 19, 1,  2.0,⑩⑨⑦
 2, 4,Ｅトｰセンハクオウ, 47,吉田豊, 0.2, 51,* -2,  -4, 5, 33.5, ①①, 2, 4, ネオレボルｰション,,五十嵐,205.4,,,, 1,  3.4,⑤⑦⑥, 2, 7,Ｋミラクルミイクン, 64,田辺裕, 0.0, 72,   1,  10,11, 71.9, ⑤③, 2, 4,Ｋアナバティック, 76,福永祐, 0.3, 84,* 19,  -3, 7, 15.4,①①①
 3, 7,Ｄアルマライズ, 48,勝浦正, 0.3, 51,  -4,  -2, 4, 28.5, ④④, 3, 8, ロトディパｰチャｰ,,今村康,206.1,,,,12,144.9,⑨⑨⑦, 3, 2,Ａフランキンセンス, 80,江田照, 0.0, 72,*  3,   9, 5,  7.6, ②②, 3, 2,Ｂミカエルビスティｰ, 84,蛯名正, 0.3, 86,  12,  12, 4,  9.8,③⑤⑤
 4, 6,Ｊタｰゲットゾｰン, 37,熊沢重, 0.7, 48,* -3,  -7, 9, 60.5, ②②, 4,11, アバディ,,高嶋活,206.3,,,,10,106.6,④④③, 4, 1,Ｇデルマダイコク, 71,メンデ, 0.1, 72,*  3,   7, 3,  7.2, ①①, 4, 6,Ｄハッピｰパレｰド, 81,戸崎圭, 0.5, 83,  11,  12, 8, 34.8,⑤⑥⑧
 5,11,Ｂデルマカマイタチ, 58,メンデ, 0.9, 46,  -6,  -4, 2,  5.2, ⑧⑧, 5, 6, オウケンウッド,,石神深,206.4,,,, 2,  3.7,②②②, 5,11,Ｄコスモイルダｰナ, 74,ムｰア, 0.2, 72,  -2,  12, 1,  2.7, ⑦⑧, 5, 7,Ｆチュウワプリンス, 80,浜中俊, 0.5, 83,* 16,   2, 9, 45.2,②②②
 6,10,Ｆネス, 44,北村宏, 1.1, 45, -12,*  1, 6, 51.3, ⑫⑫, 6, 7, フレッドバロｰズ,,林満明,206.6,,,, 4,  6.3,⑦⑩⑨, 6, 9,Ｌアポロパックマン, 64,武豊  , 0.2, 71,   1,   9, 9, 35.8, ③④, 6, 9,Ｃラフォルジュルネ, 83,田辺裕, 0.5, 84,  10,* 13, 2,  4.9,⑦⑧⑨
 7, 3,Ｋスチブナイト, 33,戸崎圭, 1.5, 41, -13,  -1,10, 63.1, ⑭⑭, 7, 2, ユニバｰサルアゲン,,平沢健,207.3,,,, 8, 33.0,③③⑤, 7,12,Ｈセイウンオウサム, 68,武士沢, 0.3, 72,  -5,* 14, 8, 23.4, ⑩⑩, 7, 1,Ｅヒシカツジェｰムス, 80,武豊  , 0.7, 82,  11,   9, 5, 10.3,⑧⑦⑥
 8,12,Ｃドラゴンウォｰ, 52,福永祐, 1.8, 39,  -6, -14, 3,  6.9, ⑦⑤, 8, 1, ゴｰカイフォンテン,,金子光,209.2,,,, 5,  8.9,①①①, 8,10,Ｂフェアリｰライン, 76,蛯名正, 0.4, 69,  -2,   9, 4,  7.6, ⑥⑦, 8,11,Ａトｰセンジャガｰ, 86,江田照, 0.8, 79,  14,   1, 6, 12.0,⑥④④
