12年 8月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平尾台特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａコウエイピｰス, 50,佐藤哲,, 56,* -5,* -5, 1,  2.0, ①①, 1,13,Ｈテｰオｰヴィｰナス, 54,藤岡康,, 64,* -3,   4, 8, 19.6,⑩④②, 1, 9,Ｏブライティアトップ, 58,国分優,, 72,*  7,   3,13, 68.3,②②②, 1, 1,Ｄエスジｰブルｰム, 80,北村友,, 82,* 15,*  2, 1,  2.9,①①①
 2, 2,Ｃカシノサトラップ, 41,酒井学, 0.3, 51,  -8,* -7, 3,  6.8, ④⑤, 2,14,Ｍカリブストｰリｰ, 47,川田将, 0.0, 67,  -9,* 16,11, 44.2,⑭⑪⑪, 2, 6,Ｆミラグロッサ, 72,和田竜, 0.4, 69,   5,   2, 7, 18.6,⑥⑤④, 2, 7,Ｅナリタスプリング, 79,高倉稜, 0.8, 77,* 14,  -2, 4,  6.5,⑤④②
 3, 9,Ｂエンブレムゴｰル, 47,小坂忠, 0.5, 49,* -5, -12, 2,  3.1, ②②, 3,10,Ａウインブリｰザ, 68,中井裕, 0.2, 61,  -5,   3, 6, 14.2,③⑥⑥, 3,11,Ｂユウキマリアッチ, 77,酒井学, 0.5, 70,*  6,   0, 2,  3.2,⑤③③, 3, 5,Ａテイエムドンマイ, 81,幸英明, 0.8, 75,* 15,  -5, 3,  4.7,②②③
 4,14,Ｆカシノコゴロウ, 36,川田将, 0.5, 49, -13,* -4, 4, 15.1, ⑦④, 4, 2,Ｃチｰズマヨ, 64,田辺裕, 0.2, 61,* -3,   1, 2,  4.6,⑪⑤④, 4, 8,Ｃウインアルエット, 76,藤懸貴, 0.6, 65,*  7,  -3, 3,  5.4,①①①, 4, 2,Ｉトップオブカハラ, 77,松山弘, 1.0, 75,  11,   1,11,128.9,⑦⑨⑤
 5, 5,Ｅエスペランサ, 37,田辺裕, 0.7, 47,  -9, -10, 6, 23.4, ⑥⑥, 5, 4,Ｇエリモフェアリｰ, 56,小牧太, 0.2, 64,  -6,   8, 4,  9.7,⑥⑩⑧, 5,12,Ｅピンクデｰジｰ, 72,幸英明, 0.6, 68,   4,   3, 8, 18.8,⑨⑥⑥, 5, 4,Ｆアドマイヤツバサ, 78,小牧太, 1.1, 76,  10,*  3, 7, 23.5,⑬⑩⑧
 6,12,Ｈテイエムハエモンド, 33,芹沢純, 0.8, 45,* -6, -14, 8, 31.9, ③③, 6,16,Ｅドウニカナルデショ, 59,川須栄, 0.3, 60,  -5,   2, 7, 14.6,⑦⑦⑦, 6,16,Ｈラブソネット, 71,小牧太, 0.7, 69,   1,*  6, 4, 11.4,⑫⑬⑩, 6, 8,Ｇウインベルカント, 78,佐藤哲, 1.8, 70,   8,   0, 6, 18.9,⑫⑪⑩
 7,13,Ｄカシノレアネス, 39,大下智, 1.2, 40, -16, -10, 5, 22.3, ⑨⑧, 7,11,Ｄクラヴェジｰナ, 61,北村友, 0.4, 57,* -2,  -5, 1,  2.6,①①①, 7, 3,Ｉアランロド, 71,国分恭, 0.8, 68,   1,*  7,16,183.3,⑬⑭⑬, 7,11,Ｌスマイルミッキｰ, 74,川須栄, 2.1, 69,   6,   1,10, 64.5,⑭⑬⑫
 8,11,Ｉカシノスペル, 32,水口優, 1.6, 34, -17, -15,10,134.3, ⑩⑨, 8,12,Ｂジュディソング, 65,藤懸貴, 0.5, 63, -13,* 18, 3,  5.5,⑯⑯⑭, 8,14,Ｇシｰズガレット, 72,藤岡康, 1.1, 67,   2,   3, 5, 14.6,⑭⑫⑪, 8, 3,Ｍメイショウシェイク, 70,飯田祐, 2.2, 67,   4,*  2,14,292.0,⑪⑭⑭
