12年10月 7日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 7日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2910m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大原ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａエクセレンフレｰル, 55,川島信,, 56,* -6,* -1, 4,  8.3, ②②, 1, 9, ミヤコデラックス,,五十嵐,,,,, 7, 20.3,⑦⑦⑥, 1, 6,Ｃタガノプリンス, 76,川須栄,, 73,*  6,   4, 3,  7.9,②②②, 1, 8,Ａオｰシャンブルｰ, 90,川須栄,, 88,  13,* 11, 1,  2.7,⑦⑦⑦
 2, 9,Ｂロｰドクロサイト, 52,川田将, 0.1, 55,  -7,* -1, 1,  1.6, ④③, 2, 6, グロｰバルチャｰジ,,石神深,199.1,,,, 3,  5.6,⑤⑤⑤, 2, 4,Ｂサカジロオｰ, 76,国分優, 0.0, 72,   5,*  7, 2,  2.8,⑥⑥④, 2, 5,Ｅマイネジャンヌ, 79,和田竜, 0.0, 87,  15,   5, 3,  5.5,④③③
 3, 1,Ｃシゲルオオカミザ, 50,国分優, 0.2, 55,  -7,* -2, 3,  6.7, ③⑤, 3, 5, ショウナンアトム,,難波剛,199.9,,,, 5,  9.5,④④②, 3, 5,Ａピンウィｰル, 77,佐藤哲, 0.0, 72,   3,*  9, 1,  2.2,⑨⑨⑦, 3, 3,Ｂレインフォｰル, 88,太宰啓, 0.1, 85,* 17,   1, 2,  3.4,②②②
 4, 5,Ｅミニ, 48,川須栄, 0.3, 55,* -3,  -6, 7, 37.3, ①①, 4, 7, トウカイエナジｰ,,植野貴,200.0,,,, 8, 28.9,⑥⑥⑦, 4, 3,Ｈアドマイヤメイプル, 66,和田竜, 0.2, 70,   5,   4, 4, 14.1,④⑤⑥, 4, 4,Ｈメイショウサミット, 71,藤岡佑, 0.4, 82,* 16,  -5, 7, 26.2,①①①
 5,13,Ｇアスタｰキング, 47,幸英明, 0.3, 54,  -8,* -2, 2,  5.9, ⑤④, 5, 8, ホウザンドラゴン,,山本康,200.0,,,, 4,  6.9,③②④, 5,10,Ｆサトノサウザｰ, 69,熊沢重, 0.4, 72,   4,   5, 6, 20.6,⑩⑧⑧, 5, 1,Ｄナリタプラチナ, 79,国分恭, 0.4, 82,  14,   2, 5,  8.9,⑥⑥⑤
 6, 4,Ｈビップイシマツ, 47,高倉稜, 1.0, 48, -10,  -7,10, 73.6, ⑥⑦, 6, 3, クレバｰベスト,,今村康,200.2,,,, 9, 34.9,⑧⑧⑧, 6,12,Ｅダノンクリエｰタｰ, 70,川田将, 0.6, 67,*  6,  -2, 5, 15.0,①①①, 6, 6,Ｆエドノヤマト, 79,幸英明, 1.1, 77,  15,  -9, 6, 11.1,⑤⑤⑥
 7,10,Ｍラガｰライオン, 28,熊沢重, 1.4, 45, -13,  -7,12,155.4, ⑩⑩, 7,11, ワンダｰムシャ,,北沢伸,200.5,,,, 1,  3.3,②③③, 7, 8,Ｄメイショウマルクル, 72,幸英明, 1.4, 62,   4,  -4, 9, 41.3,⑦⑦⑨, 7, 2,Ｉマイネルギブソン, 70,中井裕, 1.2, 76,  11,  -3, 9,116.6,⑧⑧⑧
 8, 2,Ｄシャトｰウインド, 48,小坂忠, 1.5, 43, -17,  -4, 6, 37.0, ⑮⑮, 8,10, シゲルマスカット,,中村将,201.2,,,,10, 41.4,⑩⑨⑨, 8, 2,Ｊショコラディスコ, 60,菱田裕, 1.4, 61,   5,  -7,11,119.1,③④⑤, 8, 9,Ｃザサンデｰフサイチ, 79,松山弘, 1.5, 69,  15, -18, 8, 86.7,③④④
