12年 7月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,唐津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃサウンドアドバイス, 56,高倉稜,, 56, -15,   4, 2,  2.7, ④③, 1, 1,Ｈマイオリオン, 55,太宰啓,, 63,*  9, -18, 7, 22.8,①①①, 1, 7,Ｅオｰシャンドライブ, 61,浜中俊,, 69,*  1,* 11, 2,  4.2,⑮①①, 1, 7,Ｄダイヴァｰダウン, 77,小牧太,, 82,* 11,* 12, 2,  6.4,⑤④③
 2, 5,Ｆラシｰマ, 45,浜中俊, 0.0, 58, -25,* 13, 1,  2.4, ⑧⑧, 2, 4,Ｆコンドッティエｰレ, 55,田辺裕, 0.0, 65,   3,  -5, 5,  8.4,④④⑤, 2,16,Ａヒカリオｰシャン, 68,太宰啓, 0.5, 66,*  1,*  7, 4,  7.1,③②②, 2, 5,Ｊタングルジャングル, 63,北村友, 0.2, 80,* 12,   8, 8, 53.8,②②②
 3, 3,Ａクインスウィｰティ, 58,松山弘, 0.3, 51,* -9,  -5, 5, 12.7, ①①, 3, 6,Ａアルティメイト, 60,幸英明, 0.0, 65,*  6, -11, 2,  6.8,③③②, 3,14,Ｆオウケンイチゲキ, 60,北村友, 1.1, 63,*  0,   5, 1,  3.5,②④③, 3, 4,Ｏクリｰンイメｰジ, 52,国分恭, 0.9, 75,   6,* 11,15,355.5,⑬⑪⑥
 4, 4,Ｇトｰホウハヤブサ, 38,武豊  , 0.4, 50, -13,  -4, 3,  5.9, ③②, 4,13,Ｂジュディソング, 60,浜中俊, 0.2, 64,   0,  -2, 3,  7.0,⑫⑧⑥, 4, 4,Ｌエｰシンクｰフラン, 49,幸英明, 1.8, 57,  -1,   0, 3,  5.9,④⑤④, 4, 3,Ａスマｰトルシファｰ, 81,武豊  , 1.2, 71,* 12,  -3, 1,  1.4,①①①
 5, 1,Ｅトップエトワｰル, 51,和田竜, 0.6, 47, -13,  -7, 6, 17.0, ②④, 5, 9,Ｅホッコｰキンツル, 56,飯田祐, 0.4, 62,  -2,*  0, 9, 37.7,⑪⑨⑨, 5, 9,Ｃベストウィッシュ, 64,田辺裕, 1.8, 55,  -1,   0, 6,  9.3,⑥⑥⑥, 5,15,Ｇアドマイヤスキップ, 72,田辺裕, 1.4, 70,   9,   2, 5, 25.6,⑧⑥④
 6, 8,Ｂシグナルプロシｰド, 57,藤岡康, 0.6, 47, -18,  -1, 4,  9.4, ⑥⑤, 6,12,Ｉキワミ, 54,酒井学, 0.4, 61,   0,  -5,13, 83.1,⑥⑦⑧, 6, 3,Ｈサチノタカチホ, 57,国分優, 1.9, 57,  -2,   1, 9, 27.8,⑤⑧⑧, 6, 9,Ｈバンブｰチェルシｰ, 71,和田竜, 1.4, 72,   6,   7, 7, 46.8,⑯⑫⑦
 7, 2,Ｄエイシンビｰム, 52,田辺裕, 0.7, 47, -22,   2, 7, 27.3, ⑦⑥, 7, 8, リマンドインパクト,---,渡辺薫, 0.6, 60,  -4,*  1, 4,  8.1,⑬⑬⑫, 7, 5,Ｂサンライズシックス, 65,中井裕, 2.1, 56,  -5,   5, 8, 26.4,⑪⑫⑫, 7,13,Ｆアクシｰバンダム, 74,渡辺薫, 2.0, 71,   5,   4, 9, 57.3,⑮⑭⑨
 8, 6,Ｈカシノビッグベン, 31,野元昭, 2.0, 28, -18, -20, 8, 90.1, ⑤⑦, 8,10,Ｋセングレン, 51,小牧太, 0.6, 61,  -7,*  5, 6, 20.2,⑮⑭⑭, 8, 8,Ｇブルｰスイショウ, 60,川須栄, 2.3, 54,  -5,   2, 7, 15.7,⑬⑪⑪, 8,12,Ｋマサシ, 61,国分優, 2.6, 63,   7,  -4,10, 98.5,⑪⑩⑬
