12年 6月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 6月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｄアグネスダリム, 65,中井裕,, 59,  -4,* 11, 3,  6.7,⑧⑧⑥, 1, 8, シゲルタック,,中村将,,,,, 1,  1.7,①①①, 1, 1,Ｃミッキｰヘネシｰ, 74,中井裕,, 75,   3,* 11, 6,  8.0, ④④, 1,13,Ａテイクアベット, 90,国分恭,, 85,* 16,  10, 3,  4.6, ①①
 2,16,Ａアムｰルレジェンド, 66,岩田康, 0.2, 58,  -2,*  8, 2,  3.4,⑩⑤⑤, 2, 1, ドラゴンハンタｰ,,植野貴,201.4,,,, 5, 13.3,⑦⑤④, 2,13,Ｄマｰティンバロｰズ, 66,岩田康, 0.7, 70,  -1,  10, 3,  5.6, ⑨⑦, 2, 3,Ｏシセイオウジ, 80,柴田善, 0.3, 85,   1,* 26, 7, 16.1, ⑯⑯
 3, 4,Ｂエｰシンルクソｰル, 66,川田将, 0.4, 56,  -2,   4, 1,  2.2,③④④, 3, 3, ニホンピロキリバス,,黒岩悠,201.7,,,, 3,  5.2,②④⑤, 3, 8,Ａサンクフルネス, 76,国分優, 0.9, 69,  -1,  10, 5,  6.6, ⑩⑧, 3, 7,Ｆトｰホウプリンセス, 84,ウィリ, 0.5, 82,  11,  10, 2,  3.6, ③③
 4,12,Ｅテイケイフロックス, 60,幸英明, 0.6, 53,*  0,  -1, 4,  9.6,②②②, 4, 9, ナムラバｰク,,難波剛,202.0,,,, 6, 30.5,③②③, 4, 4,Ｂマサノボラｰレビア, 74,幸英明, 1.2, 65,*  5,  -2, 4,  6.5, ③③, 4, 2,Ｊモエレジュンキン, 83,高倉稜, 0.7, 81,   6,  16, 9, 34.4, ⑨⑨
 5,14,Ｆアッパレオリュウ, 59,和田竜, 0.8, 52,* -1,  -1, 5, 10.4,④③③, 5, 4, シャロｰム,,小坂忠,202.1,,,, 4,  8.6,⑥③②, 5, 5,Ｋタマモコンサｰト, 48,池添謙, 1.5, 64,  -8,* 12,13,206.0, ⑮⑮, 5,15,Ｃシゲルソウサイ, 87,幸英明, 0.8, 79,  10,   9, 1,  3.5, ⑤④
 6, 9,Ｃアグネスロｰザ, 65,武豊  , 0.9, 53,  -4,   6, 6, 14.3,⑦⑨⑨, 6, 6, スズカコｰズウェイ,,北沢伸,202.4,,,, 2,  4.7,④⑦⑥, 6,15,Ｆオスカｰバロｰズ, 60,古川吉, 1.6, 63,  -6,   9,10, 73.7, ⑭⑪, 6,14,Ｄズンダモチ, 85,藤田伸, 0.8, 79,* 12,   7, 4, 10.6, ②②
 7, 7,Ｌホッコｰピｰチ, 43,飯田祐, 0.9, 50,*  0,  -4,13,261.8,①①①, 7, 5, タマモダイナミック,,林満明,204.1,,,, 8, 76.2,⑤⑥⑦, 7,14,Ｈクルｰジンミジｰ, 59,ウィリ, 1.7, 62,*  7,  -9, 2,  4.0, ②②, 7, 4,Ｂユメノキラメキ, 88,川島信, 0.8, 78,   7,  12, 5, 11.3, ⑦⑦
 8, 3,Ｋドナメジャｰ, 44,浜中俊, 1.0, 54,  -7,*  9, 8, 46.3,⑮⑮⑫, 8, 2, ノｰブルエｰス,,高野和,204.3,,,, 9, 92.2,⑨⑧⑧, 8,16,Ｅダディｰズクｰル, 61,川田将, 2.3, 57,   2,  -8, 1,  3.6, ⑥⑤, 8, 5,Ｎジｰトップキセキ, 81,古川吉, 0.9, 78,   4,  16,16,271.7, ⑬⑫
