12年 2月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 2月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3110m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊丹ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａメイショウドルセｰ, 70,古川吉,, 63,* 10,*  0, 3,  9.0, ②②, 1,12, スナｰクスペイン,,小坂忠,,,,, 2,  3.7,①①①, 1, 4,Ａメｰデイア, 81,デムｰ,, 79,*  1,* 16, 1,  1.5,①①①, 1,16,Ｇブルロック, 86,川田将,, 90,*  5,* 23, 4,  6.2,④③③
 2, 6,Ｃイエスイットイズ, 64,幸英明, 0.2, 62,*  9,* -1, 1,  1.7, ③③, 2, 2, マンノレｰシング,,植野貴,213.9,,,, 5, 13.7,⑦③③, 2, 9,Ｃツヨイキモチ, 72,藤岡佑, 1.0, 76,  -4,* 16, 3,  7.5,⑨⑨⑧, 2,12,Ｏタナトス, 80,藤田伸, 0.1, 89,*  5,  22,10, 49.5,②②②
 3, 8,Ｆミヤジチョビ, 58,和田竜, 0.6, 57,   7,  -2, 5, 13.6, ⑦⑥, 3, 3, アドマイヤテンクウ,,西谷誠,214.1,,,, 1,  1.8,⑥④④, 3, 2,Ｂシｰズガレット, 72,藤岡康, 1.0, 75,  -1,  13, 2,  4.9,⑧⑦⑤, 3, 6,Ｄナリタシルクロｰド, 87,高倉稜, 0.2, 88,*  6,  19, 2,  5.3,①①①
 4, 4,Ｎコウユｰサクラサク, 41,北村友, 0.7, 57,   7,  -3,10, 59.3, ⑤⑦, 4, 4, フサイチアソｰト,,五十嵐,214.4,,,, 6, 22.0,⑧⑧⑦, 4, 7,Ｄミラクルフラッグ, 69,吉田豊, 1.2, 69,*  1,   7, 5, 11.5,②②②, 4, 4,Ｃアグネスアンカｰ, 87,秋山真, 0.4, 89,   2,* 26,11, 55.2,⑫⑫⑪
 5, 1,Ｇファンデルワｰルス, 56,松山弘, 0.9, 54,   7,  -5, 6, 14.2, ⑥⑤, 5, 1, サトノケンオｰ,,白浜雄,214.6,,,, 4, 10.1,④⑥⑥, 5, 1,Ｉシゲルセキニンシャ, 49,国分優, 3.0, 58,  -2,  -4,10,144.2,⑤⑥⑦, 5,14,Ｊラルｰチェ, 86,藤岡康, 0.5, 88,   3,  22,14, 76.3,⑩⑩⑧
 6, 9,Ｂハｰドチョンホ, 65,花田大, 0.9, 53,   1,*  1, 2,  6.6, ⑪⑪, 6, 6, テイエムブユウデン,,林満明,214.7,,,,11,117.8,②②②, 6,10,Ｅニシノメルモ, 62,浜中俊, 3.4, 56,   0, -11, 4, 11.0,④③③, 6, 9,Ｂバトｰドｰル, 88,浜中俊, 0.6, 86,   4,  20, 3,  6.0,⑦⑤④
 7,16,Ｋニロティカス, 51,田中学, 1.0, 54,   5,  -4, 4, 12.4, ⑧⑧, 7, 7, サンレイランキング,,難波剛,214.7,,,, 8, 35.6,⑤⑤⑤, 7, 8,Ｇトップバゴチャン, 62,和田竜, 3.9, 52,  -1, -14, 6, 43.4,③④⑥, 7,11,Ｋグラッツィア, 85,デムｰ, 0.7, 84,   3,  20, 1,  3.0,③⑦⑥
 8, 5,Ｈナリタウィッシュ, 55,国分恭, 1.1, 50,   0,*  1, 8, 29.4, ⑫⑫, 8,10, モルフェサイレンス,,小野寺,215.4,,,, 9, 60.5,⑫⑪⑨, 8, 3,Ｆダイシンベｰル, 62,ピンナ, 3.9, 58,  -1, -14, 8,118.6,⑥⑤④, 8, 3,Ｎママキジャ, 82,嘉藤貴, 0.7, 85,   4,  21, 5, 10.2,⑨⑨⑨
 9, 7,Ｌシゲルキョホウ, 45,川須栄, 1.1, 54,*  9,  -8, 7, 23.2, ④④, 9, 5, ウィルビｰキング,,中村将,215.5,,,, 7, 34.0,⑩⑩⑪, 9, 6,Ｈユウキオジョウｰ, 56,幸英明, 4.0, 55,  -4,  -6, 7, 64.2,⑩⑩⑨, 9,10,Ａシルクダイナスティ, 89,松山弘, 0.7, 85,   2,* 24, 8, 40.6,⑬⑬⑫
10,11,Ｊコウエイサツマ, 52,国分優, 1.1, 52,   5,  -5,12, 70.9, ⑨⑨,10,11, マルタカタキオン,,黒岩悠,215.5,,,,10,102.5,⑨⑨⑧,10, 5,Ｊメイショウトモミ, 39,森一馬, 5.1, 46,  -5, -15, 9,120.3,⑦⑧⑩,10, 8,Ｌトウショウクエスト, 85,池添謙, 0.9, 83,   3,  18,13, 60.4,⑥⑥⑦
11,12,Ｄシェｰンガルテン, 58,藤懸貴, 1.1, 52,* 10, -10,11, 68.0, ①①,11, 9, イｰジｰウイン,,草野太,216.4,,,,12,192.1,⑪⑫⑫,,,,,,,,,,,,,11, 1,Ｅスズカホｰプ, 87,藤岡佑, 1.3, 83,   1,  20, 7, 14.8,⑭⑭⑭
