12年 5月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 5月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,立夏ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆサルゴン, 55,蛯名正,, 61,* -8,*  7, 1,  2.9, ④③, 1, 5,Ｇミヤコライジング, 52,田中勝,, 69,  -4,*  9,12, 81.2, ⑦⑧, 1, 6,Ａダイワフェリス, 78,横山典,, 71,*  4,  14, 2,  5.6, ②②, 1, 6,Ｆスティｰルパス, 84,福永祐,, 88,  12,* 18, 1,  1.8, ⑪⑪
 2,10,Ｅシャインブレイザｰ, 55,横山典, 0.0, 60,* -7,*  6, 2,  3.4, ②②, 2, 1,Ｄドウデス, 56,ウィリ, 0.1, 65,*  5,  -4, 2,  4.0, ①①, 2, 4,Ｆスｰパｰムｰン, 64,内田博, 0.1, 75,  -7,* 31, 3,  5.7, ⑥⑤, 2,16,Ｄトｰホウプリンセス, 85,ウィリ, 0.6, 84,* 18,   5, 5, 10.2, ③③
 3, 9,Ｇアイザック, 52,内田博, 0.2, 59,  -9,*  6, 7, 37.4, ③④, 3, 9,Ｅレディインラヴ, 54,武豊  , 0.4, 64,*  2,  -2, 5,  7.6, ④④, 3, 9,Ｃファイナルフォｰム, 67,福永祐, 0.1, 75,  -7,* 33, 1,  1.5, ⑦⑦, 3,12,Ｂアドマイヤサガス, 86,横山典, 1.0, 78,  14,   6, 4, 10.0, ⑦⑦
 4, 4,Ｋエｰシンスノｰマン, 44,川須栄, 0.3, 58, -10,*  6, 5,  9.3, ⑤⑤, 4, 7,Ａデルマジュロウジン, 66,杉原誠, 0.5, 64,  -6,*  7, 3,  4.9, ⑨⑨, 4, 3,Ｉコスモパルダ, 58,松岡正, 0.5, 67,*  7,   2, 6, 32.7, ①①, 4,14,Ｎオリオンザポラリス, 80,杉原誠, 1.1, 79,  11,* 10, 8, 26.0, ⑫⑫
 5,12,Ａストロングティラノ, 66,田辺裕, 0.4, 57, -10,   5, 3,  5.1, ⑦⑥, 5,10,Ｂセイウングｰノネ, 60,松岡正, 0.6, 63,  -1,  -1, 4,  7.1, ⑤⑥, 5, 5,Ｂステｰジナｰヴ, 68,田中勝, 0.5, 70,  -3,  22, 4, 12.1, ④④, 5,13,Ｌフィｰルドシャイン, 81,柴田善, 1.2, 79,  14,   6,11, 54.2, ⑩⑨
 6, 7,Ｃベニノツルギ, 60,松岡正, 1.0, 53,* -7,  -2, 4,  8.0, ①①, 6, 6,Ｈクラウンザショパン, 52,池添謙, 0.6, 61,*  3,  -7,10, 51.4, ③②, 6, 2,Ｇキｰプビリｰビング, 62,高倉稜, 0.6, 66,  -3,  17, 8,108.9, ③③, 6, 5,Ｏチョイワルグランパ, 80,蓑島靖, 1.5, 75,  12,   4,16,308.1, ⑨⑩
 7, 1, シルクスコｰピオン,---,江田照, 1.1, 52, -14,   5, 8, 39.0, ⑪⑪, 7,12,Ｎトウショウテイスト, 48,武士沢, 0.7, 61,  -9,*  8,15,168.0, ⑮⑬, 7, 7,Ｄヴュルデバンダム, 66,武士沢, 1.2, 62,  -9,  21, 7, 40.0, ⑧⑧, 7,11,Ｍトシギャングスタｰ, 81,藤岡佑, 1.6, 75,  11,   7, 2,  8.1, ⑭⑭
 8,13,Ｊロｰオブネイチャｰ, 48,大庭和, 1.2, 52, -10,  -2, 9, 50.3, ⑥⑦, 8,13,Ｃライズアゲイン, 57,蛯名正, 0.9, 60, -17,* 15, 1,  3.2, ⑱⑰, 8,10,Ｅキンラン, 65,田辺裕, 1.4, 58,  -5,  11, 5, 15.9, ⑤⑥, 8, 3,Ｈエｰシンリｰドオｰ, 83,川須栄, 1.7, 74,  16,  -2,13,158.1, ④④
 9,16,Ｂドリｰムピｰス, 62,武豊  , 1.3, 51, -14,   4, 6, 13.4, ⑮⑫, 9,14,Ｉドラゴンネスト, 51,三浦皇, 0.9, 60,  -7,   3, 6, 21.1, ⑫⑪, 9, 8,Ｊフクノツｰル, 52,北村宏, 1.6, 58, -11,  18,10,207.8, ⑨⑨, 9, 7,Ｇファンドリカップ, 83,柴山雄, 1.8, 72,  14,  -1,12, 54.7, ⑧⑧
10,14,Ｄキョウワアｰク, 56,津村明, 1.4, 48, -13,   0,10, 56.7, ⑩⑩,10,16,Ｍオリエンタルポリｰ, 48,北村宏, 1.1, 55,   0, -10, 8, 36.4, ⑥⑤,10, 1,Ｈエムアイチャンドラ, 61,柴山雄, 2.4, 48, -12,   9, 9,132.4, ⑩⑩,10, 9,Ｉレッドヴァンクｰル, 82,四位洋, 2.1, 70,  10,   2, 9, 34.7, ⑮⑮
11, 5,Ｌヒシダンカン, 41,柴山雄, 2.0, 45, -12,  -4,14,212.6, ⑨⑨,11, 8, コスモペルフェット,---,津村明, 1.3, 52,  -4,  -8,11, 60.4, ⑧⑦,,,,,,,,,,,,,11,10,Ｊカリスマサンスカイ, 82,高倉稜, 2.2, 69,   9,   4, 3,  8.2, ⑯⑯
12, 8,Ｎセイウンノカナタ, 20,武士沢, 2.0, 48, -17,   2,12,193.9, ⑭⑮,12,11,Ｆコスモラヴバニｰ, 53,高倉稜, 1.4, 52,  -5,  -7, 9, 48.2, ⑩⑩,,,,,,,,,,,,,12,15,Ｐノボレインボｰ, 79,二本柳, 2.3, 70,* 17,  -8,14,257.0, ⑥⑤
13, 2,Ｈブルｰドラゴン, 50,吉田豊, 2.2, 43, -17,  -1,13,204.0, ⑬⑭,13,17,Ｊエメラルポケット, 51,柴田善, 1.4, 54,  -9,  -1,16,252.7, ⑬⑭,,,,,,,,,,,,,13, 8,Ｋヤマニンバッスル, 81,北村宏, 2.3, 68,  10,   0,15,268.9, ⑬⑬
14, 3,Ｉマッドパイ, 49,杉原誠, 2.4, 42, -13,  -8,11,112.1, ⑧⑧,14, 3,Ｏシャポｰドゥマス, 41,鈴来直, 1.5, 54, -12,   3,18,501.1, ⑭⑮,,,,,,,,,,,,,14, 2,Ａモエレジュンキン, 86,石橋脩, 2.8, 66,* 18, -14, 7, 22.5, ②②
15,15,Ｍオｰスマｰト, 27,小野寺, 3.2, 37, -15, -11,15,240.2, ⑫⑬,15, 4,Ｋゼロレイテンシ, 51,藤岡佑, 1.5, 51,*  3, -20, 7, 30.8, ②③,,,,,,,,,,,,,15, 4,Ｅキョウエイカルラ, 84,吉田豊, 2.8, 65,  15, -10,10, 45.2, ⑤⑥
