12年10月20日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月20日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｅツクバリンカｰン, 42,柴田善,, 56,*-25,   7, 3,  3.6, ②②, 1, 9, グレイスフルデイズ,---,内田博,, 60,* -8,*  0, 1,  2.3, ⑤④, 1, 3,Ｄハヤブサエミネンス, 71,横山典,, 70,* -4,  13, 4,  6.3, ④④, 1, 5,Ｉメイショウツチヤマ, 83,柴田善,, 84,   7,* 16, 8, 18.8, ⑪⑬
 2, 4,Ｂアルマダクロス, 53,北村宏, 0.2, 55, -28,* 10, 1,  3.2, ⑤⑤, 2,13, カミナリコゾウ,---,三浦皇, 0.2, 58,* -6,  -5,12, 69.4, ①①, 2, 9,Ｅオフショア, 69,三浦皇, 0.0, 71,  -5,* 15, 6, 17.1, ⑤⑥, 2,10,Ａキングパｰフェクト, 86,横山典, 0.0, 83,  10,  13, 6, 12.0, ⑨⑧
 3, 1,Ｃダイキチサブロウ, 51,田中勝, 0.3, 51,*-24,   2, 4,  7.7, ①①, 3,12, アンプレデクタブル,---,石橋脩, 0.4, 58, -12,*  2, 7, 35.7, ⑩⑨, 3, 8,Ｆトルネｰドミノル, 69,岩田康, 0.4, 68,  -5,  11, 3,  6.0, ⑦⑤, 3, 8,Ｈアイディンパワｰ, 83,吉田豊, 0.1, 83,   8,* 14,11, 32.0, ⑫⑫
 4,11,Ｄドラゴンブラザｰズ, 47,三浦皇, 0.5, 53, -31,*  9, 6, 10.9, ⑩⑩, 4,10, カシマルフィ,---,田中勝, 0.6, 54, -11,  -4, 8, 42.5, ⑧⑦, 4, 6,Ａダテノスイミｰ, 73,蛯名正, 0.6, 69,  -7,* 14, 1,  2.3, ⑪⑪, 4,15,Ｆエｰシンビｰトロン, 84,内田博, 0.1, 82,* 16,   4, 4,  7.1, ①①
 5, 8,Ｇスズノフウジン, 33,内田博, 0.5, 49, -27,   3, 5, 10.0, ④④, 5, 5, サトノマｰキュリｰ,---,北村宏, 0.7, 51,* -8,  -9, 3,  5.0, ④③, 5, 7,Ｃサンマルヴィエント, 71,田中勝, 0.9, 63,  -6,   9, 5, 15.3, ⑩⑨, 5,12,Ｋスピルオｰバｰ, 81,太宰啓, 0.1, 83,   9,  13,13, 97.0, ⑬⑪
 6, 5,Ｉアｰスミッション, 31,松岡正, 0.5, 53, -28,   6, 7, 28.7, ⑥⑥, 6, 6, ブリリアント,---,松岡正, 0.7, 54, -16,*  2, 4,  5.9, ⑫⑫, 6, 1,Ｇオペラフォンテン, 68,北村宏, 0.9, 63,  -6,   8, 8, 20.9, ⑥⑦, 6, 7,Ｅダンシングマオ, 84,北村宏, 0.2, 81,   9,  12, 7, 12.6, ⑧⑩
 7, 2,Ａオｰペドアンジョ, 53,田辺裕, 0.5, 51, -27,   4, 2,  3.5, ③③, 7, 4, ノｰブルジュピタ,---,吉田豊, 0.7, 53, -13,  -1, 9, 49.4, ⑦⑩, 7,11,Ｉトｰセンサイレンス, 61,吉田豊, 1.3, 61,  -6,   5,10, 38.4, ⑧⑧, 7, 6,Ｍルグランヴォヤｰジ, 78,勝浦正, 0.3, 81,  11,   8,10, 29.0, ⑥⑦
 8, 7,Ｈカシノラッキｰ, 32,二本柳, 0.9, 46, -30,   2, 8, 67.4, ⑧⑧, 8,11, リネンウインド,---,田辺裕, 0.8, 52, -16,*  0,13,156.6, ⑪⑪, 8,10,Ｂニシノサンタロウ, 72,杉原誠, 1.3, 61,  -7,   6,11, 42.1, ⑨⑩, 8, 2,Ｃメイショウマシュウ, 84,福永祐, 0.3, 81,   9,  11, 3,  5.3, ⑩⑨
