12年11月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｱﾝﾄﾞﾛﾒﾀﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａテイエムチカラ, 64,太宰啓,, 49,* -4,*  0, 2,  3.0, ①①, 1,12, メイショウホマレ,---,武幸四,, 72,*  6,  -6, 3,  5.5, ①①, 1, 4,Ｃカルドブレッサ, 78,横山典,, 84,* -8,* 22, 2,  3.0,③⑤⑤, 1, 9,Ａダノンバラｰド, 87,ルメｰ,, 86,   9,* 16, 1,  2.7,⑦⑧⑧
 2, 7,Ｄノｰトゥング, 56,幸英明, 0.6, 44,  -7,  -3, 5, 10.8, ④③, 2, 5, エメラルハヤブサ,---,池添謙, 0.3, 66,*  3,  -8, 2,  4.6, ③②, 2, 5,Ｂコウエイオトメ, 78,四位洋, 0.0, 87, -10,* 26, 3,  4.3,⑧⑦⑦, 2, 1,Ｃメイショウウズシオ, 84,飯田祐, 0.0, 84,* 12,  10, 4,  7.1,②②②
 3, 8,Ｈロｰドツイスタｰ, 41,岩田康, 0.6, 44, -13,*  4, 6, 16.0, ⑧⑧, 3,13, マルイチスクワｰト,---,秋山真, 0.5, 60,  -8,*  1, 8, 19.0, ⑧⑨, 3, 9,Ａダノンマックイン, 79,岩田康, 0.4, 78,* -8,  15, 1,  2.5,②②②, 3,11,Ｂアドマイヤラクティ, 85,デムｰ, 0.4, 81,   6,* 16, 2,  2.7,⑭⑫⑬
 4, 2,Ｂウイングリｰト, 62,デムｰ, 0.7, 41,  -7,  -3, 1,  2.1, ③④, 4,15, テイエムライオネス,---,水口優, 0.6, 57, -18,* 10,10, 29.7, ⑮⑮, 4, 3,Ｇロｰレルクラシック, 72,ルメｰ, 0.6, 76,* -8,  13, 4,  9.9,④③③, 4, 7,Ｇマルカボルト, 80,岩田康, 0.5, 79,* 10,   6, 3,  6.5,⑤⑤③
 5, 6,Ｃワンダｰシャスｰル, 57,秋山真, 0.9, 42,* -6,  -6, 3,  8.0, ②②, 5,10, プリモティノス,---,太宰啓, 0.7, 60,   0,  -9, 9, 22.1, ④④, 5, 2,Ｄスｰパｰオｰビット, 77,佐藤哲, 0.6, 79, -10,  18, 7, 36.7,⑥⑥⑥, 5, 3,Ｉアドマイヤメジャｰ, 80,内田博, 0.7, 79,   8,   9, 7, 34.9,⑩⑨⑨
 6, 1,Ｉサチノザベスト,  6,水口優, 1.2, 38, -11,  -4, 8, 64.1, ⑦⑦, 6, 8, アルジャン,---,四位洋, 1.0, 56,  -3, -10, 5,  7.4, ⑩⑤, 6, 7,Ｉタマモグランプリ, 68,国分恭, 0.8, 75,  -9,  12, 6, 19.6,⑤④④, 6, 8,Ｄロｰドオブザリング, 83,池添謙, 0.8, 79,   6,* 13, 5, 12.9,⑬⑭⑭
 7, 9,Ｇオリエンタルサン, 43,酒井学, 1.3, 38,  -9,  -6, 7, 36.7, ⑥⑥, 7,14, スリｰゴルゴン,---,幸英明, 1.3, 52, -10,  -6,14, 87.7, ⑭⑭, 7, 1,Ｆキンショｰオトヒメ, 73,水口優, 1.0, 75, -11,  15, 9, 97.5,⑦⑧⑧, 7, 4,Ｅタムロスカイ, 81,太宰啓, 1.0, 72,* 12,  -6, 6, 23.1,①①①
 8, 3,Ｆキリノトップラン, 48,野元昭, 1.5, 36,  -9,  -9, 9,129.6, ⑤⑤, 8,11, テイエムオｰライト,---,石橋守, 1.3, 52,  -3, -14,12, 84.4, ⑪⑥, 8, 8,Ｅカネトシパサｰジュ, 74,内田博, 1.1, 74, -12,  15, 5, 12.3,⑨⑨⑨, 8,13,Ｆウィルビｰキング, 81,国分優, 1.0, 76,   7,   4,14,273.7,⑫⑪⑩
 9, 5,Ｅロデム, 55,松岡正, 2.4, 27, -13, -13, 4,  9.6, ⑨⑨, 9, 3, キタサンヤマビコ,---,芹沢純, 1.5, 52,*  3, -22, 4,  6.2, ②③, 9, 6,Ｈウォｰタｰセレネ, 70,酒井学, 1.1, 69,* -8,   4, 8, 87.3,①①①, 9, 6,Ｍホワイトピルグリム, 70,酒井学, 1.2, 74,   6,   4,11,124.0,⑪⑬⑪
,,,,,,,,,,,,10, 1, サイレンスシャドウ,---,国分恭, 1.5, 51,  -9,  -7,13, 87.6, ⑬⑫,,,,,,,,,,,,,10, 2,Ｋウインペンタゴン, 76,幸英明, 1.3, 73,   9,  -2,13,150.4,⑧⑦⑦
,,,,,,,,,,,,11, 9, ゴｰルドカナン,---,国分優, 1.5, 50,  -3, -16,11, 54.0, ⑨⑧,,,,,,,,,,,,,11,14,Ｈオｰトドラゴン, 80,渡辺薫, 1.3, 72,   8,   1,10,113.7,⑨⑩⑫
,,,,,,,,,,,,12, 4, ロングボンズ,---,藤岡佑, 1.5, 50,  -5, -14, 7, 14.9, ⑦⑪,,,,,,,,,,,,,12,12,Ｎトウショウウェイヴ, 69,三浦皇, 1.7, 68,* 10, -12, 9, 92.7,⑥⑥⑥
