12年 1月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 1月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かささぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｆソロデビュｰ, 50,上村洋,, 55,* -2,  -1, 5, 11.9,①①①, 1,15,Ｆディアデラバンデラ, 55,藤岡康,, 64,* -6,   4, 2,  4.0,⑤④③, 1, 2,Ｆトｰセンスタッフ, 64,伊藤工,, 69,*  4,*  3,12, 43.4, ①①, 1,10,Ａメイショウヒデタダ, 66,太宰啓,, 73,   2,*  7, 1,  2.9, ⑧⑥
 2, 5,Ｉトｰブプリンセス, 44,古川吉, 0.1, 54,* -2,  -1,12, 99.1,②②②, 2,12,Ｊホッコｰゼニト, 48,江田照, 0.2, 62,  -8,   4, 8, 21.1,⑦⑦⑥, 2, 1,Ｉオｰパルス, 62,西村太, 0.2, 65,  -1,*  3, 3,  5.9, ③③, 2,13,Ｂアイラブリリ, 65,幸英明, 0.3, 73,*  8,  -2, 3,  5.5, ④④
 3, 2,Ａブライトポジｰ, 63,国分優, 0.3, 55,  -4,*  3, 2,  7.8,⑧⑥⑥, 3, 3,Ｃトｰセンギャラリｰ, 57,川須栄, 0.2, 65,  -9,*  8, 1,  3.5,⑯⑫⑫, 3, 9,Ｅフラッパｰミク, 66,杉原誠, 0.2, 66,*  1,*  2, 5, 14.9, ②②, 3, 7,Ｅキボウダクリチャン, 60,杉原誠, 0.4, 66,  -7,* 11, 8, 19.7, ⑬⑫
 4, 6,Ｈエンゼルアｰチスト, 49,丸田恭, 0.4, 52,  -4,  -1, 8, 39.0,④⑤③, 4,11,Ｎガンガンユコウゼ, 43,大野拓, 0.3, 65,  -9,*  6,10, 49.4,⑬⑪⑨, 4,13,Ａシャｰズブルｰ, 74,藤岡康, 0.5, 63,  -4,*  2, 1,  2.4, ⑥⑥, 4, 6,Ｃドントゥリバｰレ, 64,酒井学, 0.5, 66,  -1,   3, 2,  4.0, ⑪⑨
 5, 8,Ｅロングカリス, 51,渡辺薫, 1.2, 50,  -5,  -4,13,187.1,⑩⑨⑦, 5, 4,Ｄコスモユウチャン, 57,丹内祐, 0.3, 62,  -8,   2, 5, 11.8,④⑤⑤, 5, 3,Ｎトｰホウガｰデン, 55,渡辺薫, 0.6, 62,  -4,   1,13, 46.7, ⑤⑤, 5, 3,Ｆシゲルシバグリ, 59,丸田恭, 0.8, 66,*  7,  -8, 4, 10.8, ③③
 6,12,Ｃヤマカツナタリｰ, 55,松山弘, 1.3, 48,  -5,  -4, 3,  8.3,⑨⑩⑨, 6,14,Ｅマイネルアクロス, 56,酒井学, 0.3, 60,* -6,  -2, 4,  6.6,③③②, 6,12,Ｈグランドシャｰプ, 64,吉田隼, 0.8, 60,   0,  -2, 6, 20.5, ④④, 6, 8,Ｊビッグプレゼンタｰ, 54,西村太, 0.9, 61,  -1,  -2,13, 97.2, ⑩⑧
 7,13,Ｄシゲルマスカット, 54,太宰啓, 1.4, 46,  -8,  -2, 6, 15.3,⑫⑬⑫, 7,13,Ａアクシｰバンダム, 60,渡辺薫, 0.4, 61,  -8,   2, 6, 15.5,⑩⑧⑦, 7, 8,Ｃラビットファレル, 68,江田照, 0.9, 57,  -8,   2, 8, 24.6, ⑩⑦, 7, 1,Ｇカノヤミノリ, 58,川須栄, 0.9, 66,*  9, -11, 6, 13.2, ①①
 8,14,Ｐクイｰンダンス, -8,水口優, 1.7, 45,  -9,  -3,14,194.6,⑭⑮⑭, 8, 5,Ｇドラゴンエイジ, 54,杉原誠, 0.5, 62, -11,*  6, 3,  5.2,⑨⑬⑬, 8, 7,Ｌバトルデｰオ, 58,丸田恭, 1.1, 55, -12,*  3,14, 55.4, ⑭⑭, 8, 4,Ｎラブミｰクリｰム,  1,渡辺薫, 1.1, 59,  -1,  -4,14,211.0, ⑨⑩
