12年 6月23日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 6月23日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,信夫山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄディｰプランマ, 57,松岡正,, 61,*  1,   4, 4,  8.2, ①①, 1, 8,Ｂトｰセンセカイオｰ, 66,横山典,, 68,*  6,*  8, 2,  3.1,①①①, 1, 8,Ａシングンタイガｰ, 63,内田博,, 59,* -1, -10, 1,  3.7,②②②, 1, 7,Ｄラッキｰバニラ, 80,中舘英,, 73,*  8,  -6, 4,  7.3,①①①
 2,12,Ａジュドポｰム, 64,田辺裕, 0.1, 59,  -4,*  7, 1,  2.6, ⑤⑤, 2, 9,Ａスカイウエイ, 68,石橋脩, 0.0, 69,*  4,*  9, 4, 10.8,②②②, 2, 4,Ｌネｰムオブザゲｰム, 45,北村宏, 0.2, 58,  -6,* -3,12, 64.3,⑩⑨⑨, 2, 5,Ｉマキハタテノｰル, 78,横山典, 0.2, 70,*  7,  -6, 1,  3.2,③③③
 3,16,Ｂサエッタｰレ, 61,北村宏, 0.2, 59,*  1,   4, 6, 17.8, ②②, 3, 7,Ｎガニオン, 47,蛯名正, 0.7, 66,*  5,   4, 9, 33.9,⑨④④, 3, 5,Ｆキタサンパイロット, 56,田中勝, 0.4, 54,* -1, -17,10, 31.6,①①①, 3, 3,Ｃメジロスプレンダｰ, 81,石橋脩, 0.2, 73,*  7,  -5, 6, 27.6,②②②
 4,14,Ｃハルピュイア, 59,内田博, 0.4, 57,* -1,   3, 2,  3.7, ③③, 4, 5,Ｄキンラン, 61,安藤勝, 0.9, 61,*  5,   2, 3,  4.4,⑭⑥⑤, 4,14,Ｊマイネルピトレスク, 53,柴田大, 0.5, 56,  -3, -13, 4,  7.6,④④③, 4,10,Ｊロｰドアイアン, 78,蛯名正, 0.2, 72,*  7,* -3, 5,  8.0,⑤⑥⑥
 5, 8,Ｅマニッシュスマイル, 53,柴田大, 1.0, 50,  -7,   1, 5, 13.0, ⑦⑦, 5,12,Ｇコスモエスプレッソ, 59,柴田大, 1.0, 61,*  5,   1, 8, 32.4,⑥③③, 5,11,Ｎスケルツァンド, 39,松岡正, 0.5, 57,  -6,* -7, 6, 11.9,⑬⑪⑧, 5,12,Ｅコスモカンタｰビレ, 80,松岡正, 0.3, 72,   5,* -2, 3,  5.3,⑨⑩⑧
 6,10,Ｆオサキニシツレイ, 50,武士沢, 1.1, 51,  -6,   1, 9, 30.8, ⑥⑥, 6,15,Ｌオンワｰドモンタナ, 53,松岡正, 1.6, 58,   2,   0,10,108.5,⑬⑩⑦, 6,15,Ｂハンサムボｰイ, 60,蛯名正, 0.7, 53,  -7,* -7, 3,  5.7,⑮⑮⑭, 6, 2,Ｌプロヴィデンス, 75,北村宏, 0.4, 70,   5,* -3, 7, 27.8,⑧⑨⑤
 7, 7,Ｇマイビッグレディｰ, 34,嘉藤貴, 1.3, 48, -10,   3,16,236.4, ⑧⑧, 7, 4,Ｉウメジマダイオｰ, 55,杉原誠, 1.9, 58,  -4,*  8,13,311.9,⑮⑮⑬, 7, 1, カｰペウィアム,---,江田照, 0.8, 49,  -5, -14, 9, 22.6,⑦⑤⑤, 7, 8,Ｇジェイケイラン, 79,杉原誠, 0.8, 67,   4,* -3,13,117.9,⑬⑬⑫
 8, 1, デジタルウォッチ,---,中舘英, 2.0, 40, -21,   5, 3,  6.3, ⑫⑫, 8,13,Ｋトｰホウドラクロワ, 54,嘉藤貴, 2.1, 55,   3,  -6,14,348.8,⑦⑧⑨, 8, 6,Ｃマイネルカブト, 58,中谷雄, 0.9, 50,  -5, -16, 8, 22.2,⑧⑦⑦, 8, 9,Ｆアルファオリオン, 79,長岡禎, 1.0, 66,   4,  -5,14,237.0,⑭⑭⑬
 9,13, モエレプレジデント,---,長岡禎, 2.3, 38, -18,   0, 7, 25.4, ⑪⑪, 9,11,Ｈレッドロブレス, 55,北村宏, 2.5, 51,*  5, -11,11,148.6,③⑤⑥, 9,10,Ｅトウショウテイスト, 58,武士沢, 1.1, 47,  -6, -16,13, 88.3,⑫⑩⑬, 9,11,Ｈシンボリロｰレンス, 78,田中勝, 1.0, 64,   5, -13, 9, 39.4,⑥⑦⑪
10, 3, デルマフクロク,---,岩部純, 2.4, 37, -27,*  7,13,116.0, ⑬⑬,10,14,Ｊディｰプアンドソン, 55,田中勝, 2.5, 52,   0,  -4, 6, 23.2,⑫⑬⑭,10, 7,Ｍビジャリカ, 42,田辺裕, 1.3, 47,  -6, -17, 7, 15.6,⑪⑬⑫,10, 1,Ｎケｰジｰカチボシ, 68,吉田豊, 1.1, 62,   5, -12,11, 71.4,⑪⑫⑩
11, 4,Ｊバチスカｰフ, 14,嶋田純, 2.6, 35, -19,  -2, 8, 27.0, ⑩⑩,11, 2,Ｃキャプテンジャパン, 66,内田博, 2.5, 51,   3, -10, 1,  2.8,④⑦⑧,11, 9,Ｉカジノロワイヤル, 54,安藤勝, 1.5, 45,  -6, -21, 2,  4.3,⑭⑫⑩,11, 6,Ｂスペｰスアｰク, 81,内田博, 1.2, 63,*  7, -18, 2,  3.3,⑩⑤④
12, 2, テンエイエンドレス,---,大庭和, 2.7, 35, -30,*  7,11,106.5, ⑮⑭,12, 6,Ｅイキシアグレイド, 61,田辺裕, 3.5, 45,   1, -15, 7, 32.2,⑩⑪⑪,12, 3,Ｋタケデンサプライズ, 47,杉原誠, 2.1, 37,  -6, -30,14,241.8,⑤⑧⑪,12, 4,Ａマイネルナロッサ, 82,中谷雄, 1.2, 63,*  7, -17,10, 64.7,⑫⑧⑦
13,15, リワｰドアンク,---,柴田善, 2.8, 34, -28,   4,14,116.6, ⑭⑮,13,10,Ｍパルジョｰイ, 50,田中博, 3.7, 44,   1, -16,15,399.6,⑪⑫⑫,13,16,Ｇクラｰルハイト, 55,柴田善, 2.2, 37,  -3, -35, 5,  8.2,⑥⑥⑥,13,13,Ｋマイネルネオハｰト, 76,武士沢, 2.3, 55,*  7, -35, 8, 33.1,④④⑨
14, 6,Ｈコｰラストウショウ, 33,山崎亮, 2.9, 34,  -3, -19,10, 35.3, ④④,14, 3,Ｆバックギャモン, 61,中舘英, 4.1, 41,   3, -22, 5, 12.0,⑤⑨⑩,14,13, シャイニｰクラウン,---,嶋田純, 2.6, 34, -10, -27,15,367.8,⑯⑯⑯,14,14,Ｍアルファメガハｰト, 74,江田照, 3.1, 50,   5, -40,12, 74.4,⑦⑪⑭
15,11,Ｉリリｰズソング, 28,西田雄, 3.4, 30, -13, -13,12,115.3, ⑨⑨,15, 1,Ｏスズカジャイアント, 20,西田雄, 7.8, 20,  -1, -48,12,174.4,⑧⑭⑮,15, 2,Ｄベニノエクスプレス, 58,吉田豊, 3.0, 30,  -3, -47,11, 56.7,③③④,,,,,,,,,,,,
16, 5, バックダンサｰ,---,杉原誠, 3.6, 27, -38,*  6,15,140.4, ⑯⑯,,,,,,,,,,,,,16,12,Ｈテイエムアカキリ, 55,西村太, 3.4, 28,  -6, -46,16,397.2,⑨⑭⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
