12年 9月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,14,Ｈカンタベリｰリュウ, 33,木幡初, 3.2, 29, -10, -17,13,240.2, ⑦⑩,12, 3, ベｰルグリｰン,---,松山弘, 5.6, 22, -33, -10,16,246.1, ⑭⑭,12, 5,Ｍキャニオンシンザン, 67,原田和, 1.7, 71,  10,  -4,17,537.4,⑫⑬⑫,12,11,Ｊプロスペラスマム, 74,武士沢, 1.5, 58,  -4,  -6,11, 63.0, ⑪⑫
13, 6, アポロダイヤモンド,---,勝浦正, 3.6, 26, -19, -11,10,103.0, ⑮⑭,13, 6, メイキングパワｰ,---,内田博, 5.7, 22, -41,  -3, 4, 10.7, ⑮⑯,13, 7,Ｇアラマサコマンダｰ, 73,勝浦正, 1.8, 72,  12,  -6,12,156.0,⑮⑪⑪,13,10,Ｋマドモアゼルノン, 71,中谷雄, 1.7, 57,  -3, -10,13,191.5, ⑨⑩
14,15,Ｉライトジャガｰ, 30,武士沢, 3.8, 27, -14, -17,16,282.0, ⑬⑮,14, 8, ツキノピラミッド,---,嘉藤貴, 6.6, 15,  -8, -39,12,116.8, ⑧⑧,14, 1,Ｉアルフェロア, 69,福永祐, 2.0, 69,  10,  -6, 6, 25.4,⑨⑭⑭,,,,,,,,,,,,
15,16,Ｍスタｰナイト, -7,長岡禎, 4.8, 15, -13, -28,11,144.6, ⑩⑬,15, 1, カイカマヒネ,---,黛弘人, 7.1, 12, -22, -30,14,214.3, ⑬⑬,15, 3,Ｑスプリングアルタ, 60,松岡正, 2.0, 71,  12, -11,14,199.9,⑦⑧⑩,,,,,,,,,,,,
16, 9, アポロアルテミス,---,西田雄, 4.9, 15, -23, -19,14,261.1, ⑯⑯,16,14, デルフィニア,---,田中勝, 8.5, -4,  -8, -57, 8, 28.1, ⑥⑦,16,12,Ｎフロｰルジェナ, 66,横山和, 2.1, 68,  10,  -8,16,495.0,⑩⑫⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｌコスモセンシティブ, 67,丹内祐, 2.3, 68,  12, -15,15,367.9,⑪⑨⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-4),,,,,,,,,,,
単勝:220円 複勝:12=110円 04=110円 08=280円 枠連:170円,,,,,,,,,,,,単勝:270円 複勝:16=130円 10=130円 04=180円 枠連:500円,,,,,,,,,,,,"単勝:640円 複勝:17=300円 08=530円 04=1,040円 枠連:2,410円",,,,,,,,,,,,"単勝:410円 複勝:08=170円 09=340円 01=690円 枠連:2,070円",,,,,,,,,,,
馬連:170円 ワイド:04-12=120円 08-12=540円 04-08=650円,,,,,,,,,,,,馬連:620円 ワイド:10-16=260円 04-16=430円 04-10=450円,,,,,,,,,,,,"馬連:4,120円 ワイド:08-17=1,480円 04-17=3,330円 04-08=5,130円",,,,,,,,,,,,"馬連:2,070円 ワイド:08-09=790円 01-08=1,380円 01-09=2,990円",,,,,,,,,,,
"馬単:400円 3連複:980円 3連単:3,270円",,,,,,,,,,,,"馬単:1,260円 3連複:1,450円 3連単:4,940円",,,,,,,,,,,,"馬単:7,500円 3連複:36,470円 3連単:129,680円",,,,,,,,,,,,"馬単:3,370円 3連複:13,640円 3連単:55,210円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝﾀｰｽﾞｽﾃｰｸｽ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｆマイネルクレイズ, 44,柴田大,, 52,  -7,* -2, 7, 19.8,⑦⑦③, 1, 1, ラヴネヴァｰダイズ,---,福永祐,, 37, -39,*  6, 3,  7.1,④⑤⑤, 1, 6,Ｄドラゴンフォルテ, 72,福永祐,, 82,   6,* 14, 2,  3.0,③③④, 1,16,Ｂロｰドカナロア, 89,岩田康,, 90,   7,* 16, 2,  4.4, ⑫⑪
 2, 3,Ｃセラミックアｰト, 48,丸田恭, 0.3, 45,* -3, -15, 6, 16.8,①①①, 2,10, サクセスカｰチス,---,蛯名正, 0.2, 28,*-35,  -6, 4,  7.3,②①①, 2, 3,Ｂシュガｰヒル, 76,北村宏, 0.2, 79,*  8,* 10, 1,  1.7,①①①, 2,14,Ａカレンチャン, 89,池添謙, 0.1, 89,   9,  12, 1,  2.5, ⑦⑧
 3, 9,Ｈナイトブルｰミング, 41,杉原誠, 0.4, 49,  -6,  -9,10, 50.4,④⑥⑥, 3,12, ワナビｰザベスト,---,北村宏, 0.5, 32, -43,*  6, 2,  6.3,⑪⑪⑧, 3,14,Ａメイプルリンカｰン, 78,柴山雄, 0.6, 76,   5,* 11, 4, 14.4,⑬⑤⑤, 3, 3,Ｉドリｰムバレンチノ, 82,松山弘, 0.2, 87,   6,  14, 9, 29.4, ⑨⑨
 4, 6,Ｄドラゴンウォｰ, 45,福永祐, 0.7, 43,  -7, -12, 1,  2.1,⑥⑤⑤, 4, 4, エイデンヒｰロｰ,---,大野拓, 0.5, 25,*-36,  -6, 6, 14.7,①③③, 4,13,Ｇファｰマジェンヌ, 69,岩田康, 1.0, 74,*  7,   5, 6, 24.0,⑩④③, 4,15,Ｆエピセアロｰム, 88,武豊  , 0.3, 87,   7,  12, 3,  9.9, ⑪⑫
 5, 7,Ｅグレイスヒｰロｰ, 44,内田博, 0.7, 44, -10,  -6, 4,  7.1,⑨⑧⑨, 5, 8, ムｰンメイヴン,---,三浦皇, 0.6, 26, -39,  -4, 1,  2.3,⑥④④, 5,15,Ｅセンキ, 70,松岡正, 1.1, 73,*  7,   3, 3, 13.1,⑦②②, 5, 5,Ｅラッキｰナイン, 88,プレブ, 0.3, 87,   3,* 16, 8, 18.7, ⑭⑮
 6, 5,Ｍエリンジュｰム, 18,蛯名正, 0.7, 44,  -8,  -8, 5, 13.4,⑧⑨⑧, 6,13, レイヌドネｰジュ,---,松岡正, 0.9, 28, -45,   1, 8, 19.0,⑭⑫⑩, 6, 8,Ｃエイトプリンス, 75,勝浦正, 1.4, 74,   3,  10, 5, 14.6,⑫⑨⑦, 6, 4,Ｋサンカルロ, 80,吉田豊, 0.3, 86,   1,* 17,11, 36.2, ⑬⑬
 7,13,Ｇゴｰルドウインド, 42,北村宏, 0.8, 44, -10,  -6,11, 52.9,⑪⑫⑩, 7, 7, クリアビュｰ,---,嘉藤貴, 1.0, 24, -44,  -1,16,222.7,⑩⑩⑫, 7, 7,Ｎネｰムオブザゲｰム, 50,丸田恭, 2.9, 63,  -2,   5, 8, 69.0,⑯⑮⑭, 7, 6,Ｇエｰシンヴァｰゴウ, 86,内田博, 0.5, 84,  12,   4,13, 61.5, ④③
 8, 8,Ｉマイネルカミカゼ, 36,丹内祐, 0.9, 45, -11,* -5,13,246.1,⑬⑬⑬, 8, 9, マイネルアンテロス,---,柴田大, 1.0, 27, -47,*  3,11, 60.3,⑬⑭⑬, 8,11,Ｆシルククラリティ, 69,西村太, 3.0, 58,   4,  -8,12,196.7,⑥⑥⑥, 8,11,Ｄパドトロワ, 88,安藤勝, 0.6, 83,* 15,   0, 4, 10.0, ②②
 9, 2,Ａチャｰチル, 57,横山和, 1.0, 39,* -4, -21, 3,  7.1,③③⑦, 9, 3, コスモアリｰナ,---,丹内祐, 1.1, 23, -42,  -6,15,186.8,⑨⑦⑦, 9, 9,Ｈコスモノｰハｰム, 64,柴田大, 3.3, 59,   4,  -8, 9,135.9,⑨⑧⑨, 9,10,Ｎブルｰミンバｰ, 74,松岡正, 0.7, 82,   7,   6,15,171.5, ⑩⑩
10, 1,Ｊスイｰトサンバ, 36,柴田善, 1.3, 40, -11, -10, 8, 35.5,⑭⑭⑪,10,15, シュテルンブルｰメ,---,石橋脩, 1.1, 20, -41,  -9, 9, 50.7,⑦⑥⑥,10, 2,Ｏヤマニンエミュ, 49,伊藤工, 3.7, 58,  -1,  -4,15,340.8,⑪⑭⑪,10, 7, リトルブリッジ,---,パｰト, 0.7, 81,   9,   4, 5, 12.2, ⑤⑥
11, 4,Ｌマイネルガｰラ, 28,大野拓, 2.5, 25, -11, -30,12,140.8,⑫⑩⑫,10,11, タサジャラ,---,勝浦正, 1.1, 16,*-37, -16, 5,  8.3,③②②,11, 5,Ｐスイｰトカトレヤ, 47,江田照, 3.9, 56,   3, -12,14,305.1,④⑦⑧,11, 2,Ｃフィフスペトル, 89,蛯名正, 0.7, 82,   7,   7,12, 39.5, ⑧⑤
12,10,Ｂワサビ, 49,松岡正, 2.6, 27,* -4, -44, 2,  5.1,⑤④②,12, 6, アルマドラｰゴ,---,吉田豊, 1.4, 17, -44,  -9,13, 81.6,⑧⑨⑪,12,12,Ｋパワｰヒッタｰ, 56,吉田豊, 4.6, 52,   1, -14, 7, 49.1,⑭⑬⑬,12, 1,Ｊマジンプロスパｰ, 81,福永祐, 0.8, 80,* 15,  -3, 7, 18.1, ①①
13,11,Ｎベニノオｰシャン, 16,大庭和, 3.5, 18, -11, -44,14,314.5,⑩⑪⑭,13,14, リアンハｰト,---,内田博, 1.4, 22, -49,   1,10, 57.9,⑮⑯⑭,13, 4,Ｌウインガイア, 54,吉田隼, 4.6, 51,   1, -14,10,154.2,②⑪⑩,13, 9,Ｍサンダルフォン, 77,酒井学, 1.0, 77,  -4,  13,16,272.2, ⑯⑯
