12年 4月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 4月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 7R  ダ1150m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小名浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅキングビｰト, 58,横山和,, 58,  -4,*  1, 5,  8.9, ⑨⑧, 1, 1,Ｉシルクアポロン, 44,松山弘,, 63,*  3,  -1, 8, 35.6,①①①, 1,14,Ａウネントリッヒ, 72,勝浦正,, 70,* -1,* 11, 2,  4.2, ③③, 1,13,Ｂメイショウドレイク, 75,小島太,, 69,   2,* 11, 5, 12.6,⑧⑥⑥
 2, 3,Ｆバトルマグマ, 58,中舘英, 0.1, 60,*  5,  -7, 1,  3.4, ②②, 2, 4,Ｇマンハッタンコｰド, 48,吉田隼, 0.3, 61,*  2,  -1, 5,  5.9,⑪③③, 2,16,Ｃフレンチミシル, 71,大野拓, 0.6, 63,* -1,   6, 6, 13.4, ④④, 2, 9,Ｃシルクパルサｰ, 74,大野拓, 0.0, 67,   3,  10, 1,  2.7,④⑤⑤
 3, 5,Ｇオンジェム, 56,宮崎北, 0.1, 58,   0,  -2, 7, 16.0, ⑦⑥, 3, 5,Ｆホシニイノリヲ, 54,中舘英, 0.6, 59,*  2,  -5, 1,  4.2,②②②, 3, 8,Ｏレッツマンボウ, 61,嘉藤貴, 0.6, 64,*  1,   4,12, 54.3, ①①, 3, 6,Ｉミスタｰルイス, 66,勝浦正, 0.1, 68,*  4,   8, 8, 18.3,⑪②③
 4,10,Ｂウインドグラス, 63,松山弘, 0.2, 57,   2,  -5, 4,  6.5, ⑤⑤, 4,10,Ｅアポロヴァリアント, 57,西田雄, 0.6, 62,   0,  -1, 7, 13.6,⑩⑥⑤, 4, 4,Ｆフレイヤ, 68,丹内祐, 0.6, 64,  -2,   7, 1,  3.4, ⑤⑤, 4,14,Ｄピュカｰロ, 73,上村洋, 0.4, 67,*  5,   5, 4,  8.1,①①①
 5,15,Ｃサニｰスペシャル, 62,吉田隼, 0.5, 55,*  4, -10, 3,  4.8, ③③, 5,15,Ａサクラテイオｰ, 63,田中博, 0.7, 60,   0,  -2, 3,  5.3,⑤④④, 5, 2,Ｄオンワｰドセジｰル, 70,西村太, 0.6, 63,  -4,   8, 4,  9.1, ⑧⑦, 5, 4,Ｈシンボリカンヌ, 68,川島信, 0.6, 63,*  3,   4,12,111.4,⑮③④
 6, 6,Ｌパｰデュラブル, 34,村田一, 0.7, 51,  -8,  -1,14,208.4, ⑩⑨, 6,11, ビッグリバティ,---,嘉藤貴, 0.8, 60,  -3,*  4,13,189.5,⑫⑫⑩, 6, 1,Ｐアラマサスチｰル, 59,的場勇, 0.7, 65,  -4,   8,13, 91.5, ⑩⑩, 6, 1,Ｅアポロストｰム, 71,丹内祐, 0.6, 66,  -1,* 12, 7, 15.5,⑭⑫⑨
 7, 1,Ａブルｰピアス, 63,勝浦正, 0.8, 53,   2, -10, 2,  4.1, ④④, 7, 8,Ｂコスモメルハバ, 61,伊藤工, 0.8, 59,  -1,  -1, 2,  4.4,⑨⑦⑥, 7, 6,Ｇテングジョウ, 65,宮崎北, 0.7, 63, -10,* 13, 5, 10.2, ⑯⑯, 7,15,Ｆファイアアロｰ, 71,川須栄, 0.6, 66,   3,   6, 3,  6.7,②④②
 8, 8,Ｎウメジマダイオｰ, 26,伊藤工, 1.0, 46, -18,*  4,15,248.2, ⑮⑮, 8, 3,Ｃアｰスワンドリｰム, 59,木幡初, 1.0, 58,  -2,  -2, 4,  5.8,⑧⑨⑨, 8,11,Ｎデステニｰアロｰ, 61,田中博, 0.7, 65,  -5,* 10,15,162.5, ⑬⑬, 8,11,Ｍシャイニｰベスト, 58,西田雄, 0.6, 68,   1,   8, 9, 67.5,⑥⑧⑦
 9,12, トｰホウドラクロワ,---,嘉藤貴, 1.2, 46,  -9,  -4,13,135.7, ⑪⑪, 9, 6,Ｄコスモエスプレッソ, 58,丹内祐, 1.2, 57,  -1,  -4, 6,  8.7,⑬⑧⑦, 9, 7,Ｂアマレット, 71,木幡初, 1.0, 62,  -1,   4,11, 26.5, ⑥⑥, 9, 2,Ｇバｰチャルトラック, 70,吉田隼, 0.7, 66,  -2,* 14, 6, 13.3,⑬⑬⑫
10,16,Ｄクラウンカミｰノ, 60,西田雄, 1.2, 50,   1, -13,12, 67.9, ⑥⑦,10,14,Ｍベルモントブレイク, 22,大野拓, 2.8, 44,  -4, -13,10,112.4,⑥⑪⑫,10, 3,Ｈドナリサ, 65,村田一, 1.1, 60,  -8,   8, 8, 18.4, ⑭⑫,10, 7,Ｋカシノスタｰライト, 60,二本柳, 1.3, 60,   1,   3,15,316.3,⑤⑦⑩
11, 9,Ｈドントブリンク, 54,木幡初, 1.2, 50,*  6, -18, 6, 15.6, ①①,11,13,Ｈコウズシャイン, 47,二本柳, 2.9, 45,  -7,  -8,15,337.0,⑭⑭⑬,11,13,Ｉアユミチャン, 65,吉田隼, 1.2, 58,  -2,   2, 3,  7.6, ⑦⑧,11, 8,Ａキングウェリナ, 78,村田一, 1.4, 61,  -1,   5, 2,  3.7,⑦⑪⑬
12, 2, スカッシュアゲン,---,丹内祐, 1.3, 44, -16,   0, 9, 46.9, ⑭⑬,12, 7,Ｌシゲルパイナップル, 30,鮫島良, 3.1, 46,   0, -22, 9, 85.5,④⑤⑧,12,12,Ｊブルｰデライト, 63,横山和, 1.2, 58,  -7,   6,10, 24.3, ⑮⑮,12, 5,Ｊタマモダイナミック, 63,古川吉, 1.5, 59,  -5,   9,11, 98.2,⑫⑭⑮
