12年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,木津川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,12,Ｉウエスタンマグマ, 51,田中学, 3.3, 46,  -1, -13,12,124.9,⑧⑨⑩,12,10, レディハｰドモア,---,芹沢純, 4.0, 34, -12, -16, 7, 23.8, ⑭⑬,12, 9,Ｃセキサンキセキ, 71,花田大, 1.4, 60, -18,  13, 9, 40.6, ⑭⑭,12, 2,Ｈメイショウサバト, 75,四位洋, 2.3, 57, -12,   8,10, 34.3, ⑫⑫
13,10,Ｋニュｰロジカル, 49,花田大, 3.9, 42,  -6, -11,16,354.4,⑩⑬⑮,13,12, ポエティカル,---,中村将, 4.3, 36,*  3, -34,13, 83.2, ②⑤,13, 7,Ｎハロｰエフェクト, 60,池添謙, 1.4, 60, -15,  10, 8, 39.0, ⑬⑬,,,,,,,,,,,,
14, 8,Ｊキタサンカイザｰ, 51,小林徹, 4.1, 41,  -6, -12, 7, 28.7,⑭⑯⑭,14, 7, キングスｰパｰマン,---,石橋守, 4.5, 32,  -7, -26, 8, 28.8, ⑪⑪,14, 5,Ｋホワイトアッシュ, 65,津村明, 1.5, 59, -10,   5,14,241.9, ⑪⑪,,,,,,,,,,,,
15, 5,Ｐシャイニｰグリｰン, 30,高倉稜, 4.2, 42,  -6, -12,15,326.0,⑮⑮⑬,15, 5, ルンバビｰン,---,津村明, 5.7, 25, -16, -25, 5, 22.4, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
16, 2,Ｍクイｰンキセキ, 43,中村将, 4.6, 39,  -5, -16,11,100.2,⑨⑭⑯,16, 3, アイファｰストｰク,---,小林徹, 6.8, 19, -11, -39,16,363.4, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:5),,,,,,,,,,,
"単勝:1,430円 複勝:09=290円 07=110円 16=150円 枠連:1,310円",,,,,,,,,,,,"単勝:290円 複勝:15=160円 08=980円 16=1,300円 枠連:2,600円",,,,,,,,,,,,"単勝:720円 複勝:04=200円 10=200円 12=190円 枠連:2,140円",,,,,,,,,,,,"単勝:810円 複勝:01=250円 03=890円 05=950円 枠連:9,460円",,,,,,,,,,,
"馬連:1,270円 ワイド:07-09=380円 09-16=1,060円 07-16=240円",,,,,,,,,,,,"馬連:5,970円 ワイド:08-15=2,020円 15-16=2,160円 08-16=12,680円",,,,,,,,,,,,"馬連:2,400円 ワイド:04-10=710円 04-12=730円 10-12=650円",,,,,,,,,,,,"馬連:10,130円 ワイド:01-03=2,960円 01-05=4,420円 03-05=9,730円",,,,,,,,,,,
"馬単:4,090円 3連複:1,710円 3連単:19,120円",,,,,,,,,,,,"馬単:7,560円 3連複:60,310円 3連単:221,660円",,,,,,,,,,,,"馬単:4,990円 3連複:3,860円 3連単:30,030円",,,,,,,,,,,,"馬単:17,250円 3連複:126,890円 3連単:535,520円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  芝3760m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1900m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,淀ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｱﾙﾃﾞﾊﾞﾗﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅロｰレルレジェンド, 52,池添謙,, 64,   0,*  0, 4, 10.9, ⑥⑤, 1,13,Ａオソレイユ, 76,川田将,, 69,  -4,*  9, 1,  1.2, ④⑤, 1, 6, バアゼルリバｰ,,小坂忠,,,,, 1,  1.7,④④④, 1, 3,Ｅエアマックｰル, 91,田中学,, 93,  14,* 20,11, 60.8,⑪⑪⑨
 2,13,Ｆダブルプライム, 50,藤岡佑, 0.0, 67,*  4,  -3, 6, 16.8, ①①, 2, 2,Ｂインクレセント, 63,藤田伸, 0.1, 69,  -4,*  8, 3, 13.7, ⑤④, 2, 5, マサライト,,西谷誠,262.1,,,, 2,  4.7,②②②, 2, 5,Ａシルクシュナイダｰ, 94,デムｰ, 0.2, 91,  15,* 16, 1,  1.6,⑨⑦⑦
 3, 5,Ｄエリクサｰ, 60,川田将, 0.2, 63,   1,* -2, 1,  1.8, ④③, 3, 5,Ｃトワイスアップ, 60,デムｰ, 0.2, 69, -10,* 15, 4, 16.2, ⑫⑪, 3, 1, シゲルジュウヤク,,中村将,262.4,,,, 3,  7.0,①①①, 3,11,Ｃタマモクリエイト, 91,大庭和, 0.4, 91,  16,   9, 5, 19.5,④④③
 4,14,Ｂスジャウムンキン, 62,長谷川, 0.3, 63,*  3,  -5, 3,  7.1, ②②, 4, 8,Ｇバｰニングジｰル, 57,浜中俊, 0.6, 64,  -5,   3, 6, 23.6, ⑥⑥, 4, 7, ナリタシャトル,,高田潤,262.6,,,, 6, 21.5,③③③, 4, 2,Ｇメンデル, 89,高倉稜, 0.4, 91,  14,  15,14,100.5,⑥⑨⑧
 5, 4,Ｏヴァルナビット, 40,高倉稜, 1.2, 51, -10,* -1, 8, 41.0, ⑬⑬, 5, 3,Ｆパイライトパワｰ, 59,千葉直, 0.8, 60,* -2,  -4, 5, 21.7, ②②, 5, 4, ディアマイホｰス,,横山義,262.8,,,, 4,  7.1,⑨⑨⑨, 5, 4,Ｆシャア, 89,小坂忠, 0.5, 89,  16,  11, 9, 37.7,⑦⑤⑤
 6,10,Ａティンギｰ, 62,熊沢重, 1.2, 56,   0,  -9, 7, 16.9, ⑤⑥, 6, 6,Ｄブレイムレスリｰ, 59,池添謙, 0.8, 62,  -8,   5, 7, 36.9, ⑪⑧, 6, 8, マルタカタキオン,,黒岩悠,262.8,,,, 9, 97.6,⑧⑦⑦, 6,16,Ｌツクバホクトオｰ, 87,和田竜, 0.9, 86,* 19,   1,12, 62.1,②②②
 7, 6,Ｃフォレストピア, 61,和田竜, 1.6, 48,  -6,  -8, 2,  4.9, ⑪⑪, 7,10,Ｈマイネヴォヤｰジ, 54,和田竜, 1.1, 59,  -8,   0,12,169.4, ⑧⑨, 7, 3, ナムラチェンジ,,難波剛,263.0,,,, 5, 14.7,⑦⑥⑥, 7,15,Ｊナニハトモアレ, 88,安藤勝, 0.9, 85,  10,* 18, 4, 12.6,⑭⑮⑬
 8,12,Ｋエドノボルト, 44,横山義, 1.6, 49,  -2, -11,16,438.8, ⑦⑦, 8, 7,Ｍオレハメジャｰ, 45,高倉稜, 1.1, 59, -11,   6,10, 80.9, ⑭⑭, 8, 9, モルフェサイレンス,,大江原,263.0,,,, 8, 56.0,⑥⑧⑧, 8, 9,Ｄサクラロミオ, 91,国分恭, 1.1, 85,  12,  14, 8, 31.4,⑬⑬⑩
 9,15,Ｈハリスキャスケｰド, 48,小林徹, 1.7, 50,*  2, -17,13,244.6, ③④, 9, 4,Ｋドｰントレス, 48,国分恭, 1.2, 54,* -3, -10,13,191.5, ①①,,,,,,,,,,,,, 9, 1,Ｐシンメイフジ, 76,川田将, 1.5, 81,* 19,  -4, 2,  7.0,①①①
10,16,Ｎギンザノクリチャン, 41,小坂忠, 1.9, 46,  -3, -13,15,437.6, ⑧⑧,10,11,Ｊトｰセンマグナム, 49,小林徹, 1.7, 51, -10,  -4, 9, 59.8, ⑬⑮,,,,,,,,,,,,,10, 6,Ｂインバルコ, 93,浜中俊, 1.6, 83,  16,   2, 3,  8.0,⑫⑥⑥
11, 9,Ｇクラウンザクラウン, 48,安藤光, 2.0, 45,  -5, -12,10, 86.8, ⑩⑩,11,15,Ｉオｰドゥルルド, 49,秋山真, 1.8, 47,* -3, -19, 2, 12.8, ③③,,,,,,,,,,,,,11, 8,Ｍエプソムアｰロン, 85,小林徹, 1.9, 79,  16,  -4,16,361.6,③③④
12, 3,Ｉハッピｰショット, 47,デムｰ, 2.1, 43,  -8, -10, 5, 15.7, ⑫⑫,12,16,Ｌノｰドラメｰル, 45,田中学, 2.0, 47,  -5, -16,16,566.7, ⑦⑦,,,,,,,,,,,,,12, 7,Ｈロラパルｰザ, 89,藤岡佑, 1.9, 83,  10,  12, 7, 29.5,⑮⑯⑯
13, 2,Ｊフトゥｰルム, 47,小牧太, 2.3, 41, -14,  -6, 9, 67.3, ⑮⑮,13,12,Ｐオｰシャンゼリゼ, 34,四位洋, 2.0, 47,  -8, -12,11, 89.5, ⑨⑩,,,,,,,,,,,,,13,13,Ｋアドマイヤシャトル, 87,小牧太, 2.1, 80,  12,   5,13, 80.7,⑯⑭⑮
14, 7,Ｌデルマアマテラス, 44,竹之下, 2.5, 39, -10, -12,12,162.7, ⑭⑭,14, 1,Ｅキングズクエスト, 59,大庭和, 2.1, 46, -10, -12, 8, 47.4, ⑩⑬,,,,,,,,,,,,,14,12,Ｏヒラボクロイヤル, 80,熊沢重, 2.9, 75,  14,  -5,15,287.5,⑤⑧⑪
15, 1,Ｐジャングルヤマト, 38,大庭和, 2.5, 42, -17,  -4,14,333.8, ⑯⑯,15, 9,Ｎシゲルザクロ, 41,藤岡佑, 2.1, 50, -12,  -7,14,224.4, ⑮⑫,,,,,,,,,,,,,15,14,Ｉピｰスキｰパｰ, 88,四位洋, 3.1, 73,  13,  -6, 6, 25.4,⑩⑩⑫
16, 8,Ｍトウショウスコア, 43,武幸四, 2.6, 41,  -4, -18,11,150.3, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｎストロングガルｰダ, 84,秋山真, 4.0, 67,  13, -13,10, 42.1,⑧⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,090円 複勝:11=300円 13=430円 05=110円 枠連:2,500円",,,,,,,,,,,,単勝:120円 複勝:13=100円 02=250円 05=190円 枠連:460円,,,,,,,,,,,,単勝:170円 複勝:06=110円 05=130円 01=150円 枠連:430円,,,,,,,,,,,,"単勝:6,080円 複勝:03=780円 05=110円 11=310円 枠連:1,530円",,,,,,,,,,,
"馬連:10,230円 ワイド:11-13=2,640円 05-11=480円 05-13=560円",,,,,,,,,,,,馬連:700円 ワイド:02-13=350円 05-13=240円 02-05=870円,,,,,,,,,,,,馬連:430円 ワイド:05-06=200円 01-06=230円 01-05=360円,,,,,,,,,,,,"馬連:4,130円 ワイド:03-05=1,220円 03-11=5,620円 05-11=500円",,,,,,,,,,,
"馬単:18,830円 3連複:4,410円 3連単:50,040円",,,,,,,,,,,,"馬単:820円 3連複:1,370円 3連単:3,140円",,,,,,,,,,,,"馬単:510円 3連複:650円 3連単:1,570円",,,,,,,,,,,,"馬単:15,250円 3連複:13,180円 3連単:134,730円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 9R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1400m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,つばき賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂジョナパランセ, 62,川田将,, 60,*  4,  -6, 1,  2.5,⑤④③, 1,13,Ａワイドバッハ, 76,藤岡佑,, 72,   0,* 13, 1,  1.9, ④③, 1,10,Ｄエアソミュｰル, 70,和田竜,, 77,  -1,* 10, 2,  3.1, ⑧⑥, 1, 1,Ｐオｰシャンフリｰト, 67,藤田伸,, 79,*  6,   7, 3,  6.0, ①①
 2,12,Ａスズカルパン, 69,花田大, 0.0, 60,   2,* -3, 2,  3.8,⑧⑧⑥, 2, 6,Ｄハヤブサ, 63,国分恭, 0.6, 66,*  1,   6, 4, 12.7, ②②, 2,13,Ｋダｰクナイサｰ, 56,浜中俊, 0.3, 74,  -2,*  9, 5, 16.6, ⑨⑧, 2,10,Ｅアｰトオブビｰン, 77,国分恭, 0.5, 75,   1,   9,11, 44.8, ⑨⑦
 3,14,Ｇケイエスファントム, 55,藤岡佑, 0.3, 59,*  3,  -9, 8, 34.7,⑩⑤⑤, 3, 3,Ｋモズベラベラ, 51,池添謙, 0.7, 66,  -1,*  8, 5, 13.1, ⑤⑤, 3, 5,Ａヤマニンファラオ, 74,藤田伸, 0.5, 70,  -2,   5, 1,  2.5, ⑥⑦, 3, 7,Ａメメビｰナス, 82,デムｰ, 0.6, 74,   0,   9, 2,  4.6, ⑧⑧
 4, 4,Ｃマイネルボンド, 57,安藤光, 0.4, 57,   3,  -8,10,115.2,④⑥④, 4, 8,Ｅヴァンヌｰヴォｰ, 62,四位洋, 1.3, 61,  -3,   4, 2,  3.8, ⑥⑥, 4, 2,Ｃナリタハリケｰン, 71,池添謙, 0.8, 66,  -1,  -2, 6, 17.0, ④④, 4, 9,Ｂラガｰリンリン, 80,池添謙, 0.6, 74,   3,   5, 1,  3.0, ⑥⑤
 5, 1,Ｈエｰシンハッブル, 54,小牧太, 0.5, 58,  -2,* -1, 4,  8.1,⑯⑫⑫, 5, 5,Ｂウィナｰズマックス, 66,石橋守, 1.5, 60,  -5,   6, 7, 43.6, ⑩⑩, 5, 4,Ｉダノンオリエント, 63,デムｰ, 0.9, 63,*  0,  -7, 3,  6.4, ②②, 5,14,Ｋトップオブザヘヴン, 73,津村明, 0.8, 73,  -2,* 10, 9, 23.3, ⑪⑨
 6, 2,Ｏサンライズロイヤル, 39,和田竜, 0.5, 56,*  4, -12, 3,  4.4,①①①, 6, 2,Ｆハマノヴィグラス, 59,秋山真, 1.6, 57,  -1,  -2,10,137.2, ③④, 6,11,Ｅクリスマスマｰベル, 67,国分恭, 0.9, 68,  -9,* 13,11,127.7, ⑫⑪, 6,15,Ｌプントバンコ, 72,藤岡佑, 0.9, 73,  -1,   9, 6, 13.2, ⑫⑩
 7, 3,Ｆトウショウギフト, 55,秋山真, 1.0, 52,*  4, -15, 5, 12.2,②②②, 7,12,Ｃキクノストｰム, 65,浜中俊, 1.7, 58,*  2,  -5, 3,  5.3, ①①, 7,12,Ｆマナウス, 65,川田将, 1.0, 66,  -5,   5, 4,  7.0, ⑪⑨, 7, 8,Ｆピュアチャプレット, 76,四位洋, 0.9, 73,  -3,* 11, 8, 19.7, ⑬⑬
 8, 5,Ｅポケットピｰス, 55,国分恭, 1.2, 52,   2, -12, 9, 93.6,⑥⑦⑦, 8, 7,Ｉスパイア, 56,和田竜, 2.1, 54,  -4,  -3,11,234.5, ⑨⑦, 8, 1,Ｊハッピｰウィｰク, 62,長谷川, 1.2, 60,*  2, -13, 8, 36.5, ①①, 8, 2,Ｃトウカイセレブ, 78,浜中俊, 1.0, 72,   4,   1, 4,  7.7, ④②
 9,16,Ｄファｰマジェンヌ, 55,大庭和, 1.4, 54,  -3,  -6, 6, 19.4,⑭⑮⑬, 9, 4,Ｇラブミｰクリｰム, 58,田中学, 2.1, 54,  -3,  -2, 9,128.1, ⑦⑧, 9, 8,Ｈラガｰトモヒｰロ, 64,高倉稜, 1.9, 55,  -3, -12,10,125.1, ⑩⑩, 9, 4,Ｈピサノプリヴェ, 75,田中学, 1.1, 70,  -1,   6,12,116.0, ⑩⑫
10, 7,Ｊトライチャンス, 45,藤田伸, 2.4, 46,   0, -20,11,123.7,⑪⑩⑩,10, 9,Ｌズッカ, 47,川田将, 2.2, 55,  -3,  -3, 6, 23.1, ⑧⑨,10, 9,Ｌオビｰディエント, 48,秋山真, 2.1, 53,   0, -20, 9,113.5, ⑤⑤,10,16,Ｏトｰホウリッチ, 68,石橋守, 1.5, 67,  -3,   5,14,154.4, ⑭⑭
11,11,Ｎエリモマッロｰネ, 41,田中学, 3.2, 40,   1, -26,12,189.7,⑦⑪⑪,11,11,Ｈコパノモｰニング, 58,高倉稜, 2.5, 52,  -9,   1,13,504.3, ⑪⑫,11, 7, ハイパｰルミノスタ,---,田中学, 4.0, 34,  -4, -41,12,377.5, ⑦⑫,11,11,Ｇダノンプリマドンナ, 76,小牧太, 1.6, 66,*  5,  -5, 5, 11.5, ③④
12,15,Ｉナガアキラ, 47,津村明, 3.2, 39,   0, -27,16,494.3,⑫⑨⑧,12,10,Ｊトップキックス, 56,津村明, 3.3, 46,  -8,  -5, 8, 82.4, ⑫⑪,12, 6,Ｇグインネヴィア, 64,四位洋, 4.3, 34,*  0, -54, 7, 18.0, ③③,12, 5,Ｄキモンレッド, 77,川田将, 1.8, 65,*  5,  -6, 7, 13.6, ②③
13,10,Ｋファイアイｰタｰ, 45,高倉稜, 3.3, 41,  -2, -22,14,271.8,⑨⑬⑭,13, 1,Ｍエタニティ, 19,花田大, 4.0, 39, -12,  -9,12,445.0, ⑬⑬,,,,,,,,,,,,,13, 6,Ｉキリシマウイング, 73,花田大, 2.0, 62,   2,  -6,16,425.8, ⑤⑥
14, 9,Ｍシゲルガマズミ, 43,小林徹, 3.5, 38,  -3, -22,13,246.8,⑬⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｎシシャモチャン, 70,田中克, 2.2, 62,  -6,   3,13,144.7, ⑮⑮
15, 6,Ｌアグネスファイタｰ, 44,池添謙, 4.5, 32,   3, -44, 7, 28.3,③③⑨,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｊレインボｰロｰズ, 73,秋山真, 2.5, 59,   0,  -8,10, 32.4, ⑦⑪
16,13,Ｐレイシャルム, 34,芹沢純, 5.9, 26,  -5, -39,15,436.5,⑮⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｍチャｰムドリｰム, 70,和田竜, 2.9, 57,  -9,   1,15,223.4, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
