12年 6月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 6月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鷹取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄキｰパップ, 57,藤懸貴,, 56,  -5,*  3, 9, 33.7, ⑩⑪, 1,10, ヴァンダライズ,,林満明,,,,, 1,  2.0,②②②, 1,14,Ｇヴァンヌｰヴォｰ, 74,藤岡康,, 78,   6,* 13, 5, 10.5,⑨⑩⑦, 1,10,Ａグッドマイスタｰ, 91,大野拓,, 78,*  3,* 23, 1,  1.5,②②②
 2, 7,Ｂマリントウショウ, 61,藤岡康, 0.1, 58,  -3,*  0, 1,  3.3, ⑧⑧, 2, 8, タガノバッチグｰ,,中村将,207.0,,,, 2,  4.0,①①①, 2, 3,Ｃマｰベラスバロン, 77,渡辺薫, 0.4, 79,   5,* 11, 7, 16.3,⑫⑫⑩, 2,12,Ｅタナトス, 81,藤田伸, 0.3, 79,*  3,  20, 2,  5.7,①①①
 3, 5,Ｇダンツスウィフト, 52,松山弘, 0.1, 58,*  3,  -9, 7, 21.4, ①①, 3, 3, フサイチアソｰト,,植野貴,208.4,,,, 6, 18.0,⑦⑥④, 3, 7,Ｉシゲルダイセン, 74,国分恭, 0.4, 75,   6,  10, 6, 11.9,⑪⑪⑧, 3, 9,Ｌテイエムハエンカゼ, 71,芹沢純, 0.7, 75,*  2,  19,11,148.9,③④③
 4, 1,Ｅペプチドヒノトリ, 54,尾島徹, 0.2, 58,*  1,  -7, 2,  4.2, ②②, 4, 6, エルチョコレｰト,,小坂忠,210.1,,,, 3,  5.3,③③③, 4,10,Ａコウエイチャンス, 80,秋山真, 0.5, 75,   5,* 12, 1,  3.9,⑯⑭⑫, 4, 6,Ｂイｰサンジャンパｰ, 83,酒井学, 0.7, 75,   0,* 22, 9, 62.3,⑦⑧⑨
 5, 9,Ｈタイキベイビｰ, 51,渡辺薫, 0.2, 59,  -4,*  1, 8, 30.1, ⑪⑨, 5, 7, マｰブルジｰン,,今村康,210.3,,,, 8, 55.7,⑤④⑤, 5,12,Ｅブライトジェム, 75,大野拓, 0.6, 72,   5,  10, 8, 19.3,⑭⑬⑭, 5, 3,Ｉトリノ, 80,高倉稜, 0.9, 74,   1,  18, 3,  6.9,④⑤⑦
 6, 6,Ｃステップワイズ, 59,大野拓, 0.5, 54,   0,  -7, 5,  8.6, ③④, 6, 4, アイティゴｰルド,,五十嵐,210.4,,,, 7, 26.5,④⑤⑥, 6, 8,Ｄトシザツンツン, 75,中舘英, 0.6, 71,* 10,  -1, 4,  6.4,②②②, 6, 8,Ｇサンマルボス, 80,松田大, 0.9, 74,   1,  19, 8, 56.8,⑧⑥⑤
 7,15,Ａウインアルエット, 63,村田一, 0.5, 55,  -2,  -6, 3,  4.3, ⑥⑥, 7, 9, サンレイランキング,,難波剛,210.7,,,, 9, 84.7,⑥⑦⑦, 7,11,Ｂレットミｰノｰ, 78,中井裕, 0.7, 72,* 10,   0, 9, 23.6,③③③, 7, 7,Ｄママキジャ, 81,嘉藤貴, 1.0, 73,*  2,  17, 4, 11.4,⑤③④
 8,10,Ｊアズマセブンガｰル, 51,秋山真, 1.0, 51,*  0, -13, 4,  7.2, ④③, 8, 5, ハツカリ,,高野和,212.9,,,,10,127.4,⑧⑧⑧, 8, 2,Ｋイｰグル, 71,鮫島良, 1.2, 71,   7,   0,11, 31.6,⑤⑦⑥, 8, 4,Ｈウインベルカント, 80,佐藤哲, 1.1, 71,   0,  18, 5, 19.5,⑨⑨⑥
