12年 3月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,うずしおｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂマｰチャンテイマｰ, 63,川田将,, 57,* -5,* 13, 1,  1.7,②②②, 1,12,Ａファントムライト, 73,福永祐,, 76,* 11,*  0, 1,  2.2, ⑨④, 1, 9,Ａスマイルタイム, 76,福永祐,, 74,   4,*  8, 1,  2.4, ⑥⑦, 1, 8,Ｄカトルズリップス, 81,福永祐,, 93,*  9,  17, 5, 14.8, ①①
 2,11,Ａフｰラブライド, 63,武豊  , 0.6, 54,  -7,* 13, 2,  3.8,⑧⑧⑧, 2, 9,Ｊエアロッシュ, 46,デムｰ, 0.1, 75,  10,*  1, 2,  5.5, ⑫⑨, 2, 8,Ｃピンクデｰジｰ, 72,国分恭, 0.2, 72,   1,* 10,10, 46.0, ⑪⑪, 2, 9,Ｃノｰブルジュエリｰ, 85,デムｰ, 0.3, 89,*  6,  16, 1,  2.6, ②②
 3,10,Ｃブライトポジｰ, 59,国分恭, 1.0, 51,  -6,   9, 4, 12.0,⑥⑥⑤, 3,10,Ｆリインカネｰション, 57,川田将, 0.2, 74,  10,*  0, 7, 18.9, ⑦⑧, 3,13,Ｈクリノトルネｰド, 66,花田大, 0.3, 71,   3,   6, 9, 42.4, ⑨⑧, 3, 7,Ｂクィｰンズバｰン, 87,藤岡佑, 0.3, 93,   2,* 21, 3,  5.4, ③③
 4, 3,Ｄケｰプホｰン, 59,ピンナ, 1.0, 57,  -6,   7, 3,  5.3,⑤④④, 4,14,Ｅモンテエクリプス, 60,武豊  , 0.6, 70,* 13, -10, 6, 12.5, ⑤②, 4,14,Ｎネオエピック, 61,小牧太, 0.3, 73,*  5,   4,16,141.8, ③③, 4, 5,Ａサウンドバリアｰ, 87,武豊  , 1.2, 81,  -2,  16, 2,  3.2, ⑥⑦
 5, 6,Ｅシゲルリンゴ, 53,幸英明, 1.3, 50,  -6,   6, 6, 31.6,⑦⑦⑦, 5, 3,Ｄゼログラヴィティｰ, 63,池添謙, 1.1, 64,* 11, -14, 5,  9.0, ④⑥, 5,12,Ｂマコトロｰゼンボｰ, 75,吉田稔, 0.4, 71,   4,   5, 2,  3.8, ⑧⑤, 5,11,Ｆトｰホウシンバル, 79,川田将, 1.3, 79,   2,  10, 4,  7.9, ④④
 6, 9,Ｇクイｰンキセキ, 40,中村将, 1.7, 46,  -5,   1,10,173.6,④⑤③, 6, 4,Ｂエボニｰナイト, 69,ピンナ, 1.4, 59,   9, -16, 3,  6.3, ⑬⑩, 6,15,Ｊレｰガン, 64,石橋守, 0.5, 69,   4,   3,14, 71.5, ④④, 6, 1,Ｈビスカヤ, 77,藤田伸, 1.7, 76,  -2,  11, 8, 42.7, ⑧⑨
 7, 1,Ｈスタｰファンタジア, 40,吉田稔, 1.8, 47, -10,   9, 9,140.5,⑨⑪⑪, 7, 8,Ｇキタサンエピソｰド, 53,小牧太, 1.7, 59,   8, -17, 4,  8.0, ⑪⑬, 7, 6,Ｅトｰブプリンス, 70,野元昭, 0.6, 68,   4,   2, 4, 12.6, ⑤⑥, 7, 3,Ｉタガノラヴキセキ, 75,池添謙, 1.9, 72,  -3,   8, 6, 15.4, ⑨⑧
 8, 7,Ｊトシハｰト, 38,森一馬, 2.0, 44,  -9,   4, 7, 47.0,⑪⑩⑨, 8, 2,Ｈビコｰワンダフル, 48,芹沢純, 1.8, 58,   6, -14,14,301.9, ⑭⑭, 8, 7,Ｆエルウェｰオｰジャ, 69,川田将, 0.8, 67,   2,   3, 7, 24.9, ⑩⑩, 8, 4,Ｅマイネショコラｰデ, 79,ピンナ, 2.1, 69,  -5,   8, 9, 45.9, ⑪⑩
