12年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,響灘特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａマルシゲサムライ, 68,水口優,, 52,  -3,* -5, 5,  7.0, ⑧⑦, 1, 2, シゲルハッサク,,森一馬,,,,, 2,  4.4,③②②, 1, 2,Ｅイイデカントリ, 61,川田将,, 70,* 11,  -3, 2,  3.6, ①①, 1, 1,Ｇマイネルバイカ, 79,浜中俊,, 80,  11,   5, 2,  5.3,⑬⑦③
 2, 9,Ｄスクワドロン, 48,北村友, 0.0, 54,   2, -10, 6, 13.0, ④④, 2, 8, シｰライフ,,小坂忠,191.8,,,, 3,  4.9,①①①, 2, 4,Ｃエイユｰラピス, 64,国分恭, 0.4, 61,   4,  -2, 4, 13.9, ⑥③, 2, 8,Ｄキングヒｰロｰ, 80,高倉稜, 0.2, 78,  12,   2, 4,  7.3,⑤⑤⑥
 3, 7,Ｋジョウショｰピアス, 31,国分恭, 0.2, 48, -11,*  1, 9, 46.8, ⑪⑪, 3, 7, リスキｰプラン,,田村太,194.7,,,, 5,  9.1,⑤⑤⑤, 3, 5,Ａパスパルトゥｰ, 67,北村友, 0.5, 66,* 10,  -6, 3,  5.1, ②②, 3,14,Ａレックスパレｰド, 85,川田将, 0.3, 77,  12,   1, 1,  2.5,④④④
 4, 4,Ｃニシノモンクス, 49,武豊  , 0.3, 49,  -1, -10, 2,  4.4, ⑦⑤, 4, 3, パルクエスト,,北沢伸,195.1,,,, 1,  2.5,④④④, 4,10,Ｇアブクマペレ, 55,太宰啓, 1.0, 51,  -5,  -2, 9, 57.6, ⑧⑧, 4, 2,Ｏツリｰズオブホｰプ, 69,国分優, 0.4, 78,   9,*  7, 9, 58.2,⑩⑫⑦
 5, 2,Ｉシゲルホウオウザ, 37,松山弘, 0.3, 50,   3, -14, 3,  4.8, ③③, 5, 6, テイエムサウスダン,,難波剛,196.9,,,, 4,  6.9,②③③, 5,13,Ｂワンダｰカサドｰル, 64,高倉稜, 1.0, 57,   5,  -8, 1,  2.2, ⑤⑤, 5, 9,Ｉセレスロンディｰ, 78,松山弘, 0.4, 76,  10,   4, 5,  8.1,⑪⑨⑪
 6,11,Ｅモオプナツヨシ, 44,小牧太, 0.4, 47,  -6,  -7, 1,  4.1, ⑩⑨, 6, 1, ダイヤモンドハウス,,植野貴,197.0,,,, 9, 48.7,⑦⑥⑥, 6,14,Ｄキョウワリベラル, 62,浜中俊, 1.1, 52, -25,* 10, 5, 14.8, ⑬⑬, 6, 3,Ｂタナトス, 83,佐藤哲, 0.6, 75,* 13,  -2, 3,  6.2,①③⑤
 7, 3,Ｌカノヤベンチャｰ, 29,浜中俊, 0.7, 48,*  8, -24, 8, 15.5, ①①, 7, 9, コパノハリケｰン,,今村康,200.3,,,, 7, 20.7,⑧⑦⑦, 7, 7,Ｈメイショウイザヨイ, 55,武幸四, 1.1, 58,*  8, -11, 7, 21.7, ③④, 7,10,Ｆメメビｰナス, 79,武豊  , 1.0, 72,  10,  -2, 6, 10.3,⑧⑩⑨
 8, 5,Ｂユキノスライダｰ, 64,川須栄, 1.0, 39,  -5, -15, 4,  6.1, ⑨⑧,,,,,,,,,,,,, 8,11,Ｊタガノバルベッタ, 48,川須栄, 1.3, 48,  -8,  -3,12,208.4, ⑩⑩, 8,13,Ｐネオシｰサｰ, 66,中村将, 1.1, 73,   9,   1,15,272.2,⑭⑬⑬
 9, 6,Ｈエイティグロｰリｰ, 38,田辺裕, 1.5, 39,*  9, -34, 7, 13.1, ②②,,,,,,,,,,,,, 9,12,Ｆストリｰムライン, 56,田辺裕, 1.4, 51,   5, -12, 6, 16.4, ④⑥, 9,16,Ｃオｰスミレジスタ, 81,太宰啓, 1.3, 70,* 14, -10, 7, 22.1,③②②
10,12,Ｇナムラケンシロウ, 38,国分優, 2.8, 17,   0, -44,10, 59.4, ⑤⑥,,,,,,,,,,,,,10, 3,Ｉトウカイエナジｰ, 52,酒井学, 2.1, 42,  -2, -14, 8, 34.9, ⑦⑦,10,12,Ｋライジングバイオ, 76,藤懸貴, 1.4, 69,   7,   2,16,410.2,⑨⑭⑭
11, 1,Ｊオリンピックイヤｰ, 34,藤懸貴, 2.8, 17,  -1, -43,11, 65.6, ⑥⑩,,,,,,,,,,,,,11, 9,Ｍテアトゥロ, 26,渡辺薫, 2.3, 39,  -7, -13,13,368.1, ⑨⑨,11, 5,Ｊヨクバリ, 77,田辺裕, 1.5, 68,  11,  -7,11, 86.3,⑦⑥⑧
12,10,Ｍサムライキング, -6,高倉稜, 3.2, -5, -25, -24,12,215.9, ⑫⑫,,,,,,,,,,,,,12, 6,Ｋフェリスタス, 43,松山弘, 2.4, 36,  -9, -11,10,131.9, ⑫⑫,12, 4,Ｅバンドゥロンシャン, 80,小牧太, 1.5, 69,  11,  -7, 8, 39.5,⑥⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,13, 1,Ｌツルミラトラｰタｰ, 27,中井裕, 2.7, 33,  -9, -14,14,377.9, ⑪⑪,13,11,Ｍタガノガルｰダ, 74,国分恭, 1.6, 69,   7,   0,14,176.2,⑮⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,14, 8, ダノンサンデｰ,---,藤懸貴, 3.0,  7, -39,*  2,11,142.8, ⑭⑭,14, 6,Ｌスマイルミッキｰ, 76,川須栄, 1.8, 67,   9,  -6,10, 84.7,⑫⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｎナリタシルエット, 70,渡辺薫, 1.9, 68,* 14, -16,12, 89.3,②①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｈエクセルフラッグ, 78,酒井学, 2.2, 67,  -3,* 11,13,114.3,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,
"単勝:700円 複勝:08=230円 09=480円 07=840円 枠連:4,700円",,,,,,,,,,,,単勝:440円 複勝:02=150円 08=170円 07=220円 枠連:780円,,,,,,,,,,,,"単勝:360円 複勝:02=170円 04=260円 05=160円 枠連:1,650円",,,,,,,,,,,,"単勝:530円 複勝:01=160円 08=200円 14=130円 枠連:1,790円",,,,,,,,,,,
"馬連:3,610円 ワイド:08-09=1,820円 07-08=2,420円 07-09=5,760円",,,,,,,,,,,,"馬連:1,150円 ワイド:02-08=370円 02-07=470円 07-08=740円",,,,,,,,,,,,"馬連:2,030円 ワイド:02-04=650円 02-05=360円 04-05=560円",,,,,,,,,,,,"馬連:1,810円 ワイド:01-08=650円 01-14=310円 08-14=460円",,,,,,,,,,,
"馬単:6,350円 3連複:49,970円 3連単:155,880円",,,,,,,,,,,,"馬単:1,960円 3連複:2,430円 3連単:11,170円",,,,,,,,,,,,"馬単:3,410円 3連複:2,520円 3連単:14,950円",,,,,,,,,,,,"馬単:3,150円 3連複:1,710円 3連単:12,220円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,農林水産省賞典 小倉記念 ＧⅢ,,,,,,,,,,
