12年 4月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 4月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1150m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,滝桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃクレバｰアポロ, 61,勝浦正,, 58,  -2,*  2, 1,  3.2, ⑤③, 1, 6,Ａトミケンオウドウ, 61,木幡初,, 59,  -9,* 18, 3,  5.4,⑦⑥⑥, 1,15,Ａフィンデルムンド, 72,後藤浩,, 68,   0,   6, 1,  2.7, ⑧⑦, 1, 8,Ｈラヴァンドゥｰ, 65,松田大,, 67,*  6,*  3, 4,  9.8,②②②
 2,12,Ｂツインクルスタｰ, 63,後藤浩, 0.7, 51,*  2,  -7, 3,  4.6, ②②, 2, 5,Ｃジルニトラ, 60,柴山雄, 0.0, 59,* -7,  15, 1,  3.5,④③②, 2,11,Ｉフレイヤ, 65,丹内祐, 0.1, 66,  -4,*  7, 2,  4.5, ⑩⑩, 2,14,Ｉキングクリチャン, 64,宮崎北, 0.5, 64,   5,   1,11, 47.0,⑬④③
 3, 4,Ｆサンマルリバティ, 51,渡辺薫, 0.9, 48, -16,*  3, 6, 14.4, ⑩⑧, 3, 1,Ｅセプタｰドアイル, 58,大野拓, 0.0, 61,* -7,  16, 2,  5.1,③④③, 3, 4,Ｍアップタｰン, 60,勝浦正, 0.1, 66,  -9,* 12,13, 84.2, ⑮⑭, 3,10,Ａシュガｰヒル, 74,後藤浩, 0.6, 64,   4,*  3, 1,  2.0,⑧⑧⑥
 4, 3,Ｅバブルジェット, 52,柴山雄, 0.9, 48,  -2,  -6, 4,  7.6, ③④, 4, 3, コロンブ,---,西村太, 0.1, 59,  -9,* 17,10, 64.9,⑨⑧⑨, 4,14,Ｂプリサイストップ, 71,宮崎北, 0.2, 66,*  5,  -1, 3,  5.9, ④③, 4, 3,Ｎナリタタイフｰン, 53,村田一, 0.7, 64,   3,*  4,12, 56.4,⑦⑩⑦
 5, 1,Ｄドントブリンク, 55,平野優, 1.0, 50,*  5, -11, 2,  4.0, ①①, 5,14,Ｊマイネエミリｰ, 34,太宰啓, 0.2, 59,  -7,  17, 9, 44.1,⑧⑨⑦, 5, 9,Ｄエルウェｰオｰジャ, 71,太宰啓, 0.6, 62, -11,* 10, 7, 14.8, ⑯⑯, 5,12,Ｂタマモクララ, 70,藤岡康, 0.8, 63,   5,  -2, 5, 10.7,④③④
 6, 8,Ｈプルｰフポジティブ, 46,森一馬, 1.0, 48,  -2,  -7, 9, 32.7, ④⑤, 6,10, レッドヴォｰグ,---,丸田恭, 0.3, 55,  -9,  14, 8, 15.3,⑥⑦⑧, 6, 5,Ｊフュｰジョン, 65,大野拓, 0.8, 60,   3,  -4, 6, 13.2, ⑤⑤, 6, 4,Ｃスズカウラノス, 69,太宰啓, 0.8, 63,   3,*  3, 2,  8.7,⑪⑪⑩
 7, 7,Ｊドラゴンアイリス, 39,西村太, 1.2, 45,  -9,  -4, 7, 18.7, ⑦⑦, 7,16, スミデロキャニオン,---,宮崎北, 0.3, 62, -11,* 22, 6,  9.5,⑮⑭⑬, 7, 7,Ｏスズカジェネラル, 55,川島信, 1.2, 56,  -4,  -2,14,133.7, ⑪⑫, 7, 5,Ｇクレバｰオｰロラ, 65,丹内祐, 1.0, 62,   2,*  3, 7, 16.5,⑫⑫⑫
 8, 6,Ｉゲンパチラヴダンス, 45,岩部純, 1.8, 38, -12,  -8, 8, 29.4, ⑧⑨, 8,12,Ｄトウカイクオｰレ, 58,勝浦正, 0.4, 54,* -7,  11, 4,  8.1,⑤⑤④, 8, 8,Ｆイグナイトカフェ, 67,横山和, 1.2, 57,   2,  -8, 8, 27.2, ⑥⑥, 8,11,Ｆメビュｰスラブ, 65,丸田恭, 1.1, 58,   4,  -3,10, 27.9,⑤⑤⑤
