12年 9月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕月特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃグレイスフルリｰプ, 53,小牧太,, 58,*  4, -12, 1,  2.6, ①①, 1,10, テイエムカミカゼ,,熊沢重,,,,, 1,  2.6,②①①, 1,18,Ａペルレンケッテ, 73,浜中俊,, 82,* 10,   2, 1,  1.6, ②②, 1, 9,Ｅハワイアンウインド, 76,川須栄,, 81,   4,* 11, 1,  2.9, ⑨⑩
 2, 6,Ｄニシノモンクス, 49,中井裕, 0.1, 56,  -4,* -2, 5, 10.6, ⑦⑥, 2, 3, リアルブラック,,林満明,200.3,,,, 2,  3.2,③②②, 2,10,Ｇアドマイヤアロング, 67,国分恭, 0.3, 76,   2,*  7, 6, 25.1, ⑪⑩, 2,12,Ｃアナスタシアブルｰ, 78,岩田康, 0.0, 79,   5,*  6, 2,  3.7, ⑥⑦
 3, 3,Ｇタイムアラウド, 48,武英智, 0.4, 53,  -5,  -3,10, 45.3, ⑧⑧, 3, 7, ナムラコンカｰ,,難波剛,200.5,,,, 3,  5.7,④③③, 3,15,Ｂシルクフラッシュ, 72,四位洋, 0.4, 76,   6,   1, 3, 10.3, ⑦⑥, 3,13,Ｈコンカラン, 74,幸英明, 0.2, 79,   4,*  6, 7, 26.6, ⑧⑨
 4,11,Ｂサンライズトｰク, 56,池添謙, 0.5, 53,   1, -11, 2,  3.3, ③④, 4, 6, アスタｰコリント,,植野貴,203.2,,,, 7, 24.2,⑤④④, 4, 9,Ｉアマルフィタｰナ, 66,国分優, 0.5, 74,  -1,*  8, 9, 35.4, ⑬⑫, 4,10,Ｂリトルダｰリン, 79,川田将, 0.3, 79,*  7,   1, 3,  4.9, ④⑥
 5, 9,Ｅクリノコトノオｰ, 49,国分恭, 0.5, 52,  -7,* -1, 7, 32.4, ⑫⑪, 5, 8, メイショウタクミ,,中村将,207.6,,,,10, 44.2,⑧⑥⑥, 5, 7,Ｃロｰドエアフォｰス, 72,内田博, 0.5, 74,   7,  -2, 4, 11.0, ⑤⑤, 5, 4,Ｄラシンティランテ, 77,福永祐, 0.3, 76,*  7,  -1, 5,  7.8, ③③
 6,12,Ｍシュミット, 31,藤岡佑, 0.7, 50, -10,*  1, 4,  9.0, ⑭⑫, 6, 9, フクノゴｰルド,,森一馬,207.9,,,, 6, 22.9,⑦⑦⑦, 6, 2,Ｍアクロスザライト, 63,川須栄, 0.8, 71,   6,  -3,10, 42.4, ⑧⑦, 6, 8,Ｆサンレガｰロ, 76,浜中俊, 0.6, 75,   3,   4, 4,  7.7, ⑪⑪
 7, 8,Ａゼンノビッグワン, 60,幸英明, 1.3, 47,   1, -19, 3,  6.6, ⑤③, 7, 4, カシノデュｰク,,今村康,208.5,,,, 9, 43.4,⑥⑤⑤, 7,11,Ｈクレムリンシチｰ, 67,酒井学, 0.9, 67,  -6,* 10,14,139.8, ⑰⑰, 7, 2,Ａコウエイオトメ, 81,池添謙, 0.8, 70,   4,  -2, 6, 14.2, ⑩⑧
 8,14,Ｆトウショウタイド, 48,川須栄, 1.4, 47,*  3, -23, 6, 17.4, ②②, 8, 5, エｰティｰショパン,,高田潤,208.5,,,, 4,  8.5,⑩⑨⑧, 8, 8,Ｌアスタｰロｰズ, 64,太宰啓, 1.2, 66,   5,  -7,16,274.5, ⑥⑪, 8, 1,Ｊツヨイキモチ, 68,藤岡佑, 1.0, 71,   2,  -1,12,205.7, ⑫⑫
