12年 5月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 5月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早苗賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃカシュカシュ, 59,藤懸貴,, 64,  -1,*  7, 2,  4.3,⑬⑨⑧, 1,11,Ｆキタサンシンガｰ, 65,花田大,, 61,* -2,   1, 6,  9.8,④③③, 1,15,Ａガｰルズストｰリｰ, 77,藤懸貴,, 78,  12,   5, 3,  5.9, ④④, 1, 4,Ｂイデアルモルソｰ, 73,吉田隼,, 76,*  2,* 15, 3,  5.4, ③③
 2,15,Ａホシニイノリヲ, 62,中舘英, 0.5, 61,*  4,  -7, 1,  1.9,①①①, 2, 7,Ｂキネオスパｰク, 68,黛弘人, 0.0, 61,  -4,*  6, 1,  3.6,⑨⑨⑦, 2, 7,Ｃノボジュピタｰ, 70,原田和, 0.2, 74,   5,*  9, 1,  3.2, ⑩⑨, 2, 3,Ｋラニカイツヨシ, 59,上村洋, 0.4, 71,   0,* 11, 9, 25.0, ⑤⑤
 3, 9,Ｅコスモリボン, 58,丹内祐, 0.7, 60,*  4,  -8, 3,  6.7,②②②, 3,15,Ｋヒミノオオワシ, 53,田中健, 0.1, 60,*  0,  -3,12,121.7,②②②, 3,10,Ｄグランデワイルド, 69,柴山雄, 0.9, 74,* 18,  -8, 4,  6.5, ②①, 3, 7,Ｈマジックポスト, 62,木幡初, 0.5, 69,*  2,   7, 8, 22.0, ②②
 4,14,Ｌカラドリウス, 46,横山和, 1.6, 55,*  3, -13,10, 67.5,⑤③③, 4,10,Ｊサンライズシックス, 57,藤懸貴, 0.1, 59,  -5,*  7,14,183.2,⑪⑪⑩, 4, 2,Ｋオメガキングコング, 61,吉田隼, 1.0, 64,  -2,*  9, 5, 12.7, ⑭⑭, 4, 1,Ｅコスモグレｰスフル, 65,伊藤工, 0.6, 68,*  3,   2, 7, 16.7, ①①
 5,10,Ｆウエスタンロッサ, 57,吉田隼, 2.0, 51,   1, -12, 5, 16.7,⑧⑦⑥, 5,13,Ａフレンドフィｰバｰ, 72,山崎亮, 0.4, 61,  -7,*  7, 2,  4.2,⑭⑬⑬, 5, 5,Ｇカフェラビリンス, 65,勝浦正, 1.0, 66,   3,   4,11, 45.1, ⑫⑫, 5,11,Ｃトｰセンギャラリｰ, 71,松田大, 0.6, 70,   0,   9, 2,  3.8, ⑦⑧
 6, 2,Ｂコスモリオ, 59,津村明, 2.0, 51,   2, -14, 4, 12.1,⑫⑤④, 6, 6,Ｃトゥルｰフレンド, 67,宮崎北, 0.6, 56,*  0,  -8, 3,  6.2,①①①, 6, 9,Ｆゴｰルドサムソン, 67,菅原隆, 1.0, 66,   2,   4, 9, 24.7, ⑬⑬, 6, 2,Ｄレッドヴァｰジン, 69,鮫島良, 0.8, 69,   0,   8, 1,  3.2, ⑩⑨
 7, 1,Ｈスマイルモトヒメ, 53,大野拓, 3.0, 45,   1, -20, 8, 31.7,⑥⑥⑦, 7, 2,Ｄメルシｰラスカル, 66,西村太, 0.8, 54,  -3,  -3, 5,  8.6,⑥⑥④, 7,14,Ｂフレンチミシル, 71,大野拓, 1.1, 65,   5,   1, 2,  4.2, ⑪⑩, 7,12,Ｌヘリオスフィア, 51,大野拓, 0.8, 70,  -1,   9,10, 28.8, ⑪⑪
 8,11,Ｇベニバナビジン, 53,柴山雄, 3.3, 45,  -5, -12, 7, 22.0,⑮⑮⑩, 8, 9,Ｅアンジェロフォｰグ, 66,国分優, 1.5, 53,  -6,  -2, 7, 14.4,⑬⑫⑫, 8,13,Ｈショウナンアリビオ, 65,上村洋, 1.4, 65,   8,  -4, 7, 19.4, ⑧⑦, 8, 6,Ｇコスモユウチャン, 64,丹内祐, 1.3, 63,   0,  -1,11, 36.4, ⑧⑩
