12年10月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,西陣ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1,Ｌミラクルエンジェル,  2,国分優, 5.1,  3, -42, -14,11,240.5, ⑫⑫,12,12, タガノシェルム,---,岩田康, 2.4, 38,* -6, -21, 6, 19.7, ④④,12,12,Ｇワンダｰバライル, 71,水口優, 1.7, 63,  -3,   2,12,118.6,⑫⑬⑬,12,15,Ｌチャンピオンラブ, 80,藤田伸, 1.6, 79,   9,   5,14, 78.8, ⑥⑦
,,,,,,,,,,,,13,11, アマクサタカラジマ,---,国分恭, 2.4, 37,* -6, -22,14,161.0, ②③,13,11,Ｍマイネルエトランゼ, 54,オドノ, 3.2, 52,  -1, -14,13,179.5,⑤⑥⑫,13, 4,Ｍステキナシャチョウ, 78,大下智, 1.7, 77,   2,  11,13, 57.0, ⑯⑮
,,,,,,,,,,,,14, 1, スマｰトノワｰル,---,川須栄, 3.6, 28,  -9, -30, 9, 38.1, ⑦⑦,,,,,,,,,,,,,14,12,Ｅメトロノｰス, 83,池添謙, 1.7, 77,  10,   3,12, 48.8, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｈアｰリｰデイズ, 82,佐藤哲, 1.7, 77,   6,   6, 5,  9.6, ⑨⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｋコパノカチｰノ, 81,藤岡佑, 1.9, 75,   9,   2,16,182.6, ⑤④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,
単勝:180円 複勝:07=110円 06=140円 08=120円 枠連:430円,,,,,,,,,,,,"単勝:1,080円 複勝:06=240円 04=140円 10=250円 枠連:1,240円",,,,,,,,,,,,"単勝:1,190円 複勝:08=430円 03=910円 07=370円 枠連:8,700円",,,,,,,,,,,,"単勝:830円 複勝:08=270円 10=270円 02=160円 枠連:2,900円",,,,,,,,,,,
馬連:530円 ワイド:06-07=230円 07-08=160円 06-08=330円,,,,,,,,,,,,"馬連:1,410円 ワイド:04-06=600円 06-10=1,520円 04-10=640円",,,,,,,,,,,,"馬連:9,340円 ワイド:03-08=3,310円 07-08=1,600円 03-07=3,350円",,,,,,,,,,,,"馬連:4,500円 ワイド:08-10=1,610円 02-08=690円 02-10=680円",,,,,,,,,,,
