12年11月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,晩秋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂゲマインシャフト, 61,松岡正,, 55,  -5,* 10, 3,  3.8, ⑨⑧, 1, 3, ジュヌドラゴン,,山本康,,,,, 2,  3.6,①①①, 1, 8,Ｃジャｰグラット, 75,柴田善,, 75,  -5,  19, 7, 12.8, ⑥⑤, 1, 3,Ｅネオブラックダイヤ, 75,北村宏,, 89,  19,* -6, 4,  9.3,⑥⑥④
 2,11,Ｃゴｰルドメイン, 60,蛯名正, 0.1, 56,  -3,*  7, 4,  7.9, ⑥⑤, 2, 2, ティンバｰウルフ,,金子光,206.8,,,, 7, 21.9,⑤②②, 2, 7,Ｈエンドレスノット, 72,三浦皇, 0.2, 72,* -4,  15, 4,  8.4, ②②, 2, 6,Ｂホッコｰブレｰヴ, 78,幸英明, 0.2, 88,  19,* -9, 3,  7.3,⑤⑤③
 3,13,Ｄベリｰトゥベリｰ, 58,三浦皇, 0.1, 54,* -2,   4, 1,  2.7, ④④, 3,13, トｰセンタイガｰ,,五十嵐,207.4,,,, 1,  3.5,④④③, 3,13,Ｇリｰサムダイチ, 72,北村宏, 0.3, 73,  -9,* 21, 9, 29.2, ⑩⑩, 3, 5,Ｃピサノカルティエ, 77,戸崎圭, 0.6, 82,  17, -10, 2,  6.2,⑦⑦⑥
 4,14,Ａクｰルシャンクス, 65,戸崎圭, 0.7, 49,  -6,   6, 2,  3.6, ⑪⑩, 4,11, スｰパｰティチャｰ,,草野太,209.1,,,, 4,  6.0,⑥⑥⑤, 4,14,Ｄビットプレスト, 74,江田照, 0.3, 73,  -7,  19, 8, 20.4, ⑧⑧, 4, 1,Ｇコスモワイルド, 72,柴田大, 1.3, 79,* 20, -27, 6, 18.1,②②②
 5, 7,Ｅイラッシャイマセ, 54,中谷雄, 1.2, 49,* -2,  -5, 8, 49.7, ②②, 5, 1, ライジングバイオ,,今村康,210.9,,,, 6, 15.6,⑨⑨⑨, 5, 6,Ｋミヤビリファイン, 71,松田大, 0.3, 71,  -5,  16,11, 44.7, ④④, 5, 2,Ａタイセイグルｰヴィ, 78,蛯名正, 1.6, 76,  16, -22, 1,  1.5,⑧⑧⑨
 6,10,Ｊトウカイマスタｰ, 35,幸英明, 1.4, 45,  -5,  -4, 9, 51.4, ⑦⑦, 6, 8, ハｰトビｰトボｰイ,,中村将,210.9,,,,11, 75.2,⑦⑧⑧, 6, 2,Ａピグマリオン, 78,戸崎圭, 0.4, 70,  -7,  18, 1,  2.5, ⑤⑦, 6,10,Ｉスズカゲイル, 67,松田大, 2.6, 72,  17, -35, 8,110.5,⑨⑨⑧
 7, 4,Ｋエルカスティｰヨ, 34,石神深, 2.0, 40,  -5,  -9, 7, 42.2, ⑤⑥, 7,12, アンシャンテルｰル,,高野和,211.5,,,, 8, 30.5,⑫⑩⑩, 7,12,Ｅレッツゴｰマｰクン, 73,武士沢, 0.4, 74, -10,* 22, 6, 12.0, ⑬⑬, 7, 7,Ｆトレノソルｰテ, 74,江田照, 3.2, 66,  17, -49, 7, 80.3,③③⑤
 8, 8,Ｎゴｰルドピュｰマ, 22,北村宏, 2.3, 37,* -2, -15, 5, 14.1, ③③, 8, 4, エリザベｰトアスク,,平沢健,211.6,,,,12, 81.1,③⑤⑥, 8, 5,Ｊノボクン, 71,大庭和, 0.5, 71, -11,* 21,10, 42.0, ⑫⑫, 8, 8,Ｄミッションモｰド, 75,三浦皇, 3.3, 68,* 20, -58, 5, 14.5,①①①
 9, 2,Ｇキンシバイ, 43,木幡初, 2.5, 37,  -7,  -8,12,105.1, ⑫⑪, 9,10, リアルクラシック,,鈴木慶,213.9,,,,10, 57.4,⑪⑦⑦, 9,11,Ｆラブリｰスタｰ, 72,蛯名正, 0.5, 71,  -5,  15, 5, 11.3, ⑦⑥, 9, 9,Ｈセイカミカワ, 69,田辺裕, 4.2, 63,  17, -61, 9,220.0,④④⑦
10, 5,Ｌキクカサンダｰ, 31,柴田善, 2.7, 36,  -9,  -7,10, 71.2, ⑬⑬,10, 7, ガンズオブナバロン,,横山義,214.8,,,, 5,  7.6,⑩⑫⑫,10, 9,Ｂサウンドレｰサｰ, 76,田辺裕, 0.6, 69,* -3,  11, 2,  5.9, ③③,10, 4,Ｊミウラリチャｰド, 59,大庭和, 5.4, 57,  10, -56,10,312.6,⑩⑩⑩
11, 3,Ｆウインマスカット, 44,柴田大, 2.7, 36,  -6, -12,13,250.8, ⑧⑨,11,14, ウエスタンブラボｰ,,大江原,214.8,,,, 9, 45.6,⑧⑪⑪,11, 3,Ｉゴｰルドカルラ, 71,幸英明, 0.6, 68,* -3,  10, 3,  6.2, ①①,,,,,,,,,,,,
12, 6,Ｍテイケイファイン, 29,大庭和, 3.1, 35, -10,  -9,14,315.9, ⑭⑭,12, 6, ディジェスティフ,,浜野谷,215.4,,,,13,104.9,⑭⑭⑭,12, 1,Ｌアプロｰチミｰ, 70,松岡正, 1.0, 67, -13,  19,12, 91.4, ⑮⑭,,,,,,,,,,,,
13, 9,Ｉスピｰドボニｰタ, 37,鈴来直, 3.3, 32,  -9, -12,11,101.6, ⑩⑫,13, 9, アマレット,,江田勇,217.3,,,,14,179.3,⑬⑬⑬,13, 4,Ｍベジャｰルコｰド, 68,木幡初, 1.4, 63,  -9,  11,14,204.2, ⑨⑨,,,,,,,,,,,,
14, 1,Ｈブリリアンシｰ, 41,田辺裕, 3.7, 27,* -2, -28, 6, 22.4, ①①,14, 5, ノンパッサｰレ,,石神深,219.2,,,, 3,  5.5,②③④,14,15,Ｎキトゥンブルｰ, 64,柴田大, 1.7, 60,  -9,   8,13,129.9, ⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｐウィッシュアゲン, 61,川島信, 1.9, 61, -18,  18,16,427.1, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｏドリｰムバラｰド, 63,武幸四, 2.0, 62, -11,  10,15,329.7, ⑭⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:不良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:良(指数:-1),,,,,,,,,,,
"単勝:380円 複勝:12=130円 11=180円 13=110円 枠連:1,030円",,,,,,,,,,,,"単勝:360円 複勝:03=160円 02=290円 13=150円 枠連:2,880円",,,,,,,,,,,,"単勝:1,280円 複勝:08=440円 07=320円 13=740円 枠連:6,130円",,,,,,,,,,,,"単勝:930円 複勝:03=480円 06=390円 05=320円 枠連:2,370円",,,,,,,,,,,
"馬連:1,090円 ワイド:11-12=350円 12-13=180円 11-13=310円",,,,,,,,,,,,"馬連:2,960円 ワイド:02-03=940円 03-13=290円 02-13=780円",,,,,,,,,,,,"馬連:5,950円 ワイド:07-08=1,960円 08-13=4,470円 07-13=3,490円",,,,,,,,,,,,"馬連:2,180円 ワイド:03-06=560円 03-05=790円 05-06=570円",,,,,,,,,,,
"馬単:1,790円 3連複:570円 3連単:4,280円",,,,,,,,,,,,"馬単:4,600円 3連複:3,030円 3連単:23,600円",,,,,,,,,,,,"馬単:15,890円 3連複:56,500円 3連単:340,620円",,,,,,,,,,,,"馬単:5,280円 3連複:5,060円 3連単:35,470円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,霜月ｽﾃｰｸｽ,,,,,,,,,,
