12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:2,540円 3連複:1,570円 3連単:9,190円",,,,,,,,,,,,"馬単:49,410円 3連複:33,060円 3連単:333,590円",,,,,,,,,,,,"馬単:1,880円 3連複:4,490円 3連単:22,920円",,,,,,,,,,,,"馬単:2,540円 3連複:10,960円 3連単:54,780円",,,,,,,,,,,
■ 3R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,,,,,,,,,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,師走ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, ジャングルタｰザン,---,ムｰア,, 61,  -7,*  3, 1,  2.9, ③④, 1, 8,Ｂトウショウクラウン, 83,内田博,, 84,* 11,* 12, 6, 12.5,⑥③③, 1, 8,Ａツクバコガネオｰ, 94,吉田豊,, 86,   8,* 18, 1,  1.8,⑩⑫⑬,,,,,,,,,,,,
 2,14, トシスプリング,---,柴田善, 0.1, 60,  -7,*  4, 3,  6.0, ⑤⑤, 2,11,Ｆワイルドフラッパｰ, 78,ルメｰ, 0.0, 83,* 12,* 11, 4,  8.1,②②①, 2, 6,Ｋタカオノボル, 81,松岡正, 0.0, 85,* 12,* 13, 9, 34.3,①②②,,,,,,,,,,,,
 3, 6, ブライティアミル,---,的場勇, 0.5, 56,* -5,  -3,10, 32.3, ①①, 3, 1,Ｃドラゴンフォルテ, 82,福永祐, 0.7, 82,  10,   9, 2,  4.9,⑨⑥⑥, 3, 2,Ｈイッシンドウタイ, 82,横山典, 0.4, 81,   9,* 13, 5, 12.7,⑦⑧⑥,,,,,,,,,,,,
 4,13, カレイファンタジア,---,田中勝, 0.8, 52, -12,   0, 7, 20.9, ⑥⑥, 4, 5,Ｄメテオライト, 82,岩田康, 0.8, 81,   8,* 10, 1,  2.6,⑬⑩⑨, 4, 3,Ｃコルポディヴェント, 86,北村宏, 0.7, 80,* 10,   9, 2,  6.3,④⑤③,,,,,,,,,,,,
 5, 7, アイドルワン,---,田辺裕, 1.0, 51, -13,   0, 9, 26.8, ⑦⑧, 5,15,Ｍコスモメルハバ, 74,蛯名正, 1.1, 79,* 11,   4, 9, 38.1,⑦⑤⑤, 5,10,Ｂナイトフッド, 88,田中勝, 0.7, 78,* 10,   8, 3,  7.2,③③⑤,,,,,,,,,,,,
 6, 8, スズカロカフラ,---,横山和, 1.1, 52, -15,   1,11, 65.2, ⑪⑨, 6,14,Ａヤマタケディガｰ, 84,三浦皇, 1.1, 79,   7,* 11, 5,  9.0,⑯⑮⑫, 6,12,Ｉドラゴンヴォイス, 81,岩田康, 1.0, 79,* 11,   7, 4,  7.6,⑤⑥④,,,,,,,,,,,,
 7,16, ハッピｰアンブルｰ,---,丸田恭, 1.2, 49, -13,  -2, 8, 21.7, ⑧⑦, 7,10,Ｅリアライズキボンヌ, 80,杉原誠, 1.3, 78,   8,   6,12, 63.9,⑫⑪⑩, 7,11,Ｄチョイワルグランパ, 85,福永祐, 1.1, 78,   9,   7, 6, 19.4,⑧⑨⑦,,,,,,,,,,,,
 8, 4, バトルタイムレス,---,杉原誠, 1.5, 47,* -6, -11, 2,  4.7, ④②, 8, 4,Ｈエｰペックス, 77,柴山雄, 1.3, 76,   9,   4,10, 38.5,⑤⑦⑧, 8, 1,Ｅアイノカゼ, 84,柴田大, 1.3, 77,   7,   9,10, 93.0,⑭⑭⑭,,,,,,,,,,,,
 9,15, ラピッズトウショウ,---,武士沢, 2.0, 43, -17,  -4,13, 80.9, ⑫⑫, 9, 7,Ｌハリウッドスタｰ, 76,勝浦正, 1.3, 77,   9,   4,13, 84.4,⑧⑨⑦, 9,14,Ｆアグネスアンカｰ, 83,的場勇, 1.6, 75,   9,   3,13,149.4,⑪⑩⑨,,,,,,,,,,,,
10,12, エレガントアゲン,---,長岡禎, 2.0, 43,* -5, -16,15,212.7, ②③,10, 2,Ｇサトノプライマシｰ, 78,ムｰア, 1.3, 77,* 11,   2, 3,  5.6,③④④,10, 4,Ｍウインマリアベｰル, 79,吉田隼, 1.6, 74,   7,   7,15,217.2,⑬⑮⑪,,,,,,,,,,,,
11, 3, エンデュミオン,---,西田雄, 2.1, 40, -24,   0,12, 71.1, ⑮⑬,11, 9,Ｉロｰレルカンタｰタ, 76,横山和, 2.2, 75,   8,  -1,15,230.7,⑭⑭⑪,11,15,Ｊカスガ, 81,丸田恭, 1.7, 73,   8,   5,16,224.7,⑯⑬⑮,,,,,,,,,,,,
12, 1, ハッピｰキャスト,---,横山典, 2.2, 39, -15,  -9, 4,  6.1, ⑨⑩,12,12,Ｋマスタｰソムリエ, 76,田辺裕, 2.8, 67,   8,  -6, 7, 35.8,⑪⑫⑭,12,13,Ｌクラシックセンス, 80,スミヨ, 1.7, 73,* 11,  -2, 7, 29.2,②①①,,,,,,,,,,,,
13, 2, ケンブリッジモス,---,ウィリ, 2.8, 35, -15, -14, 6, 14.0, ⑩⑪,13, 3,Ｎアポロマｰベリック, 71,武豊  , 2.9, 67,   5,  -1,11, 41.4,⑮⑯⑯,13, 5,Ｎブルｰソックス, 76,和田竜, 2.5, 70,   8,  -3,12,131.6,⑫⑪⑩,,,,,,,,,,,,
14,11, コウギョウボｰラｰ,---,武豊  , 3.0, 34, -22,  -9, 5, 13.1, ⑭⑮,14, 6,Ｊエアイグアス, 76,武士沢, 3.4, 64,* 12, -18, 8, 38.0,①①②,14,16,Ｇジョウノボヘミアン, 82,大野拓, 2.7, 67,* 10,  -8,11,107.0,⑥⑦⑫,,,,,,,,,,,,
15,10, ホｰムイモン,---,三浦皇, 4.4, 21, -19, -24,14,101.1, ⑬⑭,15,13,Ｏメイプルダイキチ, 69,宮崎北, 3.8, 60,   9, -14,16,298.4,⑩⑬⑮,15, 9,Ｐドリｰムマイスタｰ, 66,津村明, 4.5, 57,   5, -14,14,155.2,⑮⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,16,16,Ｐホウショウアビル, 58,大野拓, 3.9, 59,   9, -17,14,187.1,④⑧⑬,16, 7,Ｏスｰブルソｰ, 74,ウィリ, 5.3, 50,* 10, -31, 8, 31.8,⑨④⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-4),,,,,,,,,,,,,,,,,,,,,,,
単勝:290円 複勝:05=130円 14=210円 06=590円 枠連:620円,,,,,,,,,,,,"単勝:1,250円 複勝:08=320円 11=260円 01=190円 枠連:3,010円",,,,,,,,,,,,"単勝:180円 複勝:08=120円 06=490円 02=320円 枠連:2,260円",,,,,,,,,,,,,,,,,,,,,,,
"馬連:850円 ワイド:05-14=410円 05-06=1,330円 06-14=2,620円",,,,,,,,,,,,"馬連:4,170円 ワイド:08-11=1,470円 01-08=960円 01-11=640円",,,,,,,,,,,,"馬連:2,720円 ワイド:06-08=830円 02-08=540円 02-06=2,840円",,,,,,,,,,,,,,,,,,,,,,,
"馬単:1,410円 3連複:8,060円 3連単:32,600円",,,,,,,,,,,,"馬単:9,000円 3連複:6,940円 3連単:55,780円",,,,,,,,,,,,"馬単:3,910円 3連複:6,440円 3連単:31,330円",,,,,,,,,,,,,,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
