12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 9,Ｌボｰルドタイド, 30,山崎亮, 2.3, 40, -11,  -9,15,435.7, ⑮⑬,12, 5, フクノカストル,---,岩部純, 5.2, 39,  -5, -22,14,120.0,②⑩⑫,12, 7,Ｈキｰプインタッチ, 65,北村宏, 0.9, 64,   3,  -2,12, 73.9,⑩⑪⑩,12, 1,Ｎロｰズキングダム, 84,岩田康, 1.7, 84,  19, -15,13, 51.6,③③⑤
13, 4,Ｃティアップベリｰ, 54,蛯名正, 2.4, 42,*  3, -23, 5, 16.7, ①①,13,10, オシダシ,---,武士沢, 5.4, 39,  -6, -22, 8, 24.7,⑫⑫⑪,13,13,Ｌモンテエベレスト, 57,柴田善, 1.8, 55,   6, -19, 6,  9.3,⑥⑥⑨,13, 8,Ｉトレイルブレイザｰ, 89,武豊  , 2.3, 80,  18, -17, 9, 27.4,⑪⑫⑫
14, 8,Ｎマトリカリア, 24,津村明, 2.6, 37, -14,  -9,13,305.0, ⑯⑯,14, 7, カミノエンジェル,---,丸田恭, 5.5, 37, -10, -17,11, 76.3,⑩⑬⑬,,,,,,,,,,,,,14,12,Ｋオウケンブルｰスリ, 88,田辺裕, 2.5, 79,  18, -19,15,116.6,⑭⑬⑯
15,16,Ｐカワキタフラッシュ, -6,武士沢, 3.9, 27,  -9, -25,14,330.9, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｐネヴァブション, 83,田中勝, 2.6, 78,  17, -18,16,144.1,⑮⑯⑮
16,14,Ｏトレッドオンエアｰ, 22,丸山元, 4.0, 27,  -1, -33,11,121.4, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｏトゥザグロｰリｰ, 84,蛯名正, 4.2, 69,  19, -48,11, 29.6,⑩⑨⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:95 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:2),,,,,,,,,,,
単勝:760円 複勝:15=170円 10=110円 11=120円 枠連:760円,,,,,,,,,,,,単勝:370円 複勝:03=160円 11=390円 14=360円 枠連:880円,,,,,,,,,,,,"単勝:1,740円 複勝:01=520円 11=830円 05=220円 枠連:4,850円",,,,,,,,,,,,"単勝:270円 複勝:13=130円 06=530円 09=140円 枠連:3,350円",,,,,,,,,,,
馬連:690円 ワイド:10-15=240円 11-15=380円 10-11=140円,,,,,,,,,,,,"馬連:2,170円 ワイド:03-11=950円 03-14=1,040円 11-14=1,810円",,,,,,,,,,,,"馬連:28,380円 ワイド:01-11=6,010円 01-05=1,230円 05-11=2,530円",,,,,,,,,,,,"馬連:3,730円 ワイド:06-13=1,250円 09-13=240円 06-09=1,360円",,,,,,,,,,,
