12年 7月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1900m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御嶽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａタイセイドリｰム, 53,小牧太,, 51,   3,*-12, 1,  1.7,⑥⑥⑥, 1,10,Ａブｰドゥｰロア, 69,藤岡康,,,,, 2,  3.0,②②②, 1,14,Ｎコスモオアシス, 50,和田竜,, 66,  -6,*  0,11, 56.7,②③④, 1, 4,Ａナムラビクタｰ, 85,和田竜,, 80,*  9,*  9, 2,  3.0,④③③
 2, 8,Ｄニシノアプレゲｰル, 41,和田竜, 0.1, 50,   3,*-13, 2,  3.8,⑧⑤⑤, 2,16,Ｆプレミアクラウン, 61,和田竜, 0.0,,,, 1,  2.0,③③④, 2, 7,Ｅウォｰタｰボルカノ, 60,芹沢純, 0.2, 61,  -6,  -2,10, 34.0,⑦⑦⑦, 2,11,Ｄキャッツインブｰツ, 83,岡部誠, 0.6, 77,   6,*  9,12, 77.1,⑬⑩⑨
 3, 5,Ｇラシｰマ, 39,浜中俊, 0.2, 47,*  5, -18, 3,  6.1,④④④, 3, 8,Ｊヒカリサｰベル, 53,熊沢重, 0.8,,,, 6, 36.3,①①①, 3, 8,Ｏツルマルナルト, 46,小牧太, 0.2, 63,  -6,* -1, 5,  8.5,⑧⑧⑧, 3,16,Ｅアグネスハイヤｰ, 82,鮫島良, 0.9, 78,   6,*  8,10, 72.4,⑭⑭⑪
 4,12,Ｊテイエムレオネッサ, 37,野元昭, 0.9, 39,   1, -22,12,187.3,⑩⑪⑪, 4,15,Ｃヒシサイクロン, 65,小坂忠, 1.1,,,, 5, 13.4,⑬⑪⑪, 4,10,Ｆバｰニングジｰル, 59,国分優, 0.2, 65,  -7,*  3, 8, 23.7,⑪⑫⑫, 4, 1,Ｈダｰトムｰア, 79,藤岡康, 0.9, 76,   7,   4, 6, 23.7,⑦⑧⑦
 5,11,Ｅウインアルカディア, 41,幸英明, 0.9, 40,   3, -25, 4, 14.9,⑦⑦⑦, 5, 9,Ｅベルウッドハピネス, 61,太宰啓, 1.2,,,, 7, 51.2,⑤⑤③, 5, 2,Ｃベネフィットユｰ, 62,高倉稜, 0.4, 61,  -7,  -2, 3,  6.1,⑨⑨⑨, 5, 7,Ｊバトルドンジョン, 78,国分恭, 0.9, 74,* 10,  -1, 9, 49.5,②②②
 6, 4,Ｈシゲルオリオンザ, 39,国分優, 1.0, 39,   1, -23, 9, 93.1,⑤⑧⑩, 6,13,Ｂタマモライオン, 69,藤懸貴, 1.6,,,, 4, 11.2,⑩⑧⑨, 6,11,Ａダイシンハンタｰ, 65,北村友, 0.5, 59,  -8,  -3, 4,  6.8,⑩⑩⑩, 6,13,Ｌカピオラニパレス, 78,北村友, 1.1, 74,   8,   0, 4,  9.1,⑥⑤⑤
 7, 7,Ｂブライダルドレス, 42,北村友, 1.2, 36,   1, -26, 5, 20.3,⑪⑩⑨, 7, 6,Ｄメイショウシンペイ, 62,水口優, 1.7,,,, 8, 55.6,⑦⑦⑥, 7, 4,Ｂコパノウェルス, 63,藤懸貴, 0.6, 56,  -6,  -8, 7, 18.9,⑥⑥⑥, 7, 8,Ｋボｰカリスト, 78,渡辺薫, 1.2, 76,   7,   1,13, 83.7,⑨⑥⑥
 8, 1,Ｃコウエイタｰボ, 42,太宰啓, 1.4, 33,*  6, -38, 7, 48.9,③①①, 8, 4,Ｍアシタハドッチダ, 51,岡部誠, 1.8,,,,15,190.6,⑫⑫⑫, 8,15,Ｋスナｰクデュラン, 52,渡辺薫, 1.1, 48,* -5, -19,12, 69.3,③②②, 8,15,Ｂエｰシンスピｰダｰ, 83,太宰啓, 1.3, 72,*  9,  -3, 1,  2.5,③④④
