12年 8月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｈマイネエビｰタ, 39,中井裕,, 49,  -4,*-12, 5, 30.2, ⑦⑥, 1,10, ディアプリンシパル,,北沢伸,,,,, 4,  8.1,⑦④④, 1,18,Ｇマコトヴィルッキオ, 60,藤岡康,, 64,  -1,*  4, 4,  5.8, ⑨⑩, 1, 5,Ａアイラブリリ, 77,松山弘,, 82,*  3,* 17, 1,  1.8, ①①
 2, 8,Ｂラシｰマ, 57,浜中俊, 0.0, 49,  -6,*-11, 1,  1.3, ⑧③, 2,11, トウショウデザイア,,白浜雄,191.8,,,, 2,  3.2,①①①, 2, 1,Ｅビュｰティサフラン, 61,北村友, 0.2, 64,*  8,  -8, 7, 15.5, ①①, 2, 2,Ｂアンプレシオネ, 75,幸英明, 0.7, 74,   0,  10, 4, 10.6, ⑤③
 3, 3,Ｃコウエイタｰボ, 55,松山弘, 0.4, 46,   4, -25, 2,  5.5, ③④, 3, 2, トウシンボルト,,中村将,192.0,,,, 3,  5.6,⑥③③, 3, 3,Ｄテストマッチ, 61,浜中俊, 0.4, 59,   1,  -4, 3,  5.3, ⑥⑥, 3, 6,Ｆメイショウロｰラン, 71,飯田祐, 1.0, 70,  -5,  12, 5, 14.4, ⑧⑧
 4, 1,Ａメイショウダル, 58,酒井学, 0.5, 48,*  7, -29, 6, 41.1, ①①, 4, 6, エイユｰブラッサム,,今村康,192.5,,,,11,102.3,⑧②②, 4, 4,Ｎフォレストピア, 44,中井裕, 0.5, 56,  -3,  -2,12, 63.8, ⑪⑨, 4,11,Ｃカシノインカロｰズ, 75,渡辺薫, 1.0, 70,  -9,* 15, 7, 18.3, ⑪⑪
 5, 6,Ｉシゲルウオザ, 35,国分恭, 0.7, 40,  -7, -19, 8, 63.2, ⑨⑧, 5, 9, モズハリケｰン,,林満明,193.6,,,, 5,  8.8,④⑤⑤, 5,14,Ｍサムライタム, 46,森一馬, 0.5, 56,  -3,  -2,13,117.0, ⑫⑬, 5,10,Ｉハノハノ, 67,酒井学, 1.0, 70,*  2,   5, 2,  4.6, ④⑤
 6, 2,Ｄマルトクスパｰト, 48,国分優, 0.9, 41,*  6, -33, 3,  8.1, ②②, 6, 5, シャイニｰブラック,,熊沢重,194.0,,,, 6, 13.9,②⑥⑥, 6,16,Ｋエスジｰアンクル, 51,国分優, 0.6, 57,   1,  -7, 9, 20.7, ⑧⑧, 6, 9,Ｅジｰクジオン, 73,川須栄, 1.1, 68,  -1,   6, 6, 17.2, ⑦⑦
 7, 4,Ｆニホンピロチャｰジ, 41,幸英明, 1.1, 38,   0, -30, 4, 15.7, ④⑤, 7, 1, サンレイランキング,,難波剛,194.2,,,,10, 82.1,⑨⑦⑦, 7, 9,Ａスリｰネイチャｰ, 67,水口優, 0.7, 55,   1,  -8, 2,  4.6, ⑦⑦, 7, 7,Ｊリッカコウユウ, 65,国分恭, 1.1, 69,  -3,   8,11,152.8, ⑥⑥
 8, 5,Ｅカシノパシオン, 42,渡辺薫, 1.4, 32,   1, -36, 9, 82.8, ⑤⑦,,,,,,,,,,,,, 8, 5,Ｈニホンピロシトリン, 57,熊沢重, 0.7, 57,   3,  -9,11, 50.7, ④③, 8, 4,Ｌマナウス, 57,小牧太, 1.2, 68, -10,  13, 9, 76.8, ⑩⑩
 9, 9,Ｇトウショウタイド, 40,藤懸貴, 1.8, 27,  -2, -39, 7, 47.4, ⑥⑨,,,,,,,,,,,,, 9, 7,Ｊパンツァｰリｰト, 51,藤懸貴, 0.8, 55,*  5, -14,10, 49.3, ③②, 9, 8,Ｈドリｰムフォワｰド, 69,川田将, 1.2, 68,*  2,   3, 3,  7.9, ③④
,,,,,,,,,,,,,,,,,,,,,,,,10,15,Ｐメッセｰジ, 41,真島正, 0.8, 51, -11,   2,17,323.0, ⑮⑮,10,12,Ｇタニノスバル, 71,高倉稜, 1.3, 66,  -7,   9,10, 87.9, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,11,10,Ｑラブイズフジ, 23,幸英明, 0.9, 54,   4, -14,15,253.2, ⑤⑤,11, 3,Ｋダブルレインボｰ, 63,藤岡康, 1.5, 63,*  1,  -2, 8, 28.3, ②②
,,,,,,,,,,,,,,,,,,,,,,,,11,12,Ｂシゲルアンズ, 63,松山弘, 0.9, 49, -11,   1, 5,  8.0, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 8, マヤノヴィｰラ,---,川須栄, 1.1, 48, -20,*  8,14,231.8, ⑰⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,17,Ｃウォｰタｰナポリ, 61,武幸四, 1.2, 49,  -1, -12, 8, 18.9, ⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｆニホンピロルノン, 60,酒井学, 1.3, 46,  -4, -11, 6, 12.4, ⑬⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｉスリｰベルクイン, 52,花田大, 1.5, 44, -18,   2,16,306.1, ⑯⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｌエｰシンクアトロ, 49,川田将, 1.8, 42,*  5, -27, 1,  4.4, ②④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,
"単勝:3,020円 複勝:07=440円 08=110円 03=140円 枠連:1,080円",,,,,,,,,,,,"単勝:810円 複勝:10=300円 11=170円 02=170円 枠連:1,150円",,,,,,,,,,,,"単勝:580円 複勝:18=200円 01=450円 03=200円 枠連:2,050円",,,,,,,,,,,,単勝:180円 複勝:05=110円 02=220円 06=230円 枠連:630円,,,,,,,,,,,
