12年12月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｱｸｱﾗｲﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｍグラスミッション, 40,木幡初,, 57,   3,  -7,10, 46.2, ⑤⑤, 1, 4, カワキタシャウト,---,田中勝,, 59, -10,*  6, 4, 15.1, ⑦⑥, 1,14,Ｈダッシャｰワン, 72,内田博,, 83,   8,* 12, 2,  5.2, ⑦⑦, 1, 4,Ｍエクセルシオｰル, 72,田中勝,, 77,* 15,   9, 3,  6.4, ①①
 2,10,Ａメイショウトラクマ, 65,蛯名正, 0.0, 55,  -3,  -2, 2,  3.8, ⑫⑫, 2,12, ドラゴンブラック,---,ムｰア, 0.0, 60,* -2,  -1, 1,  1.9, ②②, 2, 2,Ｋケビンドゥ, 71,吉田豊, 0.2, 82,* 14,   5,11, 74.0, ①①, 2, 5,Ａサダムグランジュテ, 87,内田博, 0.0, 77,   1,* 21, 2,  5.7, ⑬⑬
 3,11,Ｅキャビンクルｰ, 56,大庭和, 0.1, 56,  -3,  -2, 6, 16.9, ⑪⑨, 3, 1, スノｰモンキｰ,---,内田博, 0.3, 57, -14,*  8, 7, 18.6, ⑧⑧, 3, 7,Ａスノｰドラゴン, 85,蛯名正, 0.2, 82,  10,   8, 1,  1.5, ⑤③, 3,14,Ｂタマブラックホｰル, 86,石橋脩, 0.0, 77,  -4,* 26, 4,  6.8, ⑮⑮
 4, 7,Ｇホワイトコｰヒｰ, 50,北村宏, 0.2, 55,   1,  -7, 8, 24.9, ⑥⑥, 4, 9, ライングラン,---,嶋田純, 1.2, 49, -16,   1,14,150.3, ⑪⑩, 4,16,Ｉトレボｰネ, 71,ムｰア, 0.9, 76,   9,   4, 5, 22.2, ⑥⑥, 4, 3,Ｃカフェシュプリｰム, 85,柴田善, 0.2, 75,  10,  12, 1,  2.5, ⑤④
 5, 2,Ｄトドロック, 57,柴田善, 0.2, 56,*  5, -12, 1,  2.6, ①①, 5,16, オレンジフレア,---,江田照, 1.2, 51,  -5,  -7,11, 42.5, ③⑤, 5,15,Ｃノボピュアリティ, 77,嶋田純, 1.0, 74,* 13,  -1, 4, 20.9, ②②, 5, 8,Ｆケイアイダイオウ, 82,大野拓, 0.2, 75,   7,  14, 7, 19.3, ⑧⑧
 6,16,Ｈクイックスパイダｰ, 50,岩部純, 0.2, 52, -10,*  2, 7, 17.1, ⑮⑮, 6,11, ティアップドリｰム,---,村田一, 1.4, 47,  -8,  -8, 5, 15.3, ④③, 6, 3,Ｆハワイアンシュガｰ, 73,岩部純, 1.0, 75,  -6,* 17, 8, 26.5, ⑯⑯, 6,15,Ｄオリオンザポラリス, 84,田辺裕, 0.4, 74,   4,  15, 6, 11.2, ⑩⑩
 7,14,Ｊカラダドリｰム, 42,武士沢, 0.4, 53,   0,  -8, 5, 15.9, ⑨⑦, 7,13, ケｰジｰササニシキ,---,吉田豊, 1.6, 45, -19,   0, 2,  4.4, ⑬⑫, 7,12,Ｄヴェイグストｰリｰ, 76,村田一, 1.0, 74,   3,   7, 7, 24.7, ⑪⑩, 7,11,Ｇノボレインボｰ, 82,嶋田純, 0.6, 71,  -2,  19,10, 56.1, ⑭⑭
 8,13,Ｆヨイチピｰス, 53,江田照, 0.5, 50,  -6,  -4, 9, 26.4, ⑬⑬, 8, 8, ロックフォｰド,---,上野翔, 1.7, 44,  -8, -11,13,102.2, ⑤④, 8,10,Ｅキングスリｰジョン, 74,柴田善, 1.1, 73,  -2,* 12, 9, 41.8, ⑭⑭, 8, 6,Ｊカフェレジェンド, 78,松岡正, 0.6, 71,   2,  15,14,108.0, ⑫⑫
 9, 9,Ｉエイダイシアトル, 43,上野翔, 0.7, 53,*  4, -14,14,136.6, ④④, 9, 6, ナムラタンタン,---,田辺裕, 1.8, 45, -10,  -9,12, 86.8, ⑥⑦, 9,13,Ｌシャイニイチカ, 71,木幡初, 1.2, 73,  -2,  11,14,246.7, ⑬⑬, 9,12,Ｈフリｰトアロｰ, 81,北村宏, 0.9, 69,* 12,   4, 9, 24.0, ②②
10, 8,Ｂディアストライカｰ, 57,内田博, 1.0, 49,*  3, -17, 3,  6.9, ③③,10, 5, ブロｰクンハｰト,---,木幡初, 1.8, 43,* -3, -17,10, 41.5, ①①,10,11,Ｂタニセンジャッキｰ, 80,江田照, 1.4, 71,   3,   4, 3,  9.4, ⑩⑫,10,13,Ｅサクラインザスカイ, 83,蛯名正, 0.9, 70,   9,   7, 5, 11.1, ⑥⑤
11, 5,Ｎマルヨコマキ, 32,吉田豊, 1.1, 45, -15,*  0,16,300.9, ⑯⑯,11,14, トップギャル,---,津村明, 2.4, 39, -15, -11, 9, 27.9, ⑩⑪,11, 8,Ｇコランダム, 72,大庭和, 1.4, 71,   4,   3,10, 65.5, ⑧⑧,11, 9,Ｉハンマｰプライス, 81,木幡初, 1.0, 68,   7,   7,12, 92.6, ⑨⑨
12, 3,Ｃセンラン, 57,松岡正, 1.2, 44,  -4, -12, 4,  7.4, ⑩⑪,12, 3, ムｰンスケイプ,---,北村宏, 2.4, 38, -15, -11, 3, 12.1, ⑨⑨,12, 5,Ｊゲｰリックストｰム, 71,田辺裕, 1.8, 67,  11,  -6, 6, 23.9, ③④,12, 1,Ｌスマｰトキャスタｰ, 77,三浦皇, 1.2, 66,   2,  10,11, 81.6, ⑪⑪
13, 1,Ｌアインディアマント, 41,川島信, 1.2, 46,  -1, -15,12,113.6, ⑧⑧,13,15, ハピネスサウンド,---,三浦皇, 2.5, 37, -19,  -7, 8, 21.7, ⑫⑬,13, 4,Ｎフレンチミシル, 69,津村明, 1.8, 68,   4,   0,15,320.2, ⑨⑨,13, 7,Ｎチャンピオンヤマト, 63,吉田豊, 1.3, 66,   7,   5, 8, 22.6, ⑦⑦
