12年 9月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｾﾌﾟﾃﾝﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂモンマックス, 53,岩部純,, 52,* -1,  -7, 1,  1.7, ②②, 1,12,Ｂダンシングハバナ, 70,内田博,, 71,  -1,*  6, 3,  5.3,⑫⑭⑫, 1, 3,Ａオメガフレグランス, 74,蛯名正,, 78,*  5,* 16, 1,  1.6,⑧③③, 1,10,Ｃニシノステディｰ, 81,大野拓,, 85,   0,  17, 4,  7.3, ⑧⑧
 2,14,Ｃマプティット, 53,三浦皇, 0.2, 50, -15,*  5, 4,  9.1, ⑨⑨, 2,16,Ｃプルミエデマンシュ, 69,北村宏, 0.2, 68,   2,  -3, 1,  2.6,⑩⑦⑤, 2, 8,Ｃケイジｰシオン, 70,石橋脩, 0.3, 75,*  6,* 12, 2,  5.6,②②①, 2, 6,Ｈブルｰムｰンピサ, 74,三浦皇, 0.1, 83,   4,  11, 5, 12.3, ④②
 3, 8,Ｌコスモサウタｰル, 28,柴田大, 0.2, 50,  -4,  -6, 5, 14.8, ③③, 3, 8,Ａサトノエンデバｰ, 70,田中勝, 0.4, 67,  -1,*  2, 5, 14.5,⑮⑮⑯, 3, 1,Ｂオチャノコサイサイ, 72,菅原隆, 1.5, 68,   2,   9, 7, 29.8,⑩⑫⑨, 3,16,Ｆボストンエンペラｰ, 77,柴田善, 0.1, 86,  -6,* 21, 2,  4.0, ⑬⑫
 4, 7,Ｉダイキチサブロウ, 33,西田雄, 0.3, 48, -10,  -2,10,109.8, ⑥⑤, 4, 6,Ｆマイネルバルドル, 67,柴田大, 0.4, 66,   0,  -3, 4, 11.2,⑧⑨⑧, 4, 5,Ｆオペラフォンテン, 66,丸山元, 1.6, 67,   3,   6, 5, 17.2,⑦⑤⑤, 4,11,Ｂダンスファンタジア, 81,北村宏, 0.1, 85,  -3,* 18, 3,  4.6, ⑪⑪
 5, 6,Ｋヒアルロンサン, 29,嘉藤貴, 0.6, 44,*  0, -15, 8, 37.1, ①①, 5, 7,Ｌカフェディｰン, 60,後藤浩, 0.4, 65,   0,  -3,10, 41.5,⑨⑩⑬, 5, 9,Ｅファｰマジェンヌ, 67,江田照, 1.6, 66,   2,   8, 4, 13.1,⑪⑩⑩, 5, 4,Ｄシルクウェッジ, 79,蛯名正, 0.2, 82,*  9,   5, 1,  3.6, ①①
 6, 2,Ｅアルマダクロス, 43,北村宏, 0.6, 44, -23,*  7, 6, 21.6, ⑫⑫, 6,14,Ｈロｰズフラッシュ, 64,木幡初, 0.4, 64,*  3,  -9, 7, 22.4,③③③, 6, 2,Ｏアルディｰトプリエ, 57,大野拓, 2.0, 62,   4,   0,10, 77.6,③④④, 6, 3,Ｏタｰニングポイント, 68,柴田大, 0.4, 80,  -2,  13, 8, 23.8, ⑨⑨
 7,12,Ａドリｰムサンサン, 56,蛯名正, 0.8, 41,  -4, -14, 2,  6.4, ⑤④, 7, 5,Ｉエムエムロゼオ, 62,嶋田純, 0.5, 65,  -1,  -1,13, 54.9,⑪⑬⑪, 7,10,Ｉリアルファッション, 63,柴田善, 2.3, 62,   3,  -1, 6, 18.1,④⑦⑦, 7, 8,Ｊボｰダレスワｰルド, 73,田辺裕, 0.5, 78,  -1,  10,13,103.8, ⑦⑦
 8,13,Ｆアンジェラスベル, 41,江田照, 1.0, 39, -10, -11, 7, 29.6, ⑦⑦, 8, 4,Ｅテナシティｰ, 68,中舘英, 0.6, 65,   1,  -6, 2,  4.3,⑰⑫⑩, 8,14,Ｇサントワマミｰ, 65,丸田恭, 2.4, 60,   3,   0, 9, 77.5,⑥⑥⑥, 8, 9,Ｌウインバンディエラ, 72,後藤浩, 0.6, 77,  -3,  12,11, 58.2, ⑩⑩
