12年 8月 4日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月 4日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1500m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾛｰﾊﾞｰ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｋディｰエスコマンド, 38,勝浦正,, 49,*  1,* -5, 7, 21.5,②①①, 1, 5,Ｃキングモンブラン, 59,上村洋,, 68,   3,*  5, 2,  4.1,⑤③③, 1, 8,Ｆメイショウフォロｰ, 67,菱田裕,, 68,*  5,   1, 8, 19.5, ②②, 1, 1,Ｂアットウィル, 58,三浦皇,, 67,  -7,*  5, 1,  1.6,④④③
 2,11,Ａヤンキｰソヴリン, 56,宮崎北, 0.3, 46,*  0,  -6, 2,  3.4,③②②, 2, 7,Ｇディアボンボン, 54,勝浦正, 0.2, 65,*  4,*  2,10, 60.2,②②②, 2, 3,Ａキンショｰユウジャ, 74,勝浦正, 0.0, 68,  -3,*  6, 1,  2.3, ⑤④, 2,10, ジェネラルグラント,---,五十嵐, 0.1, 64,* -5,   1, 6, 19.7,②②②
 3,12,Ｄスイングタキオン, 45,藤田伸, 0.4, 48,*  0,  -6, 4,  6.2,④③③, 3,12,Ｂオフショア, 61,三浦皇, 0.8, 62,  -1,*  5, 4,  5.8,⑪⑪⑨, 3,10,Ｄシンボリエクレｰル, 69,川島信, 0.2, 65, -12,* 10, 3,  5.6, ⑪⑪, 3, 9,Ａロゴタイプ, 64,村田一, 0.2, 63,  -6,   2, 2,  6.4,⑤⑤⑤
 4, 5,Ｂアドマイヤコング, 51,池添謙, 0.4, 47,  -1,* -5, 1,  3.3,⑥⑥④, 4, 4,Ｈエクスレジェｰラ, 54,藤岡佑, 1.5, 57,   2,  -5, 7, 25.9,⑦⑥⑤, 4, 9,Ｈサクラティアモ, 67,池添謙, 0.3, 66,   2,   1, 7, 16.8, ③③, 4, 2,Ｆブリリアントアスク, 50,横山典, 0.2, 65,  -7,*  4, 7, 20.3,⑥⑦⑥
 4, 4,Ｍホワイトフリｰト, 25,吉田隼, 0.4, 45,  -3,* -3, 3,  5.1,⑩⑧⑥, 5, 2,Ｊタｰフアクトレス, 47,伊藤工, 1.9, 54,   1,  -8,11,137.0,④⑦⑥, 5, 1,Ｋサクラベッシｰ, 63,黛弘人, 0.6, 60,  -6,   2,11, 95.6, ⑥⑥, 5, 4,Ｄジｰブラック, 52,丸山元, 0.5, 62,  -9,   3, 5, 18.4,⑩⑧⑧
 6, 1,Ｃハブアストロｰル, 48,荻野琢, 1.2, 41,  -5,  -7, 9, 30.7,⑬⑩⑦, 6, 1,Ａマウントゼンノエ, 64,丸田恭, 2.1, 52,  -1,  -4, 1,  2.9,⑬⑫⑦, 6, 2,Ｌジェノア, 59,丸田恭, 0.7, 59, -12,   5,12, 97.5, ⑩⑦, 6, 5, メロディアス,---,吉田稔, 0.7, 59,  -9,   0,10, 55.4,⑧⑨⑨
 7, 3,Ｈスプリングシャトル, 38,小林徹, 1.4, 45,  -5,  -6, 6, 18.2,⑨⑬⑫, 7, 9,Ｆトウカイマルシェ, 57,柴山雄, 2.2, 49,   2, -14, 6, 14.8,⑥④④, 7, 5,Ｊニシノコハク, 65,吉田稔, 0.7, 60,  -6,   1, 6, 15.1, ⑦⑨, 7, 8,Ｇレディｰ, 48,四位洋, 0.7, 61, -11,   3,11, 60.7,⑫⑪⑩
 8,13,Ｆチャｰチル, 40,田面木, 1.6, 39,  -4, -11, 5, 13.3,⑪⑨⑩, 8,13,Ｋナリタアイル, 44,古川吉, 2.4, 49,*  4, -18, 8, 39.7,①①①, 8,11,Ｅフレイヤ, 68,丹内祐, 0.8, 59,  -7,   1,10, 24.6, ⑨⑩, 8, 3, マンボマｰチ,---,桑村真, 0.8, 55,* -4,  -9,13,171.8,①①①
 9, 6,Ｇディアストライカｰ, 39,丸山元, 1.8, 38,  -1, -18,11, 50.7,⑤⑤⑤, 9, 3,Ｅウインバトルシップ, 57,四位洋, 2.7, 49,   0, -14, 3,  4.4,⑨⑨⑧, 9,12,Ｂキタサンハヤブサ, 74,三浦皇, 0.9, 58,  -1,  -3, 2,  4.7, ④⑤, 9, 6, クラグオｰ,---,宮崎光, 0.9, 54,  -7,  -7, 9, 36.9,⑦⑥⑦
10, 9,Ｊゴｰソッキュｰ, 38,古川吉, 2.6, 31,  -5, -17,10, 33.7,⑫⑫⑪,10,10,Ｄシアンナ, 57,吉田隼, 2.9, 45,  -3, -11, 5, 12.1,⑫⑬⑬,10, 7,Ｉゲｰリックストｰム, 66,五十嵐, 1.0, 59,*  5,  -8, 9, 19.8, ①①,10,11,Ｉミｰタロｰ, 44,服部茂, 1.1, 55, -13,   0,12,166.2,⑪⑫⑪
11, 2,Ｅヒカルフェアリｰ, 40,秋山真, 2.8, 31,  -3, -22, 8, 30.3,⑦⑦⑨,11, 8,Ｍカｰラ, 41,的場勇, 2.9, 51,   0, -14,13,215.0,⑧⑧⑩,11, 6,Ｇキクノベリｰタ, 67,藤岡佑, 1.0, 58,  -8,   1, 5, 14.0, ⑧⑧,11,13,Ｅエクスパｰシヴ, 52,吉田隼, 1.4, 50, -10,  -8, 4, 15.3,⑨⑩⑫
12,10,Ｉプリティｰキャロル, 38,黛弘人, 4.4, 19,  -1, -39,12,184.7,①④⑧,12,11,Ｌベレスプリ, 43,横山和, 4.0, 39,   1, -27,12,197.5,③⑤⑪,12, 4,Ｃエムケｰジャック, 72,吉田隼, 1.8, 47, -17,  -1, 4, 13.4, ⑫⑫,12,12,Ｃタガノハピネス, 53,松田大, 1.7, 45,* -5, -19, 8, 27.9,③③④
13, 7,Ｌクライバｰ, 29,菱田裕, 4.8, 18,  -5, -36,13,290.2,⑧⑪⑬,13, 6,Ｉサクセスベルｰナ, 47,津村明, 4.0, 39,  -1, -23, 9, 49.2,⑩⑩⑫,,,,,,,,,,,,,13, 7,Ｈマイネルイルソｰレ, 45,丹内祐, 2.2, 41, -13, -15, 3,  7.8,⑬⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,
"単勝:2,150円 複勝:08=480円 11=150円 12=210円 枠連:2,800円",,,,,,,,,,,,"単勝:410円 複勝:05=160円 07=850円 12=180円 枠連:3,960円",,,,,,,,,,,,"単勝:1,950円 複勝:08=450円 03=130円 10=220円 枠連:1,290円",,,,,,,,,,,,"単勝:160円 複勝:01=110円 10=360円 09=170円 枠連:1,550円",,,,,,,,,,,
"馬連:4,140円 ワイド:08-11=1,000円 08-12=2,410円 11-12=500円",,,,,,,,,,,,"馬連:7,190円 ワイド:05-07=2,310円 05-12=360円 07-12=2,680円",,,,,,,,,,,,"馬連:1,940円 ワイド:03-08=810円 08-10=2,290円 03-10=360円",,,,,,,,,,,,"馬連:1,750円 ワイド:01-10=650円 01-09=250円 09-10=1,220円",,,,,,,,,,,
"馬単:11,250円 3連複:9,250円 3連単:69,860円",,,,,,,,,,,,"馬単:10,200円 3連複:8,330円 3連単:45,470円",,,,,,,,,,,,"馬単:5,010円 3連複:5,120円 3連単:41,310円",,,,,,,,,,,,"馬単:2,290円 3連複:2,080円 3連単:9,600円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1500m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝2600m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,札幌日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
