12年10月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,桂川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａゴｰルドチェイス, 62,内田博,, 60,*  7, -13, 1,  2.0, ②②, 1, 6, エｰシンサミット,---,岩田康,, 63,* -6,*  4, 1,  2.1, ①①, 1,10,Ａナガラオリオン, 83,国分優,, 85,  10,* 11, 1,  2.5, ⑥⑥, 1, 2,Ｄアイラブリリ, 78,幸英明,, 79,*  0,   6, 1,  3.5, ①①
 2,10,Ｂアルボナンザ, 58,四位洋, 0.3, 57,   3,*-11, 2,  4.1, ⑥⑤, 2,10, ミリアグラシア,---,福永祐, 0.4, 60,  -9,*  4, 3,  5.8, ⑤③, 2,14,Ｅホクセツキングオｰ, 81,福永祐, 0.1, 85,* 13,   6, 8, 24.5, ①①, 2, 9,Ａボストンエンペラｰ, 83,太宰啓, 0.1, 77,* -1,   6, 5,  9.5, ②②
 3, 4,Ｃアサケゴマ, 51,幸英明, 0.4, 56,   5, -14, 3,  6.3, ③③, 3, 7, ジャガｰバロｰズ,---,内田博, 0.7, 57, -12,*  4, 2,  5.0, ⑦⑤, 3, 8,Ｆタガノジョイナｰ, 78,岩田康, 0.5, 78,   2,* 15, 3,  7.0, ⑭⑬, 3, 1,Ｇサクラアドニス, 75,松岡正, 0.2, 77,  -4,   7, 6,  9.7, ③③
 4, 7,Ｄエｰシンウェンディ, 48,松岡正, 0.6, 52,   0,* -9, 5, 13.9, ⑩⑧, 4, 1, メイショウユウヤケ,---,国分恭, 1.4, 52,* -7,  -6, 6, 22.4, ②②, 4,16,Ｂアマノレインジャｰ, 81,幸英明, 0.6, 80,  10,   6, 6, 15.7, ⑦⑦, 4, 4,Ｉオｰルブランニュｰ, 73,小牧太, 0.2, 78, -12,* 15, 8, 25.3, ⑨⑨
 5, 2,Ｈジュｰヌフルｰル, 44,三浦皇, 0.6, 53,   2, -13, 7, 32.2, ⑦⑥, 5, 5, ロデム,---,松岡正, 1.4, 50,  -8,  -6, 4,  7.2, ③④, 5,11,Ｃエンジョイタイム, 81,浜中俊, 0.8, 79,* 13,   1, 4,  8.3, ②②, 5, 7,Ｆニンジャ, 77,デムｰ, 0.3, 75,  -8,  10, 7, 11.8, ⑦⑦
 6, 6,Ｅペプチドアメジスト, 47,小牧太, 1.4, 47,   0, -16, 8, 37.3, ⑧⑨, 6, 3, ハヤブサユウサン,---,吉田隼, 2.8, 37, -17,  -9,10, 49.4, ⑨⑨, 6, 3,Ｉビタｰスウィｰト, 76,高倉稜, 0.9, 77,   6,   8, 9, 52.7, ⑪⑫, 6, 6,Ｋサリエル, 71,三浦皇, 0.5, 74, -14,* 12,11, 79.7, ⑩⑩
 7, 8,Ｆジョウショｰレディ, 47,国分恭, 2.2, 41,  -3, -19,10, 99.3, ⑪⑪, 7, 2, タガノトレフル,---,佐藤哲, 2.9, 39, -18,  -9, 8, 27.5, ⑩⑩, 7, 6,Ｊアｰトオブビｰン, 76,秋山真, 1.3, 74,   9,   1,13,120.2, ⑨⑧, 7,11,Ｅアｰスソニック, 77,佐藤哲, 0.6, 70,  -3,   0, 2,  3.8, ④④
 8, 5,Ｇグッバイタキオン, 45,福永祐, 2.3, 40,   0, -24, 4,  6.6, ⑨⑩, 8,11, テオドラ,---,武幸四, 3.6, 34, -10, -23, 9, 47.1, ④⑥, 8, 2,Ｎキクノレジｰナ, 71,川田将, 1.4, 72,   5,   4,15,171.0, ⑫⑪, 8, 3,Ｊエトピリカ, 72,福永祐, 0.6, 71,  -5,   3, 9, 35.9, ⑤⑤
