12年 3月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａメビュｰスラブ, 67,田中勝,, 54,  -4,*  3, 3,  4.3,④⑤⑤, 1, 1, グレイドケイ,,石神深,,,,, 1,  1.9,①①①, 1, 9,Ｅサウスパシフィック, 68,蛯名正,, 72,*  2,*  8, 3,  4.7,②②②, 1, 1,Ｂサトノタイガｰ, 87,的場勇,, 85,   8,  14, 1,  3.6,②②②
 2, 2,Ｃレットイットスノｰ, 63,蛯名正, 0.0, 58,  -3,*  2, 2,  3.9,⑦⑥⑥, 2, 9, メジロサンノウ,,大江原,197.1,,,, 4,  8.5,③②②, 2, 8,Ｂシュガｰヒル, 74,北村宏, 0.2, 70,*  2,   7, 2,  2.5,①①①, 2, 3,Ｈナムラオウドウ, 79,池添謙, 0.0, 85,   6,* 17, 8, 35.6,⑤③③
 3,14,Ｂセイカフォルトゥナ, 63,石橋脩, 0.1, 56,* -3,  -1, 1,  3.6,①①①, 3, 2, シャトルベクタｰ,,鈴木慶,199.6,,,, 9, 75.8,⑤⑥③, 3, 6,Ａイッシンドウタイ, 78,川田将, 0.3, 71,  -1,* 11, 4, 12.5,⑦⑤⑤, 3,11,Ｅタムロスカイ, 83,内田博, 0.2, 83,   7,  12, 3,  4.8,④⑤⑤
 4, 9,Ｉマリｰアルｰア, 48,北村宏, 0.3, 54,  -3,  -1, 9, 94.8,②④③, 4,10, アカウンタビリティ,,山本康,200.5,,,, 8, 53.6,⑥④⑤, 4, 4,Ｃピグマリオン, 71,川須栄, 0.6, 69,   0,   7, 1,  2.4,④④④, 4,10,Ｊニシノメイゲツ, 75,北村宏, 0.2, 85,   5,* 17, 6, 23.2,⑧⑧⑥
 5,11,Ｅコウギョウグリン, 60,武士沢, 0.4, 57,  -5,*  2, 5, 12.8,⑨⑧⑧, 5,13, ボタニカルアｰト,,横山義,200.7,,,, 3,  6.6,④③④, 5, 2, パンタレイ,---,田辺裕, 0.6, 68,   0,   6, 5, 25.2,③③③, 5, 6,Ｄチュウワプリンス, 84,川田将, 0.4, 82,   8,  10, 7, 30.9,③④④
 6,15,Ｍダンスオンザルｰフ, 36,川須栄, 0.4, 55,* -2,  -3, 4,  5.0,⑤③②, 6,14, フォレストリｰダｰ,,五十嵐,203.9,,,, 5, 17.6,⑦⑦⑦, 6, 1,Ｉディアワイズマン, 54,三浦皇, 1.2, 65,  -1,   2, 9, 51.3,⑤⑥⑥, 6, 7,Ａアロマカフェ, 87,田中勝, 0.5, 80,   6,  11, 5,  5.5,⑥⑥⑦
 7, 1,Ｋヤマニンパニエ, 46,丸山元, 0.8, 53,  -5,  -2, 8, 20.7,⑧⑦⑦, 7, 4, メジロテンニョ,,高嶋活,204.2,,,,10,114.4,⑪⑩⑨, 7, 7,Ｈシンボリスウィフト, 59,木幡初, 1.7, 61,  -2,   1, 6, 43.3,⑧⑦⑦, 7, 9,Ｇマコトギャラクシｰ, 82,三浦皇, 0.5, 82,   4,  15, 4,  5.1,⑪⑪⑪
 8, 3,Ｄベルモントピｰス, 60,石神深, 1.0, 51,  -6,  -1, 6, 18.0,⑪⑪⑨, 8, 6, パラダイムシフト,,穂苅寿,206.8,,,, 2,  3.6,②⑤⑥, 8, 5,Ｇクレバｰバラｰド, 60,後藤浩, 2.7, 54,  -2,  -8, 8, 46.8,⑪⑨⑧, 8, 8,Ｃケニアブラック, 84,蛯名正, 0.6, 80,   6,  10, 2,  3.9,⑦⑦⑧
