12年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳴滝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｋマｰクスマン, 29,武幸四,, 63,  -5,*  3, 8, 21.2, ⑦⑦, 1, 1, ナリタトルネｰド,,白浜雄,,,,, 1,  1.8,②②②, 1,10,Ａフォントルロイ, 76,佐藤哲,, 69,   1,* 10, 1,  2.1,⑨⑨⑨, 1, 3,Ｇエアソミュｰル, 74,武豊  ,, 81,   4,* 13, 1,  2.2,③③③
 2,10,Ｌテイエムチカラ,-73,熊沢重, 0.2, 62,   1,  -5,10, 67.3, ⑤④, 2,12, シゲルメロン,,田村太,198.4,,,,14,171.4,④④④, 2, 3,Ｄシルクラングレｰ, 73,竹之下, 0.0, 68,   3,   7, 2,  3.8,⑤⑥⑤, 2, 8,Ｄダノンマックイン, 76,小牧太, 0.3, 78,*  6,   6, 3,  6.0,②②②
 3, 3,Ｆハギノグラミｰ, 44,小牧太, 0.3, 58,  -6,*  2, 7, 15.6, ⑧⑧, 3, 8, メイショウタクミ,,森一馬,198.4,,,,10, 88.1,⑧⑥⑤, 3, 9,Ｃマルティニｰク, 73,福永祐, 0.0, 69,   2,   8, 7, 25.4,⑦⑦⑥, 3, 2,Ｅコウエイオトメ, 75,池添謙, 0.3, 79,   3,* 13, 2,  4.4,⑦⑥④
 4, 8,Ａマルトクスパｰト, 60,幸英明, 0.6, 59,*  5, -12, 3,  4.7, ①①, 4,13, カシノチャｰム,,難波剛,198.7,,,, 9, 71.0,③③③, 4, 5,Ｇマンハッタンコｰド, 69,浜中俊, 0.1, 69,   2,   8, 4,  7.0,⑧⑧⑦, 4, 7,Ｆマッキｰバッハ, 75,幸英明, 0.5, 79,   3,  10, 6, 16.7,⑤⑤⑤
 5, 9,Ｃミッキｰマンデｰ, 58,浜中俊, 0.7, 57,   2, -10, 2,  4.3, ③③, 5, 7, シャコｰムサシ,,高野和,198.9,,,, 5, 16.3,⑤⑦⑦, 5, 1,Ｅシルクコスモス, 72,幸英明, 0.3, 67,   4,   4, 6, 22.3,⑥⑤③, 5,10,Ｉミヤコトップガン, 71,四位洋, 0.7, 77,   2,  12, 9, 38.2,⑨⑩⑨
 6, 1,Ｂサンライズネガノ, 59,川田将, 0.7, 56,   1,  -9, 1,  3.7, ④⑤, 6, 9, コアヨカ,,五十嵐,198.9,,,, 8, 39.9,①①①, 6, 8,Ｆゴｰルドジェｰン, 70,池添謙, 0.5, 65,*  4,   1, 8, 45.8,②②②, 6, 1,Ｂカネトシパサｰジュ, 77,川田将, 0.8, 74,   3,   3, 5, 12.3,⑩④⑥
 7,11,Ｅスズカアルファ, 45,国分優, 0.7, 55,  -3,  -4, 6, 10.6, ⑥⑥, 7, 6, カゼカオル,,北沢伸,199.4,,,, 4, 11.6,⑨⑨⑨, 7, 6,Ｂセトノハリケｰン, 75,国分恭, 0.5, 66,   1,   7, 5, 17.8,⑩⑩⑩, 7, 5,Ｃロｰレルクラシック, 77,和田竜, 1.1, 72,   2,   4, 7, 19.8,⑧⑨⑩
 8,12,Ｄミニ, 57,川須栄, 1.0, 56,*  4, -14, 4,  6.9, ②②, 8, 3, アスタｰコリント,,林満明,199.8,,,, 6, 18.2,⑦⑧⑧, 8, 4,Ｉモンサンミｰティア, 64,和田竜, 1.1, 61,*  5,  -5, 3,  5.2,①①①, 8, 4,Ｊヤマニンアｰマｰ, 70,浜中俊, 1.4, 66,*  6, -10, 4,  9.1,①①①
 9, 7,Ｊキュウシュウソダチ, 37,和田竜, 1.3, 49, -10,  -3,12,165.5, ⑪⑪, 9,10, カシノデュｰク,,今村康,200.8,,,,13,155.4,⑪⑩⑩, 9, 7,Ｈメイショウトシイエ, 65,森一馬, 1.9, 55,*  4, -10, 9,102.2,④③④, 9, 6,Ｈタマモグランプリ, 74,国分恭, 1.5, 67,   4,  -4, 8, 21.5,⑥⑧⑧
