12年11月10日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月10日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三春駒特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａキンショｰタイム, 57,松山弘,, 56,*  0,* -1, 1,  1.2,①①①, 1, 6,Ａサニｰヘイロｰ, 73,勝浦正,, 71,  -2,* 13, 2,  5.0, ⑩⑦, 1,14,Ｄインプレッシヴデイ, 74,勝浦正,, 76,  -2,* 19, 5, 15.8,⑭⑩④, 1, 5,Ｇミッキｰレモン, 73,柴山雄,, 79, -10,* 24, 6, 11.1,⑥⑤③
 2, 2,Ｂコスモデスタン, 52,丹内祐, 0.7, 53,  -1,  -4, 2,  9.7,③④②, 2,12,Ｃミラクルピッチ, 71,丸山元, 0.1, 69,*  3,   6, 4,  6.0, ②②, 2, 1,Ｍキングロンシャｰプ, 67,大野拓, 0.1, 73,   0,  15,13, 51.3,⑤⑥⑤, 2,10,Ａウィケットキｰパｰ, 81,吉田隼, 0.0, 79,* -9,  23, 1,  3.8,⑬④⑤
 3, 8,Ｆケイアイキャンサｰ, 47,柴山雄, 0.9, 49,* -1,  -8, 4, 20.4,④③④, 3,14,Ｄレディオブパｰシャ, 71,古川吉, 0.1, 69,   0,   9, 1,  4.4, ⑥④, 3,11,Ｆコスモラングデン, 72,丹内祐, 0.2, 71,*  5,   4,12, 46.4,②②②, 3,13,Ｅパッシフロｰラ, 74,丸山元, 0.0, 78,* -7,  20, 3,  5.7,②②②
 4, 9,Ｃアキレスバイオ, 51,村田一, 1.2, 49,  -6,* -1, 3, 17.0,⑪⑧⑦, 4, 9,Ｆミスネバｰ, 69,中井裕, 0.1, 69,*  3,   6, 8, 19.0, ①①, 4, 2,Ｌシャドウライフ, 69,吉田隼, 0.2, 74,  -3,* 20, 6, 20.7,⑧⑪⑧, 4, 7,Ｂセミニョン, 76,津村明, 0.3, 74,* -9,  17, 5,  8.5,④③④
 5, 7,Ｈアウレオｰラ, 44,黛弘人, 1.3, 46,* -1, -11, 9, 46.5,②②③, 5, 2,Ｂブラックオｰキッド, 72,原田和, 0.1, 69,   0,   9, 7, 18.7, ③③, 4, 3,Ａロジサンデｰ, 83,丸山元, 0.2, 75,  -3,* 21, 1,  1.5,⑬⑬⑦, 5, 8,Ｉフラゴリｰネ, 71,川須栄, 0.4, 76, -12,  22, 4,  5.9,③⑧⑧
 6,11,Ｅホッコｰジョイフル, 49,藤懸貴, 1.5, 45,  -3,  -9, 8, 41.3,⑥⑦⑥, 6,11,Ｍメイショウアキシノ, 57,菱田裕, 0.2, 68,   0,   8,13,131.6, ⑤⑥, 6,10,Ｉリアルフレア, 71,杉原誠, 0.2, 78,  -6,* 25, 4, 15.1,⑮⑮⑮, 6, 6,Ｄインダクティ, 74,丸田恭, 0.5, 76, -11,  23, 7, 13.9,⑩⑪⑨
 7, 1,Ｇクラウンボｰスロン, 45,川須栄, 2.1, 44,  -3, -13,10, 54.3,⑦⑤⑤, 7,16,Ｉノアノア, 67,松田大, 0.3, 69, -10,* 17, 9, 24.4, ⑮⑭, 7, 7,Ｊテイケイフロックス, 71,菱田裕, 0.4, 67,*  7,  -2, 3, 13.6,①①①, 7,15,Ｈラミアプリマベｰラ, 72,藤懸貴, 0.5, 71,* -7,  13,12, 66.5,①①①
 8,13,Ｍティアサンシャイン, 24,大野拓, 2.1, 43,  -8,  -5, 7, 41.2,⑫⑨⑨, 8, 7,Ｅツｰオブアス, 69,西村太, 0.3, 67,  -2,   9, 5,  7.3, ⑨⑨, 8, 4,Ｈラスカルトップ, 71,上村洋, 0.5, 68,   3,   6, 8, 26.8,③③③, 8, 4,Ｆフロｰリストライフ, 74,黛弘人, 0.6, 76, -12,  20,11, 52.3,⑤⑩⑪
 9, 3,Ｉジｰガｰガｰネット, 43,西村太, 2.2, 42, -10,* -1, 5, 24.8,⑬⑬⑫, 9,13,Ｇグラントリノ, 69,村田一, 0.3, 68,  -5,  12,12, 54.8, ⑪⑪, 9,16,Ｅゴｰルウェイ, 72,柴山雄, 0.8, 68,  -3,  11,11, 34.7,⑪⑫⑪, 9, 9,Ｃミサソレムニス, 75,松山弘, 0.6, 78, -16,* 29,10, 28.4,⑮⑮⑬
10, 5,Ｄアキノライセンス, 51,丸山元, 2.5, 41,  -8,  -8, 6, 37.9,⑧⑩⑩,10, 8,Ｊトルピドトウショウ, 66,松山弘, 0.3, 68,  -8,* 14,10, 32.5, ⑬⑬,10,12,Ｇトウショウレイザｰ, 71,黛弘人, 0.8, 68,  -1,   8,14, 54.2,⑨⑧⑭,10, 1,Ｌマイネキャスリｰン, 68,丹内祐, 0.7, 70, -11,  14, 8, 16.9,⑭⑦⑦
11, 4,Ｋマダムバタフライ, 31,勝浦正, 2.9, 38,  -9,  -9,11, 57.0,⑩⑫⑪,11, 4,Ｈトップスカｰレット, 68,川須栄, 0.6, 63,  -2,   5, 6, 10.2, ⑧⑩,11, 6,Ｎメイショウヨウドウ, 62,松山弘, 0.9, 67,  -4,  14,10, 32.6,⑫⑭⑫,11, 3,Ｊマコトサンパギｰタ, 71,中舘英, 0.8, 74, -13,  21, 2,  5.6,⑨⑭⑭
12,12,Ｊチャッピｰ, 37,菱田裕, 3.6, 34,  -9, -16,12, 94.3,⑨⑪⑬,12, 5,Ｎケイティｰズジェム, 55,吉田隼, 0.9, 59,  -8,   7, 3,  5.3, ⑫⑫,12,13,Ｂシンゼンレンジャｰ, 75,藤懸貴, 1.1, 63,  -2,   4, 2, 11.7,⑩⑨⑩,12,11,Ｋショウナンマハ, 69,松田大, 1.0, 67, -10,  10, 9, 21.5,⑦⑥⑥
13,10,Ｌロｰアンドオｰダｰ, 27,吉田隼, 4.6, 25,  -3, -35,13,124.5,⑤⑥⑧,13, 3,Ｐエレガンテココ, 48,丹内祐, 0.9, 60,  -3,   3,11, 38.7, ⑦⑧,13, 9,Ｋキタサンテンニョ, 70,古川吉, 1.1, 62,   1,   0, 7, 25.2,⑦⑤⑥,13, 2,Ｎリッカメルド, 61,大野拓, 1.4, 63, -12,  10,13,164.1,⑪⑬⑫
,,,,,,,,,,,,14, 1,Ｌバｰジンロｰド, 58,荻野要, 0.9, 60, -12,  10,16,294.1, ⑭⑮,14, 8,Ｃプレミアムカｰド, 75,津村明, 1.2, 61,   0,   0, 9, 31.6,⑥⑦⑨,14,12,Ｍマライアレジｰナ, 66,伊藤工, 1.5, 62, -12,   7,15,314.5,⑧⑫⑮
,,,,,,,,,,,,15,10,Ｋシステｰナブルｰ, 64,長岡禎, 1.1, 57,   0,  -4,15,161.6, ④⑤,15,15,Ｏキボウダクリチャン, 58,村田一, 1.8, 58,  -6,   4,15,344.8,⑯⑯⑯,15,14,Ｏセイルアゲン, 61,勝浦正, 1.6, 59, -12,   5,14,229.0,⑫⑨⑩
,,,,,,,,,,,,16,15,Ｏサクラエボル, 49,藤懸貴, 1.4, 52, -12,   4,14,143.5, ⑯⑯,16, 5,Ｐブラックアｰス, 57,横山和, 2.9, 42,   1, -27,16,416.1,④④⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:0),,,,,,,,,,,
単勝:120円 複勝:06=110円 02=120円 08=290円 枠連:220円,,,,,,,,,,,,単勝:500円 複勝:06=150円 12=190円 14=140円 枠連:910円,,,,,,,,,,,,"単勝:1,580円 複勝:14=410円 01=1,330円 11=800円 枠連:3,190円",,,,,,,,,,,,"単勝:1,110円 複勝:05=270円 10=140円 13=190円 枠連:1,470円",,,,,,,,,,,
馬連:260円 ワイド:02-06=140円 06-08=450円 02-08=780円,,,,,,,,,,,,"馬連:1,360円 ワイド:06-12=460円 06-14=360円 12-14=510円",,,,,,,,,,,,"馬連:19,820円 ワイド:01-14=4,530円 11-14=3,400円 01-11=7,030円",,,,,,,,,,,,"馬連:2,060円 ワイド:05-10=750円 05-13=840円 10-13=420円",,,,,,,,,,,
"馬単:310円 3連複:770円 3連単:1,690円",,,,,,,,,,,,"馬単:2,710円 3連複:1,840円 3連単:11,680円",,,,,,,,,,,,"馬単:41,510円 3連複:111,390円 3連単:522,590円",,,,,,,,,,,,"馬単:4,840円 3連複:3,490円 3連単:26,080円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島放送賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂティンホイッスル, 52,丸山元,, 54,  -8,* 10, 6, 16.4, ⑫⑪, 1,12,Ｃタツグレｰト, 74,丸田恭,, 75,*  4,* 14, 2,  5.4,①①①, 1, 7,Ｋブルｰピアス, 65,中井裕,, 79,* 11,   5,10, 28.2, ①①, 1, 7,Ｇレジュｰルダムｰル, 77,川須栄,, 82,   4,* 17, 8, 29.0,⑫⑫⑪
 2, 4,Ｇドラゴンサクラ, 47,杉原誠, 0.1, 59,   6,  -4, 2,  3.2, ④④, 2, 5,Ｅアズマリュウセイ, 73,鮫島良, 0.2, 78,   1,* 19, 5, 11.5,⑬⑫⑨, 2,16,Ｃサウスビクトル, 70,丸田恭, 0.3, 74,   5,   8, 2,  6.4, ⑤④, 2, 6,Ｄトミケンユｰクアイ, 80,勝浦正, 0.2, 77,*  9,   6, 3,  5.7,②②②
 3,15,Ｉスｰパｰアｰス, 46,吉田隼, 0.2, 58,*  8,  -8, 4,  9.0, ③③, 3, 9,Ｇシベリアンファクト, 72,丸山元, 0.9, 71,   2,  11, 9, 17.4,⑫⑧⑥, 3, 6,Ａジャストザブレイン, 72,松田大, 0.4, 74,  -1,* 12, 5,  6.8, ⑩⑨, 3, 5,Ｂトミケンアルドｰル, 82,松田大, 0.5, 75,   6,  10, 5,  7.0,⑨⑪⑧
