12年 1月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 1月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,節分ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａタンブルブルｰタス, 68,三浦皇,, 65,*  5,  -3, 1,  2.1, ②②, 1, 3,Ｃアンレヴマン, 60,北村宏,, 74, -12,* 16, 3,  4.8,④④④, 1, 2,Ｃフェノｰメノ, 69,岩田康,, 78,*  8,   8, 2,  3.6,①②②, 1, 8,Ａドリｰムカトラス, 84,蛯名正,, 87,   9,   9, 1,  2.7, ④④
 2,13,Ｃダノンエレガント, 61,北村宏, 0.4, 59,   0,* -1, 2,  2.8, ⑧⑧, 2,14,Ｆステラウインド, 59,蛯名正, 0.0, 77, -12,* 18, 4,  6.7,⑧⑦⑥, 2, 6,Ｎスピルバｰグ, 57,北村宏, 0.3, 79,   4,* 16, 4,  7.4,⑨⑩⑩, 2, 9,Ｅシルクアｰネスト, 81,岩田康, 0.0, 87,   3,* 18, 2,  4.2, ⑬⑬
 3, 9,Ｊスフィンクス, 42,嶋田純, 0.5, 61,*  7, -10, 6, 19.1, ①①, 3, 6,Ａタイセイグルｰヴィ, 64,福永祐, 0.1, 77, -13,* 20, 1,  3.3,⑦⑨⑧, 3, 5,Ｋストロｰハット, 62,福永祐, 0.4, 77,   6,* 10, 1,  3.1,⑦⑦⑥, 3,13,Ｂムクドク, 84,津村明, 0.3, 80,   5,* 11, 5, 13.1, ⑩⑩
 4, 2,Ｆブランドマックス, 49,田中博, 0.9, 55,  -2,  -3, 9, 55.9, ⑨⑨, 4, 9,Ｅジェｰムズバロｰズ, 59,岩田康, 0.4, 71, -13,  15, 2,  3.8,⑤⑤⑦, 4, 3,Ｆマイネルディｰン, 66,蛯名正, 0.4, 77,   7,   7, 5, 11.5,③④④, 4,12,Ｎプランスデトワｰル, 72,クウィ, 0.4, 82,   3,* 13, 7, 23.2, ⑫⑫
 5, 7,Ｉトシザグレイト, 44,木幡初, 1.0, 53,  -5,*  0, 4, 14.8, ⑮⑮, 5, 4,Ｍディｰエスゲイン, 49,柴田善, 0.7, 65,*-11,   4,10, 58.9,③③③, 5, 9,Ｂハイリリｰ, 69,吉田豊, 0.5, 73,   7,   6, 6, 17.7,⑤⑥⑤, 5, 4,Ｃミカエルビスティｰ, 83,三浦皇, 0.5, 81,   7,   4, 3,  5.6, ⑧⑥
 6, 8,Ｂエレガントタイム, 61,田中勝, 1.3, 51,  -3,  -4, 3, 11.3, ⑪⑫, 6,10,Ｄトミケンオウドウ, 59,木幡初, 0.8, 64, -12,   7, 5, 11.9,⑥⑥⑤, 6, 7,Ｇブリッジクライム, 65,柴田善, 1.0, 70,   6,   0, 3,  4.9,⑥⑨⑦, 6,14,Ｍトゥリオンファｰレ, 75,田中博, 0.6, 79,   7,   2,14,123.4, ⑦⑧
 7, 3,Ｋエピクリオス, 41,浜中俊, 1.3, 51,  -5,  -4, 8, 43.9, ⑫⑪, 7,13,Ｂヴィンドランダ, 61,吉田隼, 1.0, 68, -15,  12,11, 63.0,⑫⑫⑫, 7, 1,Ｈディｰエスライダｰ, 64,三浦皇, 1.2, 66,* 14, -21, 8, 22.5,⑪①①, 7,11,Ｊサザンスタｰディ, 78,柴田善, 0.8, 77,* 11,  -6, 6, 21.7, ②②
 8, 6,Ｇブライトシチｰ, 49,柴田善, 1.9, 47,   0, -15, 7, 21.1, ⑤⑥, 8, 5,Ｈマイネルリヒト, 55,クウィ, 1.1, 65, -14,   8, 8, 34.1,⑨⑧⑨, 8, 4,Ｌビｰムライフル, 59,田辺裕, 1.4, 66,   6,  -3,10, 52.8,④⑧⑨, 8, 7,Ｋサクラネクスト, 76,吉田隼, 0.8, 78,   5,   5,16,148.9, ⑪⑪
