12年 9月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,すずらん賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂニシノレゾネ, 53,勝浦正,, 52,  -2, -14, 6, 15.2,⑦⑦⑤, 1, 1,Ａハクユウリリｰ, 65,藤岡佑,, 67,*  2,   2, 1,  1.7, ①①, 1, 6,Ａウイニングサルｰト, 75,藤田伸,, 70,   6,*  9, 1,  2.7,⑤⑤②, 1, 2,Ｇシｰギリヤガｰル, 53,五十嵐,, 67,   0,*  0, 8, 19.3, ⑥⑥
 2, 2,Ｆワｰルドリｰヴァ, 45,三浦皇, 0.2, 52,   0, -17, 2,  4.5,③⑥⑦, 2,12,Ｆセレブレｰトサマｰ, 58,菅原隆, 0.6, 59,  -4,  -1, 9, 88.0, ③③, 2, 9,Ｄセトブリッジ, 72,丸山元, 0.1, 69,*  7,   6, 6, 10.5,②②①, 2, 3,Ｃレディｰ, 59,四位洋, 0.3, 67,*  7, -11, 6, 13.6, ①①
 3, 3,Ａポイントキセキ, 53,秋山真, 0.2, 49,  -5, -13, 1,  1.6,⑪⑨⑨, 3,10,Ｄロｰドエストレｰラ, 58,三浦皇, 0.7, 57,  -7,   0, 3,  6.0, ⑤④, 3, 2,Ｂキクノエクレｰル, 74,川島信, 0.8, 66,   5,   6, 2,  4.8,⑨⑩⑥, 3, 4,Ａカオスモス, 65,丸山元, 0.6, 59,   1, -10, 1,  2.8, ⑦⑦
 4, 4,Ｄヴィラダイヤモンド, 51,丸田恭, 0.4, 46,  -3, -16, 4, 13.2,⑧⑧⑧, 4, 2,Ｃニホンピロナンシｰ, 58,横山和, 0.8, 56, -13,*  4, 4,  8.8, ⑧⑦, 4, 8,Ｃノッティングボｰイ, 73,丸田恭, 1.0, 63,   5,   4, 4,  6.8,⑦⑨⑤, 4, 7, ベルフォｰラヴ,---,吉田稔, 0.7, 56,  -4,  -6,12, 68.8, ⑪⑩
 5,11,Ｅクリノロｰガン, 46,服部茂, 0.5, 46, -10,* -7,10,110.7,⑫⑪⑩, 5, 7,Ｇアｰトオブパナシェ, 53,川島信, 0.8, 58,* -1,  -4, 7, 46.2, ②②, 5, 3,Ｈミッキｰバルｰン, 62,吉田稔, 1.3, 62,   6,  -1, 5,  9.5,④④⑦, 5,13,Ｈハンサムザムライ, 51,荻野琢, 0.7, 55,  -4,  -6, 5,  8.7, ⑫⑫
 6, 8,Ｇスピｰディシャｰプ, 43,松田大, 0.7, 45,  -8, -12, 8, 49.2,⑨⑩⑪, 6, 8,Ｂシャングリラ, 60,荻野琢, 0.9, 56, -14,*  4, 2,  5.7, ⑩⑧, 6, 7,Ｇゲットハッピｰ, 65,宮崎北, 1.3, 63,*  7,  -2, 7, 13.9,③③③, 6,11,Ｅモンサンスピカ, 55,池添謙, 0.8, 56,   0, -11, 4,  8.5, ⑧⑧
 7,12,Ｃテｰオｰトマホｰク, 53,津村明, 0.8, 43,*  2, -31, 3,  9.0,①①①, 7, 3,Ｉヒヤマサンデｰ, 44,柴田大, 1.2, 52,  -9,  -3, 6, 18.5, ⑥⑤, 7, 1,Ｋウォｰタｰデュｰク, 58,四位洋, 1.3, 65,   5,   4,11,110.6,⑩⑪⑪, 7, 6,Ｂマイネモントル, 61,柴田大, 0.8, 56,  -5,  -5, 3,  7.7, ⑩⑨
 8,13,Ｊマイネルルｰクス, 37,伊藤工, 1.0, 42,*  1, -31, 9, 96.9,⑤③③, 8, 4,Ｊアデヤカ, 38,古川吉, 2.3, 41,  -5, -15,10,108.5, ④⑥, 8, 4,Ｆウインシュヴァルツ, 69,三浦皇, 2.0, 59,   5,  -4, 9, 36.4,⑧⑧⑧, 8, 1, ピッチシフタｰ,---,桑村真, 1.0, 52,  -8,  -5,14, 70.0, ⑭⑬
