12年12月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩耶ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂボストンビリｰヴ, 53,和田竜,, 61,* -3,*  1, 8, 18.0, ①①, 1,16,Ａオｰスミナイン, 67,福永祐,, 69,*  8,* -1, 1,  1.6, ④④, 1, 6,Ｂハイマウンテン, 64,国分優,, 67,   2,   0, 6, 11.8, ②③, 1, 8,Ｈトミケンアルドｰル, 85,ルメｰ,, 84,* 14,* 13, 3,  4.5,②②②
 2, 8,Ｃタイキマｰシャ, 53,ルメｰ, 1.0, 52,* -3,  -7, 2,  3.5, ②②, 2,13,Ｍフロアクラフト, 48,浜中俊, 0.1, 67,   7,* -1, 3,  8.5, ⑤⑤, 2, 5,Ｃコズミックショア, 64,岩田康, 0.0, 65, -10,* 11, 3,  4.9, ⑪⑪, 2, 2,Ｂジョｰメテオ, 88,岩田康, 0.4, 81,  13,* 11, 6, 13.0,⑤④④
 3,15,Ｋグレｰトエンジェル, 42,国分恭, 1.1, 51, -12,   0, 5,  9.8, ⑩⑩, 3,18,Ｂデンコウリキ, 63,武幸四, 0.4, 64,* 10,  -9, 4, 10.5, ②②, 3, 8,Ｊサウンドアドバイス, 53,飯田祐, 0.1, 64,  -3,   4, 7, 14.1, ⑨⑧, 3, 7,Ｌタイガｰスラム, 82,藤岡佑, 0.5, 81,* 15,   7, 9, 38.2,①①①
 4,16,Ｉイニシャルダブル, 43,藤岡佑, 1.3, 51, -14,*  1, 6, 13.2, ⑬⑪, 4, 3,Ｃウエスタンレベッカ, 58,四位洋, 0.7, 60,*  9, -11, 6, 13.1, ③③, 4,10,Ｄベルライン, 61,福永祐, 0.1, 65,*  3,  -3, 1,  4.2, ③②, 4, 3,Ｄラタｰシュ, 88,和田竜, 0.7, 81,  11,* 11, 7, 21.4,⑧⑦⑥
 5,13,Ｈポロタン, 47,浜中俊, 1.3, 50,  -7,  -6, 9, 20.6, ⑦⑦, 5,15,Ｈシュンシャイン, 50,太宰啓, 0.9, 59,   1,  -3, 9, 58.9, ⑮⑬, 5, 2,Ｉエイユｰモモチャン, 58,ルメｰ, 0.3, 61,  -3,   1, 2,  4.9, ⑦⑦, 5, 1,Ａバトｰドｰル, 89,スミヨ, 0.9, 78,  13,   6, 2,  4.0,③③③
 6, 2,Ｅトウシンヴィｰナス, 50,福永祐, 1.3, 50,  -5,  -8, 3,  6.8, ④④, 6, 9,Ｑファイアポイント, 39,川島信, 1.2, 57,   1,  -5,11,108.4, ⑬⑭, 6, 7,Ｋアジャストメント, 53,四位洋, 0.4, 60, -11,*  7, 9, 21.4, ⑫⑫, 6,15,Ｃアメリカンウィナｰ, 88,浜中俊, 1.1, 77,  13,   5, 1,  3.4,⑦⑥⑤
 7,14,Ｆマｰヴェリックス, 49,岩田康, 1.6, 47,  -9,  -7, 1,  3.3, ⑨⑨, 7,11,Ｄティマイドリｰム, 55,国分恭, 1.2, 55,   4, -11,13,151.2, ⑪⑩, 7, 1,Ｆセイウンチカラ, 60,浜中俊, 0.4, 60,  -1,  -3, 5,  8.5, ⑤⑥, 7,13,Ｇテイエムドンマイ, 85,幸英明, 1.5, 74,  12,   3, 5, 11.4,④⑤⑦
 8, 3,Ｄアグネスコトブキ, 51,上村洋, 1.9, 45,  -5, -13, 7, 17.5, ⑤⑤, 8, 7,Ｅテイエムライオネス, 53,熊沢重, 1.4, 53,   5, -17,10, 83.3, ⑦⑧, 8,12, ドクトルバロン,---,国分恭, 0.5, 59,   2,  -7,13,240.6, ④④, 8,11,Ｊキャプテンマジン, 82,国分恭, 1.7, 74,   9,   9,15,144.5,⑫⑪⑪
