12年 7月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,知多特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃアグネスロｰザ, 64,武豊  ,, 68,  -2,* 10, 4, 19.7,⑪⑪⑩, 1, 7, スｰサンストリｰム,,横山義,,,,, 1,  1.5,⑤③②, 1,10,Ｎキングヒｰロｰ, 63,高倉稜,, 76,  -4,* 19, 4,  7.7,⑥⑥④, 1, 4,Ｆアｰスソニック, 73,佐藤哲,, 79,  -8,* 15, 1,  2.2, ⑤⑤
 2, 1,Ｈアッパレオリュウ, 57,松山弘, 0.3, 63,   0,   1, 5, 23.4,⑤⑤⑥, 2, 4, スズカマジェスタ,,北沢伸,197.7,,,, 2,  4.8,②②①, 2, 9,Ｍエイコｰンパス, 68,北村友, 0.4, 76,  -4,* 19, 9, 17.9,⑬⑩⑩, 2, 9,Ｂアンプレシオネ, 79,松山弘, 0.0, 78,  -6,  13, 7, 34.1, ④④
 3,11,Ｂシゲルリンゴ, 65,北村友, 0.3, 65,  -1,   3, 2,  4.5,⑧⑦⑤, 3,13, エｰシンイグアス,,黒岩悠,200.8,,,, 3, 10.2,①①③, 3,11,Ｄハイランドジャガｰ, 76,熊沢重, 0.5, 75,  -4,  16, 7, 14.4,⑩⑧⑦, 3, 3,Ｃスギノエンデバｰ, 77,和田竜, 0.1, 80, -11,* 18, 2,  3.2, ⑧⑧
 4, 4,Ｄブライトポジｰ, 61,国分恭, 0.4, 64,  -1,*  4, 3,  7.9,⑩⑨⑧, 4,11, ニシノスロｰン,,五十嵐,201.1,,,, 6, 22.1,⑦④④, 4,15,Ａコウエイチャンス, 81,松山弘, 0.6, 72,  -5,  18, 3,  5.8,⑭⑫⑨, 4, 8,Ｇニジブルｰム, 72,北村友, 0.3, 75, -10,  13, 5, 14.7, ⑥⑥
 5, 9,Ａフェアリｰダンス, 69,岩田康, 0.8, 59,*  1,  -5, 1,  1.5,④④③, 5, 3, カリズマアゲン,,平沢健,201.9,,,,14,108.9,⑥⑦⑥, 5,13,Ｃラガｰトモヒｰロ, 79,太宰啓, 0.6, 74,  -5,  18, 5,  9.9,⑮⑬⑬, 5, 6,Ａグッドルッキング, 82,武豊  , 0.4, 72,* -3,   6, 3,  5.3, ③③
 6,10,Ｎヴァルカモニカ,-78,和田竜, 0.8, 59,*  1,  -5, 6, 37.7,③③④, 6, 6, シュガｰツヨシ,,鈴木慶,204.5,,,,10, 65.3,⑨⑥⑤, 6,12,Ｈヤマニンフリスキｰ, 74,水口優, 0.8, 72,  -6,  18,16,186.1,⑯⑯⑮, 6,12,Ｅハンタｰワディ, 74,酒井学, 0.6, 72, -15,* 15, 4, 14.0, ⑩⑪
 7, 8,Ｋミスハレクラニ, 54,藤岡康, 0.9, 60,*  2,  -7, 7, 46.2,①①①, 7, 1, リアルブラック,,林満明,204.6,,,,13, 87.8,⑧⑨⑧, 7, 3,Ｅメイショウシャイン, 76,小坂忠, 0.8, 71,  -3,  13,15, 76.8,④④⑤, 7, 5,Ｈベストバウト, 72,藤岡康, 0.7, 70, -13,  11, 9, 55.3, ⑨⑨
 8,13,Ｊファｰマプリンセス, 55,太宰啓, 1.2, 58,*  2,  -9, 9, 55.9,②②②, 8,10, コパノハリケｰン,,今村康,205.5,,,,11, 76.5,⑩⑪⑩, 8, 7,Ｂオｰシャンパワｰ, 80,和田竜, 0.9, 70,  -3,  12, 1,  3.7,⑧⑦⑥, 8,10,Ｉフェブスカイ, 69,国分優, 0.9, 69, -16,  13,12,105.5, ⑪⑩
