12年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａリメンバｰメジロ, 57,吉田豊,, 52,   3,* -5, 2,  3.2, ③③, 1, 6, サクラグランレｰヴ,---,三浦皇,, 35,*-54,* 14, 1,  1.5, ④③, 1, 1,Ｊエメラルスピｰド, 64,古川吉,, 79,  -7,  16, 9, 31.2, ③③, 1, 2,Ａイジゲン, 90,柴田善,, 88,*  5,* 22, 1,  1.5, ①①
 2, 4,Ｅボンジュｰルココロ, 47,三浦皇, 0.2, 47,  -2,* -1, 1,  3.2, ⑦⑦, 2, 9, サｰクルオブライフ,---,田中勝, 0.2, 32,*-54,  11, 2,  5.6, ⑥④, 2, 3,Ｆアルトゥバン, 72,黛弘人, 0.0, 82, -12,* 21, 6, 21.4, ⑤⑨, 2,10,Ｂナイトフッド, 86,田中勝, 0.5, 84,   4,  20, 4, 13.0, ⑥⑤
 3, 6,Ｃポｰクチョップ, 52,田中勝, 0.2, 49,*  5, -10, 5, 10.7, ②②, 3, 4, シャインケニｰ,---,江田照, 0.2, 30,*-54,  10, 3,  6.7, ①①, 3, 6,Ｌロマンスリップ, 61,飯田祐, 0.1, 65,* 15, -25,10, 37.2, ①①, 3, 4,Ｄヒラボクビジン, 85,吉田豊, 0.7, 85,   2,* 22, 6, 19.6, ⑩⑩
 4, 7,Ｂマイネライムライト, 56,柴田大, 0.4, 47,   2,  -7, 3,  4.4, ⑥⑤, 4, 3, リュウノヒゲ,---,吉田豊, 0.2, 34, -57,* 16, 5, 14.9, ⑤⑥, 4, 7,Ｈニシノクエｰサｰ, 69,田中勝, 0.3, 79, -13,* 21, 7, 22.4, ⑫⑪, 4, 6,Ｋツクバコガネオｰ, 78,古川吉, 0.7, 83,   2,  20, 2,  6.6, ⑧⑧
 5, 2,Ｄクラウンプルｰトゥ, 48,鈴来直, 0.6, 43,   0,  -9, 6, 13.9, ⑤⑥, 5, 1, フィリｰズカレン,---,北村宏, 0.4, 31, -56,  11, 4,  8.5, ③⑤, 5, 8,Ｃトキノサコン, 73,江田照, 0.3, 74,  -9,  13, 8, 24.2, ⑥⑤, 5,13,Ｈディｰエスコンドル, 81,三浦皇, 0.9, 82,*  6,  15, 3, 12.0, ④③
 6,10,Ｊドリュアス, 34,北村宏, 0.8, 43,*  7, -21, 4,  9.9, ①①, 6, 7, ラブインザミスト,---,古川吉, 1.2, 17, -63,  10, 9,152.2, ⑨⑨, 6,14,Ｍバトルキトリ, 61,杉原誠, 0.4, 79, -13,  18,11, 96.0, ⑩⑫, 6, 8,Ｅサイモントルナｰレ, 85,伊藤工, 1.0, 83,   0,* 22,10, 40.5, ⑬⑬
 7,12,Ｈシュウギン, 39,江田照, 0.9, 38,  -6,* -5, 8, 37.2, ⑪⑩, 7, 5, ヤマイチコンコルド,---,木幡初, 1.4,  9,*-54,  -8, 6, 22.8, ②②, 7,11,Ｅアスｰルアラテラ, 72,武士沢, 0.4, 78, -14,* 22, 3,  7.2, ⑬⑬, 7, 7,Ｉアイノカゼ, 80,柴田大, 1.2, 79,   2,  17,13,207.6, ⑫⑫
 8, 3,Ｌタサジャラ, 16,古川吉, 1.5, 31,  -4, -16, 7, 17.5, ⑨⑨, 8, 2, ハタノブリンデ,---,杉原誠, 1.6, 13, -60,   0, 8,103.1, ⑧⑧, 8,13,Ｇダイワアクシス, 71,北村宏, 0.4, 74,  -9,  11, 2,  4.3, ⑪⑥, 8,11,Ｆゴｰルドアカデミｰ, 84,北村宏, 1.2, 79,   3,  16, 7, 31.2, ⑨⑨
