12年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,高雄特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,13,Ｆシゲルコギツネザ, 51,福永祐, 2.9, 35,  -1, -30, 4,  7.0, ④⑤,,,,,,,,,,,,,13, 4, グレｰトエンジェル,---,酒井学, 1.8, 43, -24,*  2,12, 96.0, ⑮⑮,,,,,,,,,,,,
14,14,Ｎスマｰトノワｰル, 29,菱田裕, 3.1, 33,  -3, -29,11,122.6, ⑨⑧,,,,,,,,,,,,,14,15, サチノニベア,---,国分優, 1.8, 39,*-10, -21,15,267.1, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 6, ディレクタｰ,---,川須栄, 2.2, 37, -20,  -9,11, 80.3, ⑬⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:重(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:2),,,,,,,,,,,
"単勝:350円 複勝:12=140円 02=220円 06=190円 枠連:1,830円",,,,,,,,,,,,"単勝:250円 複勝:12=130円 03=320円 01=170円 枠連:2,070円",,,,,,,,,,,,単勝:490円 複勝:12=190円 10=130円 03=280円 枠連:370円,,,,,,,,,,,,単勝:970円 複勝:12=290円 07=170円 09=420円 枠連:710円,,,,,,,,,,,
"馬連:1,610円 ワイド:02-12=580円 06-12=410円 02-06=910円",,,,,,,,,,,,"馬連:2,010円 ワイド:03-12=800円 01-12=240円 01-03=1,160円",,,,,,,,,,,,"馬連:640円 ワイド:10-12=310円 03-12=1,240円 03-10=600円",,,,,,,,,,,,"馬連:1,770円 ワイド:07-12=710円 09-12=1,950円 07-09=1,120円",,,,,,,,,,,
"馬単:2,690円 3連複:2,330円 3連単:12,620円",,,,,,,,,,,,"馬単:3,020円 3連複:2,460円 3連単:14,120円",,,,,,,,,,,,"馬単:1,510円 3連複:2,790円 3連単:13,330円",,,,,,,,,,,,"馬単:4,550円 3連複:10,130円 3連単:63,280円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京阪杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂドリｰムハヤテ, 63,松山弘,, 59,* 10,  -6, 5, 10.7, ①①, 1, 6,Ｌブレｰクビｰツ, 44,ルメｰ,, 55,  -2,   0, 4,  9.5,⑨⑧⑧, 1,13,Ａケイティｰズハｰト, 77,菱田裕,, 75,*  6,   6, 3,  5.4,①①①, 1, 1,Ｍハクサンムｰン, 81,酒井学,, 86,* 10,   5,10, 34.1, ①①
