12年 3月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2500m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝｼｬｲﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 8,Ｊダイワスパｰク, 45,北村宏, 2.6, 43,  -2, -20, 7, 49.9,⑮⑬⑬,12, 9, ガｰディアンギフト,---,高嶋活, 3.2, 35, -28,  -1, 7, 18.7, ⑫⑫,12, 3,Ｈノボピュアリティ, 61,田辺裕, 1.5, 52,   1, -12,11, 49.4, ⑭⑮,12,11,Ｇタガノファントム, 83,石橋脩, 2.7, 71,  11, -16,12, 73.4,⑫⑪⑬
13,12,Ｎシャコウプリンセス, 32,江田照, 3.0, 37,   1, -34,12,128.0,④⑩⑪,13,13, ゴウイモン,---,石神深, 3.8, 31, -32,  -2,15,194.0, ⑭⑭,13,16,Ｃケビンドゥ, 65,岩田康, 1.6, 55,  13, -25, 6,  9.7, ⑥⑥,13, 4,Ｄモｰニングフェイス, 85,内田博, 3.3, 67,  13, -31, 7, 19.9,⑦⑧⑪
14,10,Ｏデルマキシボジン, 31,鈴来直, 4.0, 33,  -6, -29,15,357.1,⑫⑮⑭,14,12, トｰセンワンダｰ,---,横山義, 5.6, 14, -27, -23,14,147.7, ⑬⑬,14, 6, ゴｰルデンウルフ,---,戸崎圭, 2.2, 51,* 18, -36,14,113.0, ②③,,,,,,,,,,,,
15, 7,Ｌルクｰル, 44,木幡初, 5.9, 25,  -5, -45,13,217.4,⑭⑭⑮,15, 1, ハロｰキュｰチャン,---,千葉直, 6.1, 12, -49,  -5,16,204.6, ⑮⑮,15,11,Ｏドｰリｰガｰル, 49,吉田隼, 2.3, 45,   8, -29,16,335.0, ⑪⑭,,,,,,,,,,,,
,,,,,,,,,,,,16, 6, アポロズスピアｰ,---,大庭和, 8.1, -8, -52, -22, 9, 44.3, ⑯⑯,16,12,Ｎコパノワｰニング, 50,田中勝, 2.5, 44, -10, -15,15,186.2, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-19 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:21),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:不良(指数:21),,,,,,,,,,,
単勝:700円 複勝:06=170円 01=110円 11=150円 枠連:560円,,,,,,,,,,,,"単勝:380円 複勝:08=160円 11=240円 14=210円 枠連:1,560円",,,,,,,,,,,,"単勝:1,120円 複勝:07=370円 09=660円 02=310円 枠連:5,110円",,,,,,,,,,,,"単勝:400円 複勝:08=200円 02=1,050円 06=950円 枠連:7,580円",,,,,,,,,,,
馬連:590円 ワイド:01-06=260円 06-11=390円 01-11=190円,,,,,,,,,,,,"馬連:1,510円 ワイド:08-11=690円 08-14=560円 11-14=910円",,,,,,,,,,,,"馬連:14,260円 ワイド:07-09=3,520円 02-07=1,510円 02-09=2,950円",,,,,,,,,,,,"馬連:16,460円 ワイド:02-08=4,210円 06-08=2,750円 02-06=12,030円",,,,,,,,,,,
"馬単:1,620円 3連複:800円 3連単:6,190円",,,,,,,,,,,,"馬単:2,630円 3連複:3,630円 3連単:17,990円",,,,,,,,,,,,"馬単:21,660円 3連複:29,180円 3連単:149,140円",,,,,,,,,,,,"馬単:24,910円 3連複:119,940円 3連単:590,320円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  ダ1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1600m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾈﾓﾈｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄカシノアポロン, 57,原田和,, 59, -10,*  6, 3,  5.2, ⑥⑦, 1,14,Ａロジサンデｰ, 65,内田博,, 64,   1,* -8, 2,  3.8,⑩⑧⑦, 1, 5,Ｅサトノインスパイア, 70,岩田康,, 71,*  2,* 11, 3,  6.4, ①①, 1,13,Ｅパララサルｰ, 74,北村宏,, 80,   8,*  5, 1,  4.0,⑫⑭⑭
 2,10,Ａリバティｰアゲイン, 62,吉田隼, 0.6, 53, -14,*  4, 4,  9.3, ⑪⑩, 2, 7,Ｆロンギングダンサｰ, 58,蛯名正, 0.0, 64,   2,* -9, 1,  2.3,⑥⑥⑤, 2, 6,Ｂカフェシュプリｰム, 71,後藤浩, 0.1, 70,*  1,* 11, 1,  2.6, ②②, 2,10,Ｍマイネエポナ, 66,吉田隼, 0.2, 77,* 15, -10,10, 23.1,②②②
 3,11,Ｅアナコンダ, 56,武士沢, 0.7, 54, -12,   2, 8, 16.5, ⑧⑥, 3, 8,Ｇダイワアクシス, 54,戸崎圭, 0.2, 61,*  3,*-16, 3,  8.4,③③②, 3,10,Ｄダブルスタｰ, 71,内田博, 0.9, 64,  -4,   8, 2,  4.1, ⑧⑦, 3, 9,Ｋクッカｰニャ, 72,武士沢, 0.3, 76,   9,* -3,15,122.2,⑪⑨⑫
 4, 8,Ｐダイワロｰド, 33,柴田大, 0.8, 53,  -8,  -3, 5,  9.7, ⑤⑤, 4,12,Ｃジルニトラ, 62,北村宏, 0.6, 58,*  4, -23, 6, 13.2,①①①, 4, 1,Ｈエバｰロｰズ, 66,江田照, 1.1, 61,  -1,   4,11, 81.4, ④④, 4,15,Ｎセコンドピアット, 64,松岡正, 0.5, 76,   5,*  1,12, 27.2,⑮⑯⑯
 5, 5,Ｃミヤビガｰリッシュ, 59,岩田康, 0.8, 52,* -5,  -7, 1,  3.8, ①①, 5, 9,Ｂトミケンオウドウ, 64,木幡初, 1.1, 52,*  3, -27, 4, 10.4,⑤④③, 5, 9,Ｐヒヅグｰタス, 44,大庭和, 1.2, 62,*  1,   1,14,156.3, ③③, 5, 5,Ｄトｰセンベニザクラ, 75,津村明, 0.7, 69,   9,  -7, 2,  5.1,⑩⑩⑧
 6, 9,Ｌブラックモア, 43,吉田豊, 0.9, 51, -15,   3,11, 69.2, ⑨⑪, 6,15,Ｌクリップザクロップ, 43,三浦皇, 1.3, 54,   0, -20,16,336.9,⑮⑪⑨, 6, 8,Ｊサンセルマン, 63,丸山元, 1.4, 60,  -6,   7,13, 82.7, ⑩⑧, 6, 8,Ｇチェリｰメドゥｰサ, 74,田辺裕, 0.8, 71,   9,  -8, 3,  5.9,⑨⑪⑩
 7,12,Ｆドラゴンネスト, 53,田中勝, 1.0, 50, -12,  -1, 7, 13.1, ⑦⑧, 7,10,Ｊジェノアチャリス, 50,後藤浩, 1.3, 52,   2, -28, 5, 11.8,⑧⑦④, 7,11,Ｉヘンリｰフォンテン, 64,石橋脩, 1.5, 58,  -4,   4, 8, 28.3, ⑨⑨, 7, 1,Ｆタガノキャンドル, 74,岩田康, 0.8, 69,  12, -14, 4,  7.5,④④④
 8,14,Ｋトウショウテイスト, 45,山崎亮, 1.0, 50, -14,   0,15, 99.5, ⑩⑨, 8, 1,Ｅマイネルカブト, 58,柴田大, 1.4, 54,  -1, -22, 7, 13.3,⑬⑫⑫, 8,14,Ｃジョｰオリオン, 71,吉田豊, 1.5, 57,  -2,   2, 4,  6.6, ⑦⑥, 8,12,Ａエクセラントカｰヴ, 79,石橋脩, 0.9, 70,  11, -12, 5, 10.6,⑦⑦⑥
 9, 1,Ｊタイタンフォンテン, 47,高嶋活, 1.1, 50,  -8,  -6,13, 92.3, ④④, 9, 5,Ｈスノｰスケイプ, 52,江田照, 2.0, 46,   1, -33,10, 48.3,⑪⑩⑩, 9, 2,Ａトウショウブｰム, 74,中谷雄, 1.7, 56,  -2,   0, 7, 18.1, ⑤⑤, 9, 4,Ｊラフレｰズカフェ, 72,田中勝, 1.0, 67,   8,  -9,11, 24.1,⑯⑫⑨
10, 7,Ｇジャッドマックス, 51,戸崎圭, 1.3, 48,* -6,  -9, 2,  4.6, ③③,10, 2, クレバｰエンペラｰ,---,田辺裕, 2.3, 44,  -2, -31,13,147.9,⑭⑮⑭,10,16,Ｋヒカルヨコハマ, 61,横山典, 1.7, 55, -13,  10, 6, 14.2, ⑭⑬,10, 3,Ｉメイブリｰズ, 72,柴田善, 1.1, 66,   9, -14, 8, 17.3,⑤⑧⑦
