12年 7月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五頭連峰特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂザラストロ, 54,柴田善,, 59, -16,*  4, 1,  2.4, ⑧⑧, 1, 8, ディアブラスト,,横山義,,,,, 2,  3.7,⑥③③, 1, 6,Ａロンギングダンサｰ, 65,蛯名正,, 69,* -3,* 12, 1,  1.8,③④④, 1,11,Ｂダイワマッジョｰレ, 84,丸田恭,, 86,* 16,*  5, 2,  3.5, ④③
 2, 4,Ｉスワンソング, 33,蛯名正, 0.3, 52, -11,  -7, 4,  7.0, ③③, 2, 1, ジュヌドラゴン,,山本康,185.9,,,, 4,  8.0,③②②, 2,12,Ｏサトノエンデバｰ, 46,田中勝, 0.7, 63,  -8,* 10,14,156.1,⑬⑪⑪, 2, 1,Ｊロｰレルブレット, 75,田辺裕, 0.0, 90,  14,* 13, 3,  5.1, ⑩⑩
 3, 6,Ｅタプロｰム, 47,田辺裕, 0.5, 51, -13,  -7, 3,  5.3, ⑤⑤, 3,10, ホクトスルタン,,柴田大,186.0,,,, 3,  4.9,①①①, 3, 5,Ｈロジテｰル, 58,内田博, 0.7, 63,  -6,   7, 2,  6.5,⑨⑩⑨, 3, 3,Ａハｰキュリｰズ, 84,内田博, 0.2, 86,* 17,   2, 1,  3.4, ⑤⑤
 4, 8,Ｃレモンチャン, 53,中舘英, 0.5, 49,* -8, -14, 6, 13.9, ①①, 4, 5, ダイバｰシティ,,蓑島靖,186.5,,,, 9, 21.4,④⑤⑥, 4,17,Ｂマイネルツァウバｰ, 62,田辺裕, 0.8, 60,  -5,   2, 5, 14.2,⑪⑥⑤, 4, 4,Ｈホｰカｰテンペスト, 76,北村宏, 0.7, 80,  15,  -1, 5, 10.5, ⑦⑦
 5,10,Ｆブラックジャック, 40,吉田豊, 0.7, 45,*-10, -16, 9, 92.7, ②②, 5,11, モエレジンダイコ,,高嶋活,186.7,,,, 1,  3.7,⑤⑦⑦, 5,11,Ｉインパクトシチｰ, 57,松岡正, 0.9, 63,  -5,   4, 8, 35.6,⑥⑧⑩, 5, 2,Ｅゲットアヘッド, 79,武士沢, 0.8, 79,  12,   4,11, 50.2, ⑫⑫
 6, 2,Ｌミヤコボルト, 17,田中勝, 0.8, 47, -15,  -8,10,151.9, ⑦⑦, 6,12, スｰパｰティチャｰ,,大江原,186.7,,,, 6, 13.2,⑨⑥⑤, 6, 1,Ｍブレイブフォｰス, 50,嶋田純, 1.1, 60,  -9,   8,10,101.6,⑩⑫⑫, 6, 7,Ｆオリエンタルジェイ, 78,柴田善, 1.1, 76,  12,  -2, 8, 21.0, ⑪⑪
 7, 3,Ｊマイネルガブリエル, 24,松岡正, 0.9, 48, -15,  -8, 7, 21.8, ⑫⑫, 7, 6, マサデパン,,平沢健,187.0,,,, 8, 18.3,⑪⑧⑧, 7, 7,Ｅライフハッカｰ, 60,柴田善, 1.1, 56,* -2,  -7, 6, 14.9,②②②, 7, 6,Ｄトウカイソニック, 80,蛯名正, 1.1, 75,  15,  -7, 4,  8.4, ⑧⑧
 8,12,Ｄクレバｰユニバｰス, 51,内田博, 1.0, 44, -13, -14, 2,  4.3, ⑥⑥, 8, 9, ハッピｰティア,,鈴木慶,188.1,,,,11, 96.9,②④④, 8, 4,Ｎトウカイチェッカｰ, 47,岩部純, 1.2, 57,  -4,  -2,16,301.6,⑤⑦⑥, 8,10,Ｇコンカラン, 77,松岡正, 1.6, 72,  13, -11, 6, 14.4, ⑨⑨
 9, 9,Ａシャンピオナ, 56,江田照, 1.0, 41, -11, -19, 5, 12.2, ④④, 9, 2, ラパリｰガ,,江田勇,190.6,,,,13,157.8,⑫⑩⑩, 9, 8,Ｃブライトシャドウ, 61,杉原誠, 1.2, 62, -13,* 17, 7, 22.6,⑭⑰⑱, 9, 8,Ｃテイエムドンマイ, 83,田中勝, 1.8, 68,* 17, -23, 9, 32.0, ①①
10, 5,Ｈカシノリュウセイ, 33,西田雄, 1.1, 45, -15, -11,11,228.7, ⑨⑩,10, 7, ジャポニズム,,浜野谷,190.6,,,, 7, 17.1,⑧⑨⑨,10, 3,Ｌロｰレルレｰロ, 55,丸田恭, 1.3, 53,* -2, -10,12,136.5,①①①,10,12,Ｌメジロマリアン, 72,柴田大, 1.9, 68,* 16, -22,10, 39.7, ③④
11,11,Ｇスピｰドパレｰド, 36,石橋脩, 1.8, 37, -15, -21, 8, 23.2, ⑩⑪,11,13, ビッグフォンテン,,金子光,192.4,,,,14,181.8,⑭⑫⑪,11,18,Ｄダイワネクサス, 60,北村宏, 1.5, 53,  -5,  -7, 3,  6.5,⑧⑨⑧,11, 9,Ｉメジロスプレンダｰ, 76,石橋脩, 2.1, 67,  15, -22,12, 56.4, ⑥⑥
12, 1,Ｋメルクマｰル, 19,杉原誠, 2.5, 25, -17, -29,12,236.1, ⑪⑨,12, 4, ビｰム,,五十嵐,193.8,,,,10, 40.4,⑩⑪⑫,12, 9,Ｆマイネルレジェｰル, 59,中谷雄, 1.5, 55,  -9,   1,15,166.4,⑮⑬⑬,12, 5,Ｋステアトゥヘヴン, 73,吉田豊, 2.3, 61,* 17, -31, 7, 17.7, ②②
,,,,,,,,,,,,13, 3, ホウショウキング,,石神深,196.0,,,,12,120.2,⑬⑬⑬,12,14, スネガエクスプレス,---,吉田豊, 1.5, 57, -12,* 10,11,119.2,⑯⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｊマイネルピトレスク, 57,柴田大, 1.6, 53,  -5, -10, 4, 10.3,④⑤⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｇタニノハｰビｰビｰ, 59,武士沢, 2.5, 46, -13,  -1,13,140.1,⑱⑱⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,16, ナスノライジング,---,石橋脩, 2.8, 44, -12,  -9, 9, 71.3,⑰⑯⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｋベンレイダｰ, 56,西田雄, 2.9, 42, -12, -10,18,470.1,⑫⑮⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,13,Ｐヤマニンロゴス, 44,大庭和, 3.6, 32,* -3, -41,17,335.4,⑦③③,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,
単勝:240円 複勝:07=120円 04=210円 06=180円 枠連:700円,,,,,,,,,,,,"単勝:370円 複勝:08=160円 01=250円 10=250円 枠連:1,210円",,,,,,,,,,,,"単勝:180円 複勝:06=110円 12=2,310円 05=210円 枠連:1,780円",,,,,,,,,,,,単勝:350円 複勝:11=140円 01=170円 03=130円 枠連:940円,,,,,,,,,,,
馬連:940円 ワイド:04-07=370円 06-07=260円 04-06=780円,,,,,,,,,,,,"馬連:1,280円 ワイド:01-08=590円 08-10=490円 01-10=1,080円",,,,,,,,,,,,"馬連:16,000円 ワイド:06-12=4,380円 05-06=310円 05-12=14,130円",,,,,,,,,,,,"馬連:1,040円 ワイド:01-11=400円 03-11=260円 01-03=360円",,,,,,,,,,,
"馬単:1,590円 3連複:1,630円 3連単:7,210円",,,,,,,,,,,,"馬単:2,580円 3連複:3,140円 3連単:16,940円",,,,,,,,,,,,"馬単:19,310円 3連複:34,300円 3連単:233,450円",,,,,,,,,,,,"馬単:1,860円 3連複:1,100円 3連単:5,840円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,柳都ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｉピｰスオブアイ, 50,石橋脩,, 72,* 12,   0, 4,  5.7, ①①, 1, 1, モｰニングコｰル,---,石橋脩,, 58,* -7,  -2, 4, 16.1, ①①, 1,14,Ａエイブルサクセス, 79,蛯名正,, 70,*  2,   7, 1,  2.4, ③③, 1, 2,Ｆコンノｰト, 85,田中勝,, 84,* 12,* 17, 2,  4.3,③④⑤
 2,12,Ｄエイブルトップガン, 59,江田照, 1.1, 59,   6,  -4, 9, 55.5, ⑦⑦, 2, 6, ネロディアマンテ,---,松岡正, 0.0, 58,*-11,*  3, 1,  1.4, ③③, 2,12,Ｊエイコオハヤテ, 63,中舘英, 0.2, 68,   0,   8, 7, 34.1, ⑤④, 2,12,Ｉキラウエア, 84,石橋脩, 0.0, 87,* 12,* 17,11, 56.2,⑥⑤④
 3, 5,Ａジュドポｰム, 64,田辺裕, 1.2, 59,   7,  -5, 1,  3.5, ⑤⑤, 3, 7, グレカｰレ,---,嶋田純, 0.1, 55,*-10,  -1, 8, 40.6, ②②, 3,15,Ｄペガサスヒルズ, 74,石橋脩, 0.2, 69,  -1,*  9, 6, 13.1, ⑦⑦, 3,10,Ｊチュウワブロッサム, 82,田辺裕, 0.1, 84,* 12,  15, 9, 35.1,④③②
 4, 7,Ｃトラストシンシ, 63,松岡正, 1.2, 56,  -1,*  1, 6,  8.3, ⑪⑪, 4,12, マイネカトレア,---,柴田大, 0.5, 54, -18,*  4, 5, 17.4, ⑩⑩, 4,10,Ｉジャストフレンズ, 63,西村太, 0.5, 64,  -2,   7,14,182.5, ⑨⑨, 4, 9,Ｂグラッツィア, 88,内田博, 0.2, 85,  11,* 17, 1,  1.8,⑧⑧⑥
 5,10,Ｆハッピｰウェｰブ, 57,蛯名正, 1.5, 55,   1,  -3, 7, 27.0, ⑨⑩, 5,10, エスリア,---,吉田豊, 0.7, 48, -14,  -4, 3, 11.0, ⑤⑤, 5, 9,Ｂグランプリブルｰ, 76,田辺裕, 0.5, 65,  -4,*  8, 4,  7.5, ⑪⑪, 5, 7,Ｇサクラブライアンス, 85,丸田恭, 0.6, 80,  11,  12, 3, 11.9,⑤⑦⑦
 6, 3,Ｅプロスペリタ, 59,中谷雄, 1.7, 55,   3,  -6, 5,  7.7, ⑧⑧, 6, 8, コスモハヅキ,---,武士沢, 0.7, 48, -15,  -2,12,168.7, ⑦⑦, 6,13,Ｅシャトルアップ, 73,杉原誠, 0.9, 62,*  3,  -1, 2,  4.0, ②②, 6,11,Ｃメタギャラクシｰ, 87,松岡正, 1.2, 79,   6,  16, 5, 17.2,⑬⑬⑬
 7,13,Ｎディアコメット, 21,杉原誠, 1.8, 50, -14,*  8,13,229.3, ⑮⑮, 7, 3, ミラクルアスク,---,北村宏, 0.8, 51, -22,*  6, 2,  6.3, ⑬⑫, 7, 8,Ｆフォルメン, 71,嶋田純, 0.9, 62,  -9,* 10, 8, 38.3, ⑮⑬, 7,14,Ｈサイモントルナｰレ, 85,柴田善, 1.3, 80,  10,  10, 8, 29.7,⑪⑨⑩
 8,14,Ｈグラニュレｰション, 55,吉田豊, 1.8, 54,*  9, -12, 3,  5.6, ③③, 8,11, マイネロア,---,中谷雄, 0.8, 48, -14,  -5, 6, 19.6, ⑥⑥, 8, 3,Ｋスマｰトレモラ, 62,江田照, 1.0, 60,  -4,   4,12,138.4, ⑩⑩, 8, 6,Ｅラタｰシュ, 86,蛯名正, 1.3, 78,   8,  12, 4, 12.8,⑭⑫⑫
 9, 9,Ｂオｰバｰザムｰン, 63,中舘英, 2.0, 53,* 10, -15, 2,  4.2, ②②, 9, 9, アグネスパｰラｰ,---,田中勝, 1.3, 42, -17,  -8, 7, 34.5, ⑧⑨, 9,11,Ｃデリケｰトアｰチ, 74,松岡正, 1.2, 59,  -1,   0, 5, 11.1, ⑥⑥, 9, 5,Ｏアイノカゼ, 78,柴田大, 1.5, 75,   9,   8,12, 67.6,⑨⑩⑨
10, 8,Ｊリボンハｰト, 48,武士沢, 2.1, 49,  -7,   0,12,137.7, ⑭⑭,10,14, カムトゥマインド,---,内田博, 1.6, 39, -19,  -9,10, 47.1, ⑪⑪,10, 4,Ｇストｰンステｰジ, 70,柴田大, 1.2, 59,  -2,   1,10, 70.1, ⑧⑧,10, 4,Ｋエｰシンテンモク, 82,中舘英, 1.7, 72,* 11,   2, 6, 17.4,②②③
11,15,Ｌコスモブジｰ, 46,丸田恭, 2.1, 50,   6, -12,10, 61.6, ⑥⑥,11,15, アンルｰリｰ,---,田辺裕, 1.7, 36,*-11, -21,14,222.0, ④④,11, 7,Ｎサクラカノン, 53,北村宏, 1.3, 58,  -6,   3,11,132.4, ⑫⑫,11,13,Ｎトウカイライフ, 78,岩部純, 1.9, 76,   5,  14,15,287.4,⑮⑮⑮
12,11,Ｋカシノコスモス, 48,二本柳, 2.6, 43,  -5,  -7,14,253.6, ⑬⑬,12,13, チェリッシュハｰト,---,江田照, 1.7, 37, -16, -12,13,169.5, ⑨⑧,12, 5,Ｍクラウンリバｰ, 55,丸田恭, 1.3, 58,   1,  -3,13,167.2, ④⑤,12,15,Ａデンコウヤマト, 88,小島太, 2.4, 71,   6,   6,10, 41.5,⑫⑭⑭
13, 4,Ｍコンペリングテｰル, 44,嶋田純, 2.6, 44,   0, -12,15,272.5, ⑩⑨,13, 5, サフランティアラ,---,田中博, 2.1, 35, -21, -11,15,224.1, ⑫⑬,13, 2,Ｈエゾムサシ, 63,吉田豊, 1.9, 53,  -7,   0, 9, 39.7, ⑬⑭,13, 1,Ｌポイマンドレｰス, 80,江田照, 2.6, 65,* 12,  -8,13, 92.3,①①①
14, 2,Ｇシｰキングザルビｰ, 56,柴田善, 3.0, 44,   7, -21, 8, 32.0, ④④,14, 4, トウカイクッキｰ,---,柴田善, 2.1, 37, -28,  -2,11,129.6, ⑭⑭,14, 6,Ｌチェリｰソウマ, 58,小野寺, 2.0, 53,  -9,   1,15,270.3, ⑭⑮,14, 8,Ｄデジタルキャッシュ, 87,西村太, 3.5, 60,   9,  -9, 7, 22.9,⑩⑪⑪
15, 1, ナイトシェｰバｰ,---,柴田大, 3.6, 35,  -4, -17,11,132.9, ⑫⑫,15, 2, トウカイアンコｰル,---,蛯名正, 4.1, 13, -37, -17, 9, 44.8, ⑮⑮,15, 1, ディナｰラッシュ,---,西田雄, 3.9, 36,*  4, -28, 3,  6.1, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:2),,,,,,,,,,,
"単勝:570円 複勝:06=260円 12=740円 05=160円 枠連:4,600円",,,,,,,,,,,,"単勝:1,610円 複勝:01=270円 06=110円 07=460円 枠連:750円",,,,,,,,,,,,単勝:240円 複勝:14=130円 12=550円 15=280円 枠連:380円,,,,,,,,,,,,"単勝:430円 複勝:02=190円 12=1,190円 10=610円 枠連:5,860円",,,,,,,,,,,
"馬連:9,820円 ワイド:06-12=3,770円 05-06=550円 05-12=1,590円",,,,,,,,,,,,"馬連:810円 ワイド:01-06=400円 01-07=3,500円 06-07=1,220円",,,,,,,,,,,,"馬連:3,020円 ワイド:12-14=1,100円 14-15=470円 12-15=2,740円",,,,,,,,,,,,"馬連:7,520円 ワイド:02-12=2,340円 02-10=2,570円 10-12=10,390円",,,,,,,,,,,
"馬単:14,670円 3連複:8,040円 3連単:62,500円",,,,,,,,,,,,"馬単:2,900円 3連複:8,400円 3連単:52,290円",,,,,,,,,,,,"馬単:4,520円 3連複:6,670円 3連単:30,650円",,,,,,,,,,,,"馬単:11,770円 3連複:80,850円 3連単:445,730円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■12R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,閃光特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄボンジュｰルエｰル, 63,田辺裕,, 60,  -5,* 11, 4, 11.2,⑨⑩⑪, 1, 8, ノウレッジ,---,蛯名正,, 55, -18,*  9, 1,  1.7, ⑪⑪, 1,14,Ｉフリｰトアロｰ, 62,杉原誠,, 70,  -4,   5, 7, 14.0,   , 1, 3,Ｂオメガブレイン, 78,北村宏,, 76,   6,   3, 2,  3.5, ③③
 2,10,Ａフレンドワン, 68,田中勝, 0.4, 57,  -5,*  8, 3,  5.7,⑧⑪⑩, 2, 6, クレバｰカイオウ,---,田辺裕, 0.1, 54,  -4,  -4, 4,  7.8, ④④, 2, 5,Ａスタｰゲイジング, 71,西田雄, 0.2, 66,  -3,   0, 2,  4.4,   , 2, 7,Ｅジョｰオリオン, 69,丸田恭, 0.2, 72,   4,   2,10, 42.5, ⑧⑨
