12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,13,Ｍワイカプ, 41,川田将, 3.0, 44,  -7, -15, 5, 19.8,⑥⑥⑥,12, 1, ラスカルクィｰン,---,花田大, 4.1, 21, -21, -22,10,123.9, ⑦⑨,12, 3,Ｇブルｰハｰツクライ, 76,三浦皇, 1.6, 66,   4,  -8,13, 83.6, ⑮⑯,12, 3,Ｆタガノキャプテン, 86,太宰啓, 1.8, 70,* 15, -32, 5, 16.6,②②⑥
13,11,Ｌシャルパンテ, 42,太宰啓, 4.3, 35,  -8, -25,13,242.4,⑨⑧⑨,13, 6, テイエムカイリキ,---,野元昭, 7.7,-11, -51, -26,13,193.9, ⑬⑬,13, 6,Ｃリフトザウイングス, 82,藤田伸, 1.7, 64,   5, -13, 2,  5.6, ⑯⑮,13, 2,Ｌジャングルハヤテ, 77,松山弘, 1.8, 69,* 16, -31,12, 78.9,④③⑤
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｐマルカファイン, 67,国分恭, 1.9, 61,* 14, -30,14,100.4, ①①,14, 5,Ｍシンボリボルドｰ, 77,大野拓, 2.0, 68,  14, -28,14,262.2,⑩⑨⑫
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｊゴｰルドベル, 73,和田竜, 2.1, 60,* 14, -32, 7, 14.7, ④③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｏナムラアピア, 68,国分優, 2.5, 55,* 14, -38,12, 69.0, ②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:0),,,,,,,,,,,
単勝:170円 複勝:05=110円 07=190円 01=210円 枠連:200円,,,,,,,,,,,,"単勝:370円 複勝:08=150円 09=160円 03=130円 枠連:1,150円",,,,,,,,,,,,"単勝:1,530円 複勝:10=370円 04=310円 16=140円 枠連:3,620円",,,,,,,,,,,,"単勝:800円 複勝:07=250円 11=240円 01=450円 枠連:1,500円",,,,,,,,,,,
馬連:570円 ワイド:05-07=290円 01-05=320円 01-07=580円,,,,,,,,,,,,"馬連:1,200円 ワイド:08-09=430円 03-08=260円 03-09=360円",,,,,,,,,,,,"馬連:8,420円 ワイド:04-10=2,200円 10-16=780円 04-16=680円",,,,,,,,,,,,"馬連:2,370円 ワイド:07-11=830円 01-07=1,600円 01-11=1,590円",,,,,,,,,,,
"馬単:830円 3連複:1,100円 3連単:3,270円",,,,,,,,,,,,"馬単:2,050円 3連複:1,060円 3連単:6,750円",,,,,,,,,,,,"馬単:16,190円 3連複:5,800円 3連単:60,900円",,,,,,,,,,,,"馬単:5,090円 3連複:12,300円 3連単:60,120円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■11R  芝1600m 2 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
