12年 9月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,玄海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｊプリムラブルガリス, 36,浜中俊,, 61,* -9,*  4, 2,  3.5, ①①, 1, 9, エｰシンイグアス,,黒岩悠,,,,, 2,  5.0,②③②, 1, 4,Ｇダノンドリｰム, 59,小牧太,, 69,   1,*  9, 2,  3.4,⑮⑬⑥, 1, 2,Ｄヴィクトリｰスタｰ, 76,小牧太,, 81,   3,* 24, 3,  5.9,⑦⑧⑨
 2, 2,Ｄカノヤベンチャｰ, 46,幸英明, 0.5, 56, -12,*  0, 4, 12.0, ④④, 2, 7, ロｰドセイバｰ,,白浜雄,191.6,,,, 3,  6.0,①②③, 2, 3,Ａエリモフェアリｰ, 66,藤懸貴, 0.1, 67,   0,* 10, 4,  8.5,⑫⑭⑫, 2,11,Ａカポｰティスタｰ, 84,田辺裕, 0.1, 77,   4,  18, 1,  3.7,⑥⑥⑥
 3,11,Ａケントヒｰロｰ, 52,国分優, 0.7, 53, -12,  -3, 1,  1.8, ⑥⑤, 3,10, リアルブラック,,林満明,191.9,,,, 8, 73.4,⑤⑤⑤, 3, 2,Ｈマイネルコンキスタ, 57,高倉稜, 0.1, 65,   5,  -3, 5, 12.5,⑥③③, 3, 7,Ｃゴｰルドブライアン, 79,浜中俊, 0.2, 79,   2,* 25, 2,  3.9,⑬⑪⑦
 4, 9,Ｆバイオレットムｰン, 43,太宰啓, 0.7, 51, -12,  -3, 8, 48.7, ⑧②, 4, 8, ヨンハメモリｰ,,難波剛,191.9,,,, 5, 16.1,④①①, 4,14,Ｄトウカイメリｰ, 63,浜中俊, 0.3, 64,   3,   2, 1,  3.1,⑪⑩⑪, 4,13,Ｊエアソミュｰル, 72,武豊  , 0.3, 78,   0,* 25, 4,  5.9,⑫⑬⑫
 5, 5,Ｇセイントデジタル, 43,佐藤哲, 0.9, 50, -13,  -4, 3,  9.7, ⑤⑥, 5, 5, シｰライフ,,小坂忠,192.6,,,, 1,  1.6,③④④, 5, 9,Ｂヒデノビクトリア, 64,北村友, 0.4, 64,   2,   4, 3,  4.8,⑩⑪⑬, 5,12,Ｅシゲルササグリ, 76,川須栄, 0.4, 75,   1,  20, 7, 21.2,⑪⑨⑩
 6,12,Ｅカシノワルツ, 46,森一馬, 1.1, 47, -16,  -4, 9, 64.2, ⑨⑨, 6, 3, セフティｰフライト,,植野貴,193.2,,,,10,131.4,⑥⑥⑥, 6,15,Ｃアルズ, 64,水口優, 0.5, 60,   4,  -5, 6, 16.6,⑧⑧⑩, 6, 3,Ｆエクセリオン, 76,松山弘, 0.5, 72,   3,  16,11, 67.7,⑩⑦⑧
 7, 7,Ｂコウエイタｰボ, 49,藤懸貴, 1.3, 44,*-11, -12, 5, 16.7, ③③, 7, 4, メイショウタクミ,,中村将,195.8,,,, 7, 28.9,⑨⑨⑦, 7, 1,Ｋアサヒノネネ, 49,幸英明, 0.7, 61,   3,  -5,10, 68.9,⑨⑨⑧, 7, 6,Ｇハｰドダダンダン, 74,国分恭, 0.7, 68,   6,   5,13, 91.7,④④③
 8,18,Ｒシゲルコンパスザ,  1,国分恭, 1.5, 44, -31,*  5,13,147.0, ⑱⑱, 8, 1, トウケイヤマト,,今村康,196.5,,,, 9,105.6,⑧⑧⑧, 8,11,Ｅクロコサイレンス, 62,野元昭, 0.8, 59,   1,  -2,11, 75.5,⑬⑫⑭, 8, 9,Ｂアルティシムス, 80,国分優, 0.7, 73,   2,  17, 5,  6.6,⑨⑩⑪
 9,15,Ｌキタノヘイロｰ, 33,田辺裕, 1.5, 42, -21,  -4, 6, 18.2, ⑭⑰,,,,,,,,,,,,, 9, 7,Ｌケイアイスピリット, 48,田中健, 1.2, 52,*  8, -23, 8, 22.6,①①①, 9,10,Ｉグッドバニヤン, 72,和田竜, 1.0, 68,   6,   4, 9, 55.8,⑤⑤④
10,13,Ｐゴｰルデンハンタｰ, 24,高倉稜, 1.7, 41, -28,*  0, 7, 44.2, ⑰⑬,,,,,,,,,,,,,10, 6,Ｆウインブリｰザ, 61,中井裕, 1.2, 52,*  7, -20, 7, 17.5,④④④,10,14,Ｈミヤコトップガン, 72,北村友, 1.1, 69,  -1,  18,10, 61.6,⑭⑭⑬
11,14,Ｉカシノパシオン, 39,野元昭, 1.8, 38, -17, -12,15,187.8, ⑪⑫,,,,,,,,,,,,,11, 5,Ｍロングバｰス, 48,国分恭, 1.5, 50,   5, -21,12,267.8,②⑥⑦,11, 5,Ｌマキハタテノｰル, 69,幸英明, 1.2, 64,   7,  -4, 6, 12.3,③③⑤
12,17,Ｃカシノコゴロウ, 48,水口優, 2.0, 35, -24,  -8,11, 81.4, ⑯⑯,,,,,,,,,,,,,12,13,Ｎスズカサリュｰト, 44,花田大, 1.5, 52,  -3,  -4,13,350.7,⑭⑮⑮,12, 1,Ｍヒカリトリトン, 66,藤懸貴, 1.2, 60,* 11, -15,12, 78.5,①①①
13, 8,Ｈワンダフルムｰン, 41,酒井学, 2.3, 31, -17, -18,10, 75.7, ⑩⑪,,,,,,,,,,,,,13,16,Ｐカツラライデン, 38,田村太, 1.6, 49,   6, -24,15,511.6,⑤⑤⑤,13, 8,Ｎカシノエルフ, 61,酒井学, 1.6, 62,   1,   5,14,218.9,⑧⑫⑭
14, 3,Ｍカシノリュウセイ, 31,大下智, 2.5, 29, -20, -18,18,348.2, ⑫⑩,,,,,,,,,,,,,14,12,Ｉスマｰトアスタｰ, 55,武豊  , 1.8, 46,*  7, -30, 9, 39.5,③②②,14, 4,Ｋサンビｰム, 72,佐藤哲, 1.7, 57,*  8, -14, 8, 31.4,②②②
15, 6,Ｏデンコウショウイン, 24,渡辺薫, 3.0, 22, -23, -22,14,154.2, ⑮⑮,,,,,,,,,,,,,15, 8,Ｊウォｰタｰオアシス, 53,芹沢純, 2.2, 42,   4, -30,14,383.7,⑦⑦⑨,,,,,,,,,,,,
16,10,Ｑカシノソウル, 11,熊沢重, 3.2, 20, -20, -28,17,323.2, ⑬⑭,,,,,,,,,,,,,16,10,Ｏトムエピソｰド, 40,太宰啓, 4.2, 24, -13, -23,16,540.7,⑯⑯⑯,,,,,,,,,,,,
