12年 7月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗場特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａアイディンビュｰ, 61,内田博,, 54,*  9, -17, 2,  3.2, ①①, 1, 7,Ｉスリｰトップガン, 58,松岡正,, 65,* -7,* 14, 7, 15.0,⑨⑤④, 1, 6,Ｅコマノガレオス, 54,松岡正,, 64, -31,* 13, 3,  6.4,   , 1,14,Ｅサマｰソング, 77,田中勝,, 78,   0,* 17, 2,  4.2, ⑧⑧
 2, 5,Ｂモンマックス, 53,岩部純, 0.0, 53,*  8, -17, 1,  1.8, ②②, 2,13,Ｆグランプレｰジョ, 60,内田博, 0.0, 64,* -7,* 13, 1,  2.1,④③③, 2,11,Ｉタケデンザビエル, 51,田中勝, 0.0, 60,*  0,  -7, 5,  9.3,   , 2, 4,Ａエｰシンジェイワン, 84,石橋脩, 0.2, 78,* 15,   1, 1,  2.3, ①①
 3, 2,Ｄホｰクインザブルｰ, 45,武士沢, 0.1, 49,   4, -14, 4,  8.1, ③④, 3,12,Ｂイルポスティｰノ, 65,田辺裕, 0.1, 62,* -6,  10, 5, 11.0,①①①, 3, 9,Ｂメインメリｰ, 55,嶋田純, 0.1, 59, -16,*  2, 7, 11.1,   , 3, 3,Ｎフリスコベイ, 65,田中博, 0.6, 74,*  8,   4, 9, 52.2, ②②
 4, 1,Ｅインザチャｰチ, 45,嘉藤貴, 0.3, 46,  -6,* -6, 6, 45.0, ⑦⑥, 4,10,Ｃウォｰタｰフォｰド, 65,江田照, 0.6, 59,* -7,   9, 3,  8.5,③④⑤, 4, 5,Ｄトｰセンファｰスト, 55,内田博, 0.2, 57,* -4,  -8, 4,  8.3,   , 4, 1,Ｄスズカロジック, 78,中舘英, 0.6, 73,  -3,  14, 3,  6.1, ⑩⑩
 5, 8,Ｃワンパンチ, 46,西村太, 0.3, 47,   0, -11, 5, 21.4, ⑤⑤, 5, 3,Ｏアクセラレｰタｰ, 46,田中勝, 1.1, 58, -11,* 12,11, 28.4,⑮⑭⑭, 5, 7,Ｆウェルテクス, 52,石橋脩, 0.2, 58, -11,  -3, 2,  6.3,   , 5,11,Ｂパｰプルセンリョ, 78,蛯名正, 0.6, 74,  -3,  14, 4,  6.1, ⑪⑪
 6, 6,Ｆドリｰムサンサン, 38,蛯名正, 0.5, 44,   4, -20, 3,  6.1, ④③, 6, 4,Ｄリブストロング, 63,武士沢, 1.2, 59,  -9,   8,12, 37.3,⑫⑫⑪, 6, 2,Ｃシャドウフェアリｰ, 55,北村宏, 0.3, 55,  -7,  -7, 9, 18.6,   , 6, 6,Ｉケイアイクライム, 76,松岡正, 0.6, 73,   0,  12, 8, 34.8, ⑨⑨
 7, 3,Ｇカシノハッピｰ, 29,二本柳, 1.4, 33,  -7, -19, 8,145.0, ⑥⑦, 7, 6,Ｇウエスタンフォルテ, 59,杉原誠, 1.4, 58, -12,  11, 8, 23.2,⑭⑮⑮, 7,16,Ｇプレシャスペスカ, 52,江田照, 0.3, 54,* -2, -10, 1,  4.1,   , 7,12,Ｇコロナ, 77,北村宏, 0.8, 72,   7,   4,13,154.9, ③③
 8, 7,Ｈドヴァラパｰラ, 23,嶋田純, 2.0, 28, -14, -21, 7, 91.8, ⑧⑧, 8, 1,Ｈアスタプロント, 58,石橋脩, 1.5, 56,  -8,   4, 4, 11.0,⑤⑧⑧, 8,18,Ｏシルクフュｰジョン, 45,武士沢, 0.5, 54, -28,*  5,14, 54.6,   , 8, 2,Ｃワンモアジョｰ, 78,田辺裕, 0.9, 71,   3,   7, 7, 19.9, ⑥⑥
