12年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾛｰﾗﾙｳｫｰｸ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃマコトラピスラズリ, 58,福永祐,,,,, 2,  5.7,④③③, 1, 3,Ｈラインロバｰト, 56,松田大,, 68, -12,*  9, 5, 14.1,③④④, 1,13,Ｄランドタカラ, 71,高倉稜,,,,, 9, 14.7, ⑮⑮, 1,12,Ｊニシノスタイル, 64,松山弘,, 75,   2,* 14, 5, 10.0, ⑥⑦
 2,12,Ｊラルシュドｰル, 50,松山弘, 0.9,,,, 1,  2.4,⑥②②, 2,10,Ｃアｰトオブキング, 58,太宰啓, 0.0, 63,* -8,   2, 9, 40.0,①①①, 2,12,Ｂセイウンオウサム, 73,中井裕, 0.2,,,, 4,  8.1, ⑪⑩, 2,17,Ｆキリシマトリオ, 66,村田一, 0.1, 72,   5,   9,10, 46.6, ④④
 3,15,Ｋセカンドペガサス, 49,黛弘人, 1.2,,,,11, 61.7,①①①, 3, 9,Ｅアドマイヤギャラン, 57,川須栄, 0.2, 64, -14,*  8, 3,  6.9,⑥⑤⑤, 3, 4,Ｅオンワｰドセジｰル, 70,西村太, 0.5,,,, 7, 10.2, ④④, 3,10,Ａニシノビｰクイック, 80,吉田豊, 0.2, 72,   1,* 14, 2,  3.8, ⑨⑧
 4, 5,Ｎピンウィｰル, 42,幸英明, 1.3,,,,10, 50.6,⑬⑫⑪, 4,14,Ｋベニノエクスプレス, 48,宮崎北, 0.4, 61,*-10,   1,11,119.3,②②②, 4, 6,Ｇテングジョウ, 68,宮崎北, 0.5,,,, 6,  9.3, ⑯⑯, 4,15,Ｇアブマｰシュ, 66,丸田恭, 0.3, 71,   1,  12,13, 76.8, ⑧⑨
 5, 9,Ｆトゥルｰマｰトル, 56,吉田豊, 1.6,,,, 3,  6.9,⑤⑥④, 5, 5,Ａインクレセント, 68,福永祐, 0.4, 65, -16,* 11, 1,  2.0,⑧⑩⑩, 5, 5,Ｆサマｰラグｰン, 69,松山弘, 0.6,,,, 5,  9.1, ⑧⑧, 5, 2,Ｃトランドネｰジュ, 71,柴山雄, 0.4, 70,   5,   6, 1,  3.7, ⑤⑤
 6, 1,Ｄステラｰフェアリｰ, 57,鮫島良, 2.0,,,, 9, 29.3,⑧⑦⑥, 6, 7,Ｂシゲルササグリ, 63,松山弘, 0.5, 62, -16,*  8, 4,  7.0,⑩⑧⑧, 6, 1,Ｌバトルデｰオ, 62,柴山雄, 0.6,,,,11, 61.4, ⑩⑦, 6, 3,Ｅタガノグｰフォ, 66,川須栄, 0.4, 71,  -3,* 15, 3,  5.8, ⑬⑩
 7, 4,Ａシゲルサクランボ, 61,村田一, 2.1,,,, 5,  9.0,⑨⑧⑧, 7, 4,Ｍフランスギャル, 46,丹内祐, 0.6, 60, -15,   3,10, 80.4,⑤⑦⑦, 7, 3,Ａタカノキング, 74,菅原隆, 0.7,,,, 8, 13.9, ⑥⑥, 7, 7,Ｂトシザグレイト, 72,原田和, 0.5, 70,  -4,* 16, 6, 10.5, ⑯⑬
 8, 8,Ｅチャイナキッス, 56,柴山雄, 2.5,,,, 8, 25.5,⑫⑬⑬, 8,15,Ｌハッピｰメイカｰ, 47,丸野勝, 0.9, 54, -12,  -5,13,152.0,④③③, 8,11,Ｃサクラティアモ, 73,藤懸貴, 0.7,,,, 3,  7.1, ③③, 8,16,Ｌシンワクイｰン, 63,吉田隼, 0.5, 68,*  8,   1,12, 72.6, ②②
