12年 1月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 1月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東雲賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｉシンデンアラタ, 45,小林淳,, 58,  -2,*  2,11,132.0, ⑪⑨, 1,14, タガノバッチグｰ,,中村将,,,,, 1,  2.0,①①①, 1, 6,Ｇユメノトキメキ, 66,北村宏,, 71,*  2,  10, 7, 18.8,①①①, 1,10,Ｃサトノシュレン, 76,蛯名正,, 81,   5,*  8, 2,  3.7,⑥④①
 2,11,Ｃエリクサｰ, 62,後藤浩, 0.2, 58,   3,* -4, 2,  3.3, ⑧⑧, 2,12, マイネルパルティア,,柴田大,197.5,,,, 2,  3.1,③②②, 2,10,Ｉテキサスルビｰ, 65,戸崎圭, 0.0, 72,*  2,* 11, 3,  5.1,⑥④③, 2, 5,Ａイチブン, 82,柴田善, 0.3, 79,   3,*  8, 1,  2.5,⑧⑧③
 3,16,Ａフォｰスフル, 65,柴山雄, 0.4, 59,* 11, -12, 1,  2.5, ①①, 3, 2, バックハウス,,五十嵐,197.5,,,, 4,  9.0,②③③, 3, 3,Ｃヤマニンパソドブル, 74,吉田豊, 0.1, 70,   0,* 13, 4,  5.8,⑧⑦⑥, 3, 7,Ｂコスモバタフライ, 77,柴田大, 0.9, 74,   4,  -2, 3,  3.7,⑤⑥⑤
 4, 8,Ｂコンサｰトレディ, 63,田辺裕, 0.5, 57,   8, -11, 5, 10.9, ④③, 4, 1, アンブロｰクン,,金子光,198.1,,,, 9, 49.9,⑥⑥④, 4, 4,Ａモエレアイドル, 82,後藤浩, 0.1, 72,   1,* 12, 1,  3.4,⑩⑥⑤, 4, 6,Ｉビュｰティファイン, 71,田辺裕, 1.2, 69,   0,   1, 5, 15.6,⑩⑩⑧
 5,13,Ｅエスペランサシチｰ, 54,蛯名正, 0.7, 54,   6, -11, 7, 15.3, ⑥⑥, 5, 3, メジロサンノウ,,大江原,198.6,,,, 5, 21.7,⑤⑦⑤, 5,12,Ｂメイショウラグｰナ, 77,蛯名正, 0.5, 68,*  2,   6, 2,  4.3,②②②, 5, 9,Ｇクロカンブッシュ, 72,今野忠, 1.5, 65,   3,  -9,10,131.2,⑨⑦⑨
 6, 3,Ｄオンジェム, 57,戸崎圭, 1.0, 51,   4, -11, 4,  8.1, ⑦⑦, 6, 8, フェバリットアワｰ,,横山義,198.9,,,, 6, 32.9,⑨⑧⑥, 6, 7,Ｎマレンカヤ, 53,平野優, 0.8, 68,   0,   8,12, 57.5,⑤⑧⑨, 6, 8,Ｄグリッドマトリクス, 75,田中勝, 1.5, 64,   4, -13, 8, 49.9,④③⑦
 7, 7,Ｎドラゴンネビュラ, 34,田中勝, 1.0, 48,  -3,  -5,13,171.2, ⑩⑪, 7, 9, サンレイデュｰク,,難波剛,199.0,,,, 7, 40.4,⑧⑨⑧, 7, 8,Ｈオペラフォンテン, 65,木幡初, 0.8, 67,   0,   9,13, 61.5,⑨⑨⑧, 7, 1,Ｅアルマトゥｰラ, 73,柴山雄, 1.9, 62,   5, -17, 6, 18.0,③⑤⑥
 8, 9,Ｇドウデス, 50,嶋田純, 1.4, 49,   7, -19, 3,  7.2, ⑤⑤, 8, 6, シャトルベクタｰ,,鈴木慶,200.0,,,,10, 80.4,⑪⑪⑨, 8, 9,Ｆニシノキュアノス, 67,柴田善, 1.4, 64,   0,   1,10, 38.9,③⑤④, 8, 4,Ｊメジロミドウ, 68,小野寺, 2.0, 60,*  6, -23, 7, 36.9,①①④
 9,10,Ｆヴァップ, 53,柴田大, 1.5, 50,* 10, -21,10,130.3, ②②, 9, 7, ユニバｰサルアゲン,,平沢健,201.0,,,,12,197.3,⑦④⑦, 9, 2,Ｍバレドクｰル, 54,田辺裕, 1.5, 63,  -2,   5, 8, 26.8,⑪⑫⑩, 9, 2,Ｈネオスピリッツ, 72,北村宏, 2.1, 61,   2, -13, 9, 72.6,⑦⑨⑩
10,15,Ｈウェルテクス, 48,石橋脩, 1.6, 49,*  9, -21, 6, 14.3, ③④,10,13, アルマニャック,,山本康,202.3,,,, 8, 46.5,⑩⑩⑩,10, 5,Ｌカフェロｰレル, 56,津村明, 1.9, 59,  -1,   1,11, 46.4,⑭⑪⑪,10, 3,Ｆマツリダガッツ, 72,後藤浩, 2.3, 57,*  6, -26, 4,  7.9,②②②
11, 6,Ｐトウショウスコア,  8,丸山元, 1.6, 44,  -9,  -5, 9,116.4, ⑬⑬,11, 5, マイネルダウザｰ,,穂苅寿,202.9,,,,11,100.8,⑭⑫⑪,11, 1,Ｄアフィントン, 72,嶋田純, 2.0, 60,  -2,   2, 6, 17.8,⑫⑬⑫,,,,,,,,,,,,
12,12,Ｌキョウエイペガサス, 39,柴田善, 1.7, 44,  -4,  -9, 8, 49.3, ⑫⑫,12,11, キャニオンシンザン,,草野太,203.1,,,,14,254.0,⑬⑬⑫,12,11,Ｋオネスト, 64,柴田大, 2.6, 57,  -3,   0,15,217.9,⑬⑮⑭,,,,,,,,,,,,
13, 2,Ｍシャｰク, 37,田中博, 2.2, 39, -10,  -8,12,154.3, ⑭⑭,13,10, アトミックハｰト,,蓑島靖,205.6,,,,13,217.5,⑫⑭⑬,13,15,Ｏモンテロｰザ, 48,クウィ, 2.7, 54,  -1,  -6,14, 66.1,⑦⑩⑬,,,,,,,,,,,,
14, 1,Ｊキャラメリゼ, 41,高嶋活, 2.3, 38, -12,  -8,14,305.7, ⑮⑮,,,,,,,,,,,,,14,14,Ｅキングダンサｰ, 68,丸山元, 2.8, 54,*  1, -12, 5, 10.6,④③⑦,,,,,,,,,,,,
15,14,Ｋフォｰティスタン, 40,平野優, 2.9, 34,   2, -26,15,376.8, ⑨⑩,,,,,,,,,,,,,15,13,Ｊアドマイヤキャロル, 64,田中博, 2.8, 54,  -2,  -5, 9, 37.7,⑮⑭⑮,,,,,,,,,,,,
16, 5,Ｏマシェリ,  8,武士沢, 4.1, 26, -12, -23,16,516.2, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:7),,,,,,,,,,,
"単勝:13,200円 複勝:04=1,450円 11=130円 16=120円 枠連:1,250円",,,,,,,,,,,,単勝:200円 複勝:14=110円 12=120円 02=170円 枠連:190円,,,,,,,,,,,,"単勝:1,880円 複勝:06=590円 10=220円 03=210円 枠連:4,550円",,,,,,,,,,,,単勝:370円 複勝:10=130円 05=110円 07=120円 枠連:430円,,,,,,,,,,,
"馬連:19,440円 ワイド:04-11=3,340円 04-16=3,790円 11-16=170円",,,,,,,,,,,,馬連:230円 ワイド:12-14=140円 02-14=290円 02-12=340円,,,,,,,,,,,,"馬連:4,930円 ワイド:06-10=1,330円 03-06=1,580円 03-10=700円",,,,,,,,,,,,馬連:460円 ワイド:05-10=190円 07-10=260円 05-07=170円,,,,,,,,,,,
"馬単:61,760円 3連複:10,060円 3連単:149,150円",,,,,,,,,,,,"馬単:380円 3連複:530円 3連単:1,330円",,,,,,,,,,,,"馬単:11,890円 3連複:8,850円 3連単:82,910円",,,,,,,,,,,,"馬単:940円 3連複:460円 3連単:2,320円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾚｷｻﾝﾄﾞﾗｲﾄｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
